{' 28': -2.1365736, ' 24': -2.2248552, ' 25': -2.3435724, ' 33': -2.6462429, ' 30': -2.6577365}
{' 33': -1.775069, ' 32': -2.2959516, ' 34': -2.329954, ' 36': -2.4014597, ' 30': -2.4144459}
{' 33': -1.7887193, ' 32': -2.1418812, ' 28': -2.3095057, ' 34': -2.5248387, ' 30': -2.6262286}
{' 33': -1.8821104, ' 32': -2.2848368, ' 34': -2.3155117, ' 36': -2.3959131, ' 37': -2.626808}
{' 33': -1.8914493, ' 32': -2.2357736, ' 28': -2.3321145, ' 30': -2.4443457, ' 34': -2.619409}
{' 28': -2.0705044, ' 30': -2.2138884, ' 32': -2.2483504, ' 33': -2.3704283, ' 25': -2.727403}
{' 33': -1.7157972, ' 32': -2.1994846, ' 34': -2.2310152, ' 36': -2.585264, ' 30': -2.775691}
{' 33': -1.7071004, ' 34': -2.25817, ' 32': -2.3238816, ' 36': -2.3614252, ' 37': -2.723846}
{' 33': -1.9004277, ' 32': -2.18809, ' 28': -2.3469296, ' 30': -2.6090002, ' 34': -2.620346}
{' 33': -2.3217552, ' 36': -2.358827, ' 40': -2.5115762, ' 34': -2.5373075, ' 38': -2.6175494}
{' 33': -2.0566468, ' 32': -2.1966262, ' 34': -2.235784, ' 36': -2.2612586, ' 30': -2.7056594}
{' 33': -2.140057, ' 32': -2.268867, ' 28': -2.3292336, ' 30': -2.5904803, ' 25': -2.688273}
{' 33': -1.8929881, ' 34': -2.1739986, ' 32': -2.2725513, ' 28': -2.641793, ' 37': -2.8655965}
{' 28': -2.009006, ' 33': -2.202908, ' 32': -2.2184052, ' 30': -2.3719108, ' 24': -2.678351}
{' 33': -2.1287725, ' 34': -2.2824743, ' 36': -2.3283565, ' 37': -2.59325, ' 32': -2.6392972}
{' 33': -1.8011866, ' 32': -2.086054, ' 28': -2.3658926, ' 30': -2.5026474, ' 34': -2.5130637}
{' 33': -1.7689666, ' 34': -2.1633203, ' 32': -2.436834, ' 37': -2.4603336, ' 36': -2.5823288}
{' 33': -1.7498125, ' 32': -2.0467274, ' 34': -2.2622476, ' 36': -2.6541314, ' 30': -2.691174}
{' 33': -2.049068, ' 34': -2.2352269, ' 32': -2.3205674, ' 36': -2.4965508, ' 37': -2.8466077}
{' 33': -1.9087467, ' 32': -2.0537841, ' 34': -2.1669703, ' 36': -2.3484602, ' 30': -2.7204864}
{' 33': -1.7802677, ' 32': -2.1878366, ' 34': -2.1923351, ' 36': -2.3785908, ' 37': -2.9467058}
{' 33': -2.031709, ' 28': -2.090627, ' 32': -2.3275187, ' 25': -2.4061482, ' 30': -2.5163672}
{' 33': -1.8394718, ' 32': -2.1068134, ' 34': -2.3616905, ' 28': -2.4017742, ' 30': -2.6805182}
{' 33': -1.7401478, ' 32': -2.093222, ' 28': -2.3548994, ' 30': -2.488394, ' 34': -2.60005}
{' 33': -1.8033011, ' 34': -2.2216284, ' 32': -2.4017231, ' 37': -2.5923216, ' 36': -2.5994017}
{' 33': -2.0844135, ' 32': -2.3273764, ' 34': -2.4902668, ' 30': -2.5023537, ' 28': -2.631936}
{' 33': -1.8269317, ' 32': -2.0929868, ' 34': -2.2279956, ' 36': -2.5918005, ' 28': -2.6529272}
{' 33': -1.7475221, ' 34': -2.2855709, ' 32': -2.3411663, ' 36': -2.4733152, ' 37': -2.6626747}
{' 33': -1.9238477, ' 34': -2.2699523, ' 32': -2.281555, ' 36': -2.5031278, ' 30': -2.7497687}
{' 33': -1.9979552, ' 32': -2.1072137, ' 34': -2.3164167, ' 28': -2.5780945, ' 30': -2.5930643}
{' 33': -2.029024, ' 34': -2.380226, ' 32': -2.394984, ' 37': -2.9332464, ' 30': -2.9371028}
{' 33': -1.7988353, ' 32': -2.2328858, ' 34': -2.4661603, ' 30': -2.555534, ' 28': -2.7366405}
{' 33': -1.7004894, ' 32': -2.1686938, ' 34': -2.2977328, ' 30': -2.6106076, ' 36': -2.7352252}
{' 33': -1.7428794, ' 36': -2.161678, ' 34': -2.2535176, ' 32': -2.354178, ' 37': -2.7043939}
{' 33': -1.8734438, ' 32': -1.9882605, ' 28': -2.3606389, ' 34': -2.5138361, ' 30': -2.530232}
{' 33': -2.0902252, ' 32': -2.2933896, ' 28': -2.3798275, ' 30': -2.4400806, ' 34': -2.6248791}
{' 33': -1.9582231, ' 32': -2.1906726, ' 34': -2.265868, ' 36': -2.4553585, ' 28': -2.8274686}
{' 33': -1.8403243, ' 32': -2.3819199, ' 34': -2.4270344, ' 30': -2.717037, ' 36': -2.7349937}
{' 33': -1.9301394, ' 34': -2.252652, ' 32': -2.4470272, ' 36': -2.5200224, ' 37': -2.5611217}
{' 33': -1.8204985, ' 32': -2.2732773, ' 28': -2.2837133, ' 30': -2.4603126, ' 34': -2.6659918}
{' 33': -2.0333269, ' 32': -2.1538677, ' 28': -2.3329628, ' 30': -2.565748, ' 34': -2.5869093}
{' 33': -1.7964054, ' 32': -2.0839899, ' 34': -2.173947, ' 36': -2.4288146, ' 30': -2.5737712}
{' 33': -1.798793, ' 32': -2.1222763, ' 34': -2.1705048, ' 36': -2.4329493, ' 37': -2.7113504}
{' 33': -2.01131, ' 32': -2.1128478, ' 34': -2.2505393, ' 36': -2.5115373, ' 30': -2.5881705}
{' 33': -1.530506, ' 32': -2.1660335, ' 34': -2.2873638, ' 30': -2.5521486, ' 36': -2.6013343}
{' 33': -1.8235244, ' 32': -2.2428882, ' 34': -2.2444792, ' 36': -2.670658, ' 30': -2.8237312}
