{' 44': -1.8824675, ' 42': -1.9807838, ' 43': -2.015179, ' 40': -2.171719, ' 39': -2.5566866}
{' 33': -1.956215, ' 28': -2.2785819, ' 30': -2.350011, ' 29': -2.5823386, ' 32': -2.627764}
{' 45': -1.3400633, ' 43': -1.6554302, ' 41': -2.3539717, ' 44': -2.4699728, ' 40': -2.6889498}
{' 33': -1.8968332, ' 34': -2.4031067, ' 32': -2.4318311, ' 30': -2.5896811, ' 28': -2.6561925}
{' 36': -1.5573039, ' 37': -1.920835, ' 38': -1.9840885, ' 39': -2.3004756, ' 34': -2.4363494}
{' 43': -2.3866127, ' 37': -2.4270372, ' 39': -2.5651643, ' 41': -2.568654, ' 40': -2.7212343}
{' 43': -1.9660348, ' 44': -2.0216243, ' 45': -2.0743701, ' 42': -2.4675167, ' 41': -2.6140203}
{' 33': -2.0269623, ' 28': -2.4760666, ' 32': -2.4787254, ' 29': -2.533396, ' 30': -2.5632744}
{' 45': -1.6008049, ' 43': -1.9869152, ' 40': -2.3413446, ' 39': -2.453695, ' 44': -2.5303857}
{' 25': -1.8542459, ' 28': -1.922612, ' 24': -2.0777042, ' 27': -2.1415975, ' 29': -2.4587972}
{' 37': -1.9343169, ' 39': -1.9580424, ' 38': -2.0813944, ' 36': -2.248688, ' 40': -2.2971957}
{' 37': -2.1455417, ' 33': -2.1791136, ' 35': -2.579098, ' 34': -2.616296, ' 39': -2.6394105}
{' 43': -1.8068622, ' 39': -1.8981497, ' 41': -1.9988769, ' 40': -2.3910432, ' 42': -2.5142026}
{' 37': -2.1078088, ' 33': -2.133132, ' 35': -2.4719903, ' 39': -2.637612, ' 34': -2.6667936}
{' 37': -1.5102779, ' 36': -1.9390823, ' 35': -2.0183194, ' 38': -2.104457, ' 39': -2.307687}
{' 33': -1.8264327, ' 34': -2.1663814, ' 32': -2.2960439, ' 37': -2.4025428, ' 35': -2.6691844}
{' 40': -1.8676095, ' 37': -1.9109465, ' 39': -2.119635, ' 38': -2.204562, ' 35': -2.3252206}
{' 33': -2.0535858, ' 29': -2.3318317, ' 28': -2.3731718, ' 30': -2.4943788, ' 25': -2.556258}
{' 37': -1.9119866, ' 39': -2.1642773, ' 38': -2.223449, ' 36': -2.2424424, ' 40': -2.502439}
{' 33': -2.2176986, ' 34': -2.347367, ' 36': -2.3945816, ' 32': -2.4369667, ' 37': -2.5209901}
