{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' Generally': -6.7482815, ' Yes': -0.0074690874, ' Ant': -9.623266, ' yes': -8.387366, 'Yes': -5.158815}
{' ': -9.185362, ' Generally': -7.49446, ' Yes': -0.014085292, ' yes': -7.937131, 'Yes': -4.359794}
{' ': -9.160952, ' Generally': -8.542824, ' Yes': -0.013977394, ' yes': -8.541697, 'Yes': -4.3220787}
{'\n': -8.295404, ' ': -7.884497, ' Yes': -0.019426513, ' yes': -7.875111, 'Yes': -4.0187206}
{' ': -7.9758873, ' Yes': -0.023233745, ' Ant': -8.863121, ' yes': -8.367001, 'Yes': -3.8218768}
{' An': -9.837003, ' Generally': -8.454373, ' Yes': -0.004642314, ' yes': -8.735814, 'Yes': -5.4888167}
{' Generally': -7.5852194, ' Yes': -0.008559177, ' Ant': -8.495236, ' yes': -8.2510195, 'Yes': -4.903292}
{' No': -4.6292663, '\n': -5.324914, ' Generally': -5.5229526, ' Yes': -0.057752114, 'Yes': -3.523895}
{'\n': -7.178159, ' ': -6.766569, ' Generally': -7.4052343, ' Yes': -0.041159913, 'Yes': -3.3073056}
{' ': -8.521284, ' Generally': -7.138357, ' Yes': -0.015756933, ' yes': -7.3644238, 'Yes': -4.2941685}
{' Generally': -7.9016695, ' Yes': -0.022505552, ' Ant': -7.791552, ' yes': -7.39861, 'Yes': -3.8969047}
{'\n': -8.7734165, ' ': -7.8895917, ' Yes': -0.003672149, ' yes': -7.7043386, 'Yes': -5.938616}
{'\n': -8.325731, ' ': -8.38281, ' Yes': -0.0037321548, ' yes': -7.8548784, 'Yes': -5.8825064}
{'\n': -7.3563294, ' ': -7.283095, ' Yes': -0.016226554, ' yes': -7.1228776, 'Yes': -4.294556}
{' ': -8.258743, ' Yes': -0.012323633, ' Ant': -9.007245, ' yes': -7.5162716, 'Yes': -4.5000305}
{'\n': -4.46596, ' ': -5.4527574, ' Yes': -0.05369858, ' yes': -6.5312943, 'Yes': -3.3740735}
{'\n': -4.2500987, ' ': -5.485379, ' Yes': -0.054986574, ' Ant': -6.554284, 'Yes': -3.4694953}
{'\n': -10.359064, ' ': -8.707218, ' Yes': -0.0032279324, ' yes': -8.174977, 'Yes': -5.9056134}
{'\n': -10.9777565, ' ': -9.578544, ' Yes': -0.0030909441, ' yes': -8.427292, 'Yes': -5.891921}
{' No': -3.4393592, '\n': -4.033346, ' ': -4.3596463, ' Yes': -0.17985903, 'Yes': -2.4520414}
{' No': -2.7120361, '\n': -4.410526, 'No': -3.9427316, ' Yes': -0.23696512, 'Yes': -2.414152}
{'\n': -8.2515, ' ': -7.046362, ' Yes': -0.018545616, ' yes': -5.1185727, 'Yes': -4.522539}
{'\n': -8.092691, ' ': -6.9318194, ' Yes': -0.025212202, ' yes': -5.004739, 'Yes': -4.116944}
{' An': -7.4303846, ' Yes': -0.06119616, ' yes': -4.303511, 'Yes': -3.132901, 'yes': -7.8207927}
{' Yes': -0.07401278, ' Ant': -6.9076324, ' yes': -3.8753812, 'Yes': -3.0518246, 'yes': -7.256471}
{' No': -8.002715, ' ': -8.7624235, ' Yes': -0.024496796, ' yes': -6.610131, 'Yes': -3.8120563}
{' No': -8.926115, ' Generally': -8.547153, ' Yes': -0.053316202, ' yes': -7.283804, 'Yes': -2.982849}
{' ': -7.9771194, ' Generally': -9.451877, ' Yes': -0.03946783, ' yes': -6.8850365, 'Yes': -3.2972496}
{' No': -8.868752, ' ': -8.252087, ' Yes': -0.049200613, ' yes': -7.146412, 'Yes': -3.0703187}
{' No': -9.040905, ' ': -8.809597, ' Yes': -0.013607489, ' yes': -7.0017247, 'Yes': -4.40799}
{' No': -9.992274, ' ': -9.126381, ' Yes': -0.015949383, ' yes': -7.6687007, 'Yes': -4.1945267}
{' No': -2.7358181, ' Generally': -4.61349, 'No': -3.171214, ' Yes': -0.26514935, 'Yes': -2.3852339}
