{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -0.7477182, ' Generally': -4.540292, 'No': -3.9411116, ' Yes': -0.7341665, ' Sn': -4.796338}
{' No': -5.3318624, ' Generally': -5.0690756, ' A': -7.1086893, ' Yes': -0.03310693, 'Yes': -3.9742634}
{' No': -0.14711104, 'No': -2.5314379, ' Yes': -2.9487011, 'Yes': -6.4050746, ' Sn': -6.099704}
{' No': -2.545627, ' Generally': -5.268983, 'No': -4.792102, ' Yes': -0.13846354, 'Yes': -3.6366932}
{' No': -0.111091144, '\n': -6.793996, 'No': -2.3180995, ' Yes': -6.0916977, ' Sn': -6.4083986}
{' Generally': -5.137038, ' A': -7.7736154, ' Yes': -0.015181789, ' yes': -8.635715, 'Yes': -4.8175974}
{' No': -1.1941218, 'No': -4.298288, ' Yes': -0.4281363, 'Yes': -4.6224, ' Sn': -3.9406428}
{' No': -0.2535508, ' Generally': -3.982856, 'No': -1.8908684, ' Yes': -3.5301223, ' It': -5.360211}
{' No': -0.19549897, '\n': -6.0540137, 'No': -1.8538623, ' Yes': -5.863705, ' Sn': -4.6471915}
{' No': -3.8493721, ' Generally': -3.6655, ' A': -5.47483, ' Yes': -0.07804446, 'Yes': -4.1541934}
{' No': -0.19067603, 'No': -2.3999102, ' Yes': -2.708544, 'Yes': -6.00518, ' Sn': -4.657118}
{' No': -8.163507, ' ': -8.386964, ' Yes': -0.0037685926, ' yes': -8.252898, 'Yes': -5.910777}
{' No': -0.02983023, '\n': -7.394906, ' ': -7.361701, 'No': -5.182967, ' Yes': -3.8024187}
{' No': -0.0869173, '\n': -6.313569, ' ': -6.4250994, 'No': -2.605819, ' It': -6.3311415}
{' No': -0.039803643, '\n': -7.722602, ' ': -6.968789, 'No': -3.2868092, ' Sn': -8.834192}
{' No': -0.1479391, '\n': -3.863643, ' ': -5.2949214, 'No': -2.2534194, ' A': -5.4295416}
{' No': -0.15577914, '\n': -2.7176173, ' ': -4.711487, 'No': -2.6876242, ' Sn': -7.3619924}
{' No': -1.0224366, ' ': -6.669131, 'No': -5.247662, ' Yes': -0.46420714, 'Yes': -5.702326}
{' No': -0.006959921, '\n': -10.584933, ' ': -8.734002, 'No': -5.0023875, ' no': -11.584009}
{' No': -0.27717248, '\n': -5.00333, ' ': -5.183341, 'No': -1.4977784, ' A': -5.5815296}
{' No': -0.16962488, '\n': -5.079058, ' ': -5.420695, 'No': -1.933331, ' Sn': -8.180977}
{' No': -1.4758557, 'No': -4.635684, ' A': -3.6228855, ' Yes': -0.34711936, 'Yes': -4.776436}
{' No': -0.34260038, ' ': -5.4829154, 'No': -3.6729686, ' Yes': -1.4140784, ' Sn': -4.657803}
{' No': -3.6323895, ' A': -4.7891526, ' Yes': -0.092216864, ' yes': -4.7801723, 'Yes': -3.3948517}
{' No': -0.20164405, 'No': -2.3536234, ' Yes': -2.6447134, 'Yes': -5.6562753, ' Sn': -4.8076944}
{' No': -0.13675565, ' Generally': -7.311028, 'No': -2.2053306, ' Yes': -4.1825852, 'Yes': -7.318854}
{' No': -0.17210977, ' ': -8.841442, 'No': -1.8613548, ' Yes': -6.463947, ' Sn': -7.3282332}
{' No': -0.2008646, ' Generally': -6.499632, 'No': -1.8045175, ' Yes': -4.4098682, 'Yes': -7.1000075}
{' No': -0.18994708, 'No': -1.8398875, ' Yes': -4.6912227, 'Yes': -7.1783214, ' Sn': -5.8666434}
{' No': -3.9811246, 'No': -7.310205, ' Yes': -0.032436345, ' yes': -7.217683, 'Yes': -4.517725}
{' No': -0.0958614, 'No': -3.5059123, ' Yes': -2.8501108, 'Yes': -6.805011, ' Sn': -6.2292876}
{' No': -0.68276936, ' ': -6.953789, ' Generally': -6.5993814, 'No': -0.73255116, ' Sn': -4.8702426}
{' No': -0.6602099, ' Generally': -6.0386777, 'No': -0.78423333, ' Yes': -6.5051823, ' Sn': -4.0060425}
{' No': -1.954298, 'No': -4.0172367, ' Yes': -0.24398056, 'Yes': -3.713196, ' Sn': -4.3176136}
{' No': -0.48700258, 'No': -2.1366112, ' Yes': -1.8232051, 'Yes': -4.578737, ' Sn': -2.5014296}
{' No': -7.297753, ' ': -6.3754554, ' Yes': -0.05925181, ' yes': -3.0587595, 'Yes': -4.9392605}
{' No': -0.5453674, ' ': -5.2571573, 'No': -5.19263, ' Yes': -0.9333888, ' yes': -4.6046834}
{' No': -0.5634877, 'No': -2.6733623, ' A': -4.573528, ' Yes': -1.1418796, 'Yes': -4.416496}
{' No': -0.09968938, '\n': -5.446104, ' ': -5.699432, 'No': -2.5692215, ' Yes': -4.661745}
{' No': -0.3279927, '\n': -3.2464952, ' ': -5.1086493, 'No': -1.4963104, ' A': -5.282346}
{' No': -0.22473234, '\n': -3.0031688, ' ': -4.9460764, 'No': -1.9446803, ' Sn': -7.7799277}
{' No': -3.1166847, 'No': -6.591734, ' Yes': -0.063319296, ' yes': -5.7151966, 'Yes': -4.592332}
{' No': -0.022282213, ' ': -7.4077344, 'No': -3.898087, ' Yes': -7.225558, ' no': -8.646751}
{' No': -0.371256, '\n': -4.2081103, ' ': -5.361454, 'No': -1.2500364, ' no': -6.597432}
{' No': -0.35646427, '\n': -3.732396, ' ': -5.056747, 'No': -1.3219756, ' no': -6.387372}
{' No': -3.2365928, ' A': -4.6371665, ' Yes': -0.18285164, ' yes': -2.5734823, 'Yes': -4.1880736}
