{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' Yes': -0.008510844, 'Yes': -5.5497417, ' Generally': -5.5845375, ' yes': -8.307253, ' In': -8.825722}
{' Yes': -0.016084868, 'Yes': -4.282427, ' Generally': -6.5458694, ' yes': -7.917461, ' ': -9.049494}
{' Yes': -0.015377878, 'Yes': -4.3150697, ' Generally': -6.713101, ' yes': -8.196115, ' Ant': -8.765532}
{' Yes': -0.017850857, 'Yes': -4.0999465, ' yes': -7.919533, ' ': -8.101412, '\n': -8.45217}
{' Yes': -0.02259017, 'Yes': -3.8932185, ' Generally': -7.161858, ' ': -7.902411, ' yes': -8.20539}
{' Yes': -0.0043688677, 'Yes': -5.7102785, ' Generally': -7.2030325, ' yes': -8.762774, ' An': -9.927697}
{' Yes': -0.013021995, 'Yes': -4.8456078, ' Generally': -5.784718, ' Ant': -6.93606, ' yes': -7.8182817}
{' Yes': -0.034798525, 'Yes': -3.6510627, ' Generally': -5.765616, '\n': -6.1464887, ' ': -6.656659}
{' Yes': -0.03996769, 'Yes': -3.3626928, ' Generally': -6.430646, ' ': -6.836963, '\n': -7.3113317}
{' Yes': -0.018768426, 'Yes': -4.1500206, ' Generally': -6.569994, ' yes': -7.122421, ' ': -8.562465}
{' Yes': -0.021904046, 'Yes': -3.978918, ' Generally': -6.9747405, ' yes': -7.0216103, ' Ant': -7.5866556}
{' Yes': -0.003792463, 'Yes': -5.846558, ' yes': -7.997278, ' ': -8.117889, '\n': -8.476079}
{' Yes': -0.004660098, 'Yes': -5.889799, ' Generally': -7.4762745, ' yes': -7.490507, '\n': -7.9691505}
{' Yes': -0.017109223, 'Yes': -4.1847744, ' yes': -7.3412833, '\n': -7.7167377, ' ': -7.8771243}
{' Yes': -0.014078218, 'Yes': -4.377844, ' yes': -7.4290104, ' ': -8.204891, ' Generally': -8.251787}
{' Yes': -0.050819498, 'Yes': -3.4561288, '\n': -4.403742, ' ': -5.5260086, ' yes': -6.6840053}
{' Yes': -0.051482093, 'Yes': -3.5460403, '\n': -4.264462, ' ': -5.4000998, ' yes': -6.466843}
{' Yes': -0.0032932954, 'Yes': -5.852857, ' yes': -8.409909, ' ': -8.84509, '\n': -10.357424}
{' Yes': -0.0029260612, 'Yes': -5.985979, ' yes': -8.20541, ' ': -9.395278, '\n': -10.56143}
{' Yes': -0.10559254, 'Yes': -2.4649656, '\n': -5.159615, ' ': -5.2359653, ' yes': -5.7847314}
{' Yes': -0.10513326, 'Yes': -2.433428, '\n': -5.552166, ' yes': -5.6548805, ' ': -5.668583}
{' Yes': -0.019309226, 'Yes': -4.477042, ' yes': -5.072433, ' ': -7.1609836, '\n': -8.235243}
{' Yes': -0.025005618, 'Yes': -4.19314, ' yes': -4.913185, ' ': -6.951591, '\n': -7.8995953}
{' Yes': -0.061662454, 'Yes': -3.0981517, ' yes': -4.456304, ' Generally': -6.700912, 'yes': -7.771191}
{' Yes': -0.08472129, 'Yes': -3.0290475, ' yes': -3.6929364, ' Ant': -6.0148134, ' Generally': -6.095726}
{' Yes': -0.021511408, 'Yes': -3.937384, ' yes': -6.682921, ' Generally': -8.100923, ' ': -9.190521}
{' Yes': -0.051984258, 'Yes': -3.0308752, ' Generally': -6.694981, ' yes': -7.169395, ' ': -9.241483}
{' Yes': -0.041642558, 'Yes': -3.245952, ' yes': -6.8155737, ' ': -8.200906, ' Generally': -8.2199335}
{' Yes': -0.05788139, 'Yes': -2.91776, ' yes': -7.0530744, ' Generally': -7.3969736, ' ': -8.238464}
{' Yes': -0.012100805, 'Yes': -4.5146046, ' yes': -7.161394, ' ': -9.1582985, ' Generally': -9.232078}
{' Yes': -0.021106742, 'Yes': -3.9706438, ' Generally': -7.1423717, ' yes': -7.211461, ' Ant': -8.506967}
{' Yes': -0.13235101, 'Yes': -2.2658901, ' Generally': -4.9602947, ' An': -5.8115315, ' yes': -6.1906314}
{' Yes': -0.13262951, 'Yes': -2.176596, ' Generally': -5.2888584, ' Ant': -6.1369686, ' yes': -6.566255}
{' Yes': -0.033079945, 'Yes': -3.6509426, ' yes': -5.202067, ' Generally': -7.725266, ' ': -8.35668}
{' Yes': -0.04186815, 'Yes': -3.376356, ' yes': -5.3228984, ' Generally': -7.070382, ' Ant': -7.7972064}
{' Yes': -0.08449912, ' yes': -2.6775625, 'Yes': -4.7067657, ' ': -6.6498737, 'yes': -6.956438}
{' Yes': -0.043519564, ' yes': -3.3936248, 'Yes': -4.906715, ' ': -7.260015, 'yes': -7.675369}
{' Yes': -0.038470365, 'Yes': -3.4964185, ' yes': -5.254689, '\n': -6.9167027, ' ': -7.097497}
{' Yes': -0.04016361, 'Yes': -3.472569, ' yes': -5.064202, '\n': -6.9984303, ' ': -7.549032}
{' Yes': -0.09663935, 'Yes': -2.683189, '\n': -4.3050666, ' yes': -5.079849, ' ': -5.7842855}
{' Yes': -0.09208347, 'Yes': -2.7574677, '\n': -4.332892, ' yes': -4.791662, ' ': -6.234476}
{' Yes': -0.018021133, 'Yes': -4.2775483, ' yes': -5.727406, '\n': -8.181877, ' ': -8.227606}
{' Yes': -0.013783025, 'Yes': -4.5801244, ' yes': -5.8094125, '\n': -8.861807, 'yes': -9.116722}
{' Yes': -0.15602358, 'Yes': -2.1614423, '\n': -4.270928, ' yes': -4.5498776, ' ': -5.8814874}
{' Yes': -0.14861521, 'Yes': -2.164162, ' yes': -4.352391, '\n': -5.1274486, ' ': -6.1731515}
{' Yes': -0.11374373, ' yes': -2.5200164, 'Yes': -3.8660781, 'yes': -6.1744657, '\n': -6.196877}
{' Yes': -0.1431286, ' yes': -2.2786684, 'Yes': -3.7579353, 'yes': -5.7386746, '\n': -5.9164515}
