{'\n': -9.868756, ' ': -9.318076, ' Yes': -0.0024784687, ' yes': -8.480762, 'Yes': -6.177218}
{' ': -8.773709, ' Yes': -0.010504589, ' yes': -7.692193, 'Yes': -4.6461453, ' True': -9.661536}
{'\n': -9.109283, ' ': -8.434142, ' Yes': -0.01161267, ' yes': -7.8957314, 'Yes': -4.5406613}
{' ': -10.050677, ' Yes': -0.0021188213, ' yes': -8.938186, 'Yes': -6.273866, ' True': -10.806881}
{'\n': -8.590333, ' ': -7.901245, ' Yes': -0.011440706, ' yes': -8.238204, 'Yes': -4.5659146}
{'\n': -8.881917, ' ': -8.276692, ' Yes': -0.014429495, ' yes': -6.9809813, 'Yes': -4.3610864}
{'\n': -9.315354, ' ': -7.7983255, ' Yes': -0.0023359074, ' yes': -7.609786, 'Yes': -6.6862226}
{'\n': -7.8815455, ' ': -7.4170527, ' Yes': -0.009971298, ' yes': -7.000818, 'Yes': -4.854732}
{'\n': -5.0091634, ' ': -5.6338964, ' Yes': -0.03353762, ' yes': -6.3565955, 'Yes': -3.891955}
{' YES': -10.350702, ' ': -8.362081, ' Yes': -0.0018172237, ' yes': -8.07491, 'Yes': -6.726257}
{'\n': -5.541362, ' ': -5.648075, ' Yes': -0.072738945, ' yes': -5.6933665, 'Yes': -2.8459225}
{'\n': -8.040773, ' ': -7.0750594, ' Yes': -0.02184702, ' yes': -4.7013836, 'Yes': -4.5585213}
{' ': -7.075538, ' Yes': -0.051061224, ' yes': -3.8918471, 'Yes': -3.612903, 'yes': -7.169213}
{' No': -3.8419478, 'No': -6.903796, ' Yes': -0.04291549, ' yes': -5.6991158, 'Yes': -4.191187}
{' No': -3.6783297, 'No': -6.0468416, ' Yes': -0.07348464, ' yes': -5.221243, 'Yes': -3.3245754}
{' No': -9.032247, ' ': -8.594571, ' Yes': -0.009440397, ' yes': -6.7890806, 'Yes': -4.858435}
{' ': -7.7664237, ' Yes': -0.08142099, ' yes': -6.6656585, 'Yes': -2.5801716, 'yes': -8.086326}
{' ': -9.366351, ' Yes': -0.014527399, ' yes': -6.07898, 'Yes': -4.43958, 'yes': -8.940745}
{'\n': -7.092358, ' ': -6.0040927, ' Yes': -0.056071367, ' yes': -3.084113, 'Yes': -5.4756174}
{'\n': -6.4929743, ' ': -6.079092, ' Yes': -0.030720009, ' yes': -4.5964146, 'Yes': -4.187165}
{'\n': -4.2421722, ' ': -5.409063, ' Yes': -0.073139325, ' yes': -4.036354, 'Yes': -3.440567}
{'\n': -8.111843, ' ': -7.509859, ' Yes': -0.009811897, ' yes': -5.834643, 'Yes': -5.158118}
{'\n': -4.156449, ' ': -5.7148643, ' Yes': -0.123409845, ' yes': -4.247935, 'Yes': -2.533833}
{'\n': -5.1888676, ' Yes': -0.1535049, ' yes': -2.1649854, 'Yes': -4.200333, 'yes': -5.774216}
{'\n': -6.5382094, ' ': -6.9594316, ' Yes': -0.007749205, ' yes': -6.552081, 'Yes': -5.640481}
