{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{' No': -5.8989215, ' ': -9.876416, ' Yes': -0.006783777, ' yes': -9.913726, 'Yes': -5.550294}
{' No': -6.696868, ' ': -9.927886, ' Yes': -0.0075852335, ' yes': -9.722079, 'Yes': -5.0851436}
{' No': -4.3050504, ' ': -10.080894, 'No': -9.908817, ' Yes': -0.015652472, 'Yes': -6.2658653}
{' No': -3.9416027, ' ': -8.638105, 'No': -7.9034157, ' Yes': -0.026996782, 'Yes': -5.0211716}
{' No': -6.5524035, ' ': -9.13873, ' Yes': -0.0071807024, ' yes': -8.479369, 'Yes': -5.2265067}
{' No': -10.194537, ' ': -10.531073, ' Yes': -0.00061979383, ' yes': -8.940143, 'Yes': -7.7771735}
{' No': -7.6914454, ' ': -9.9908905, ' Yes': -0.0034325204, ' yes': -9.3247595, 'Yes': -5.868943}
{' No': -7.7029676, ' ': -9.131473, ' Yes': -0.004082927, ' yes': -9.474992, 'Yes': -5.6784697}
{' No': -9.53715, ' ': -10.43458, ' Yes': -0.0011881017, ' yes': -9.5136, 'Yes': -6.901275}
{' No': -9.2125, ' ': -8.154247, ' Yes': -0.005131314, ' yes': -9.028456, 'Yes': -5.38776}
{' No': -8.230551, ' ': -8.555794, ' Yes': -0.0037635071, ' yes': -7.5319505, 'Yes': -5.915985}
{' No': -7.213047, ' ': -10.266596, ' Yes': -0.007730884, ' yes': -7.225693, 'Yes': -5.089869}
{' No': -10.076955, ' ': -12.435977, ' Yes': -0.00614703, ' yes': -9.857414, 'Yes': -5.111755}
{' ': -9.841416, ' Yes': -0.015191652, ' yes': -7.670764, 'Yes': -4.2339892, 'yes': -10.707311}
{' No': -8.171879, ' ': -10.359503, ' Yes': -0.0041472698, ' yes': -8.450066, 'Yes': -5.628237}
{' No': -8.111393, ' ': -9.294268, ' Yes': -0.017898548, ' yes': -8.0756855, 'Yes': -4.0751343}
{' No': -9.458499, ' ': -9.28185, ' Yes': -0.017925005, ' yes': -6.2476935, 'Yes': -4.162058}
{' No': -10.557297, ' ': -9.417477, ' Yes': -0.0025719253, ' yes': -6.5278573, 'Yes': -6.928152}
{' No': -7.375355, ' ': -8.775426, ' Yes': -0.007202136, ' yes': -7.323763, 'Yes': -5.1670494}
{' No': -10.65723, ' ': -8.792231, ' Yes': -0.006460373, ' yes': -7.91149, 'Yes': -5.1394615}
{' No': -9.850423, ' ': -8.9092045, ' Yes': -0.004042769, ' yes': -6.5831823, 'Yes': -6.0231614}
{'\n': -9.382452, ' ': -7.952663, ' Yes': -0.0074650645, ' yes': -7.786891, 'Yes': -5.0354266}
{' No': -8.127812, ' ': -7.4249277, ' Yes': -0.014344898, ' yes': -4.979652, 'Yes': -5.0813823}
{' No': -8.69049, ' ': -9.900651, ' Yes': -0.0008080994, ' yes': -9.593457, 'Yes': -7.575461}
{' No': -6.17926, ' ': -8.707483, ' Yes': -0.0049306294, ' yes': -9.641343, 'Yes': -5.9554486}
{' No': -5.44345, '\n': -9.00101, ' ': -7.784274, ' Yes': -0.009913804, 'Yes': -5.323127}
{' No': -6.3262544, ' ': -8.820737, ' Yes': -0.0027049566, ' yes': -9.78614, 'Yes': -7.272262}
{' No': -7.38284, ' ': -7.980764, ' Yes': -0.0050732004, ' yes': -9.61077, 'Yes': -5.529176}
{' No': -7.42449, ' ': -8.897479, ' Yes': -0.0023083074, ' yes': -8.601549, 'Yes': -6.5913124}
{' No': -0.0026552933, ' ': -10.077337, 'No': -5.950014, ' no': -13.581753, ' NO': -13.850253}
{' No': -0.008883439, ' ': -9.642545, 'No': -4.736214, ' no': -13.199323, ' NO': -12.891495}
{' No': -0.010580909, ' ': -9.430065, 'No': -4.562299, ' no': -13.441259, ' NO': -12.874903}
{' No': -0.0030544759, ' ': -10.190174, 'No': -5.8063035, ' no': -13.502877, ' NO': -13.841672}
{' No': -0.018179663, '\n': -12.727382, ' ': -8.729021, 'No': -4.0264115, ' no': -12.755634}
{' No': -0.014096354, ' x': -11.7657175, ' ': -8.573058, 'No': -4.284791, ' no': -11.6364765}
{' No': -0.00056426885, '\n': -13.149835, ' ': -9.80634, 'No': -7.5947204, ' no': -13.030134}
{' No': -0.0031967177, '\n': -12.635845, ' ': -9.445038, 'No': -5.7750874, ' no': -13.06301}
{' No': -0.0033898787, '\n': -10.561457, ' ': -8.772027, 'No': -5.745814, ' no': -13.063387}
{' No': -0.0016486674, '\n': -12.169834, ' ': -9.691775, 'No': -6.4523168, ' no': -13.519798}
{' No': -0.0051124417, '\n': -10.431902, ' ': -8.268642, 'No': -5.3383884, ' no': -12.717994}
{' No': -0.0043921573, '\n': -9.952182, ' ': -8.441718, 'No': -5.496045, ' no': -11.589378}
{' No': -0.011473144, ' ': -9.021488, 'No': -4.4943256, ' no': -9.435117, ' NO': -11.355923}
{' No': -0.01030132, ' ': -10.918542, 'No': -4.582702, ' no': -13.623679, ' NO': -14.112361}
{' No': -0.027360953, '\n': -11.112982, ' ': -8.448521, 'No': -3.6224802, ' no': -10.921418}
{' No': -0.0075179706, ' ': -9.071277, 'No': -4.9143076, ' no': -10.949822, ' NO': -12.009176}
{' No': -0.03260561, '\n': -10.68246, ' ': -8.306259, 'No': -3.4502997, ' no': -10.633782}
{' No': -0.04734258, '\n': -9.896285, ' ': -7.848904, 'No': -3.0900004, ' no': -8.643901}
{' No': -0.0012681301, '\n': -11.518736, ' ': -8.423686, 'No': -6.9133863, ' no': -10.196105}
{' No': -0.007234554, '\n': -11.499629, ' ': -8.333509, 'No': -4.972437, ' no': -10.67919}
{' No': -0.00790628, '\n': -9.394102, ' ': -7.9139533, 'No': -4.905009, ' no': -11.696754}
{' No': -0.003925359, '\n': -10.278748, ' ': -7.941011, 'No': -5.6655445, ' no': -9.875454}
{' No': -0.007815583, '\n': -8.694026, ' ': -7.4774737, 'No': -4.958848, ' no': -10.854773}
{' No': -0.010288854, '\n': -8.430918, ' ': -7.1774807, 'No': -4.7248178, ' no': -7.969795}
{' No': -0.00057285564, '\n': -12.816389, ' ': -9.671955, 'No': -7.5926976, ' no': -13.653363}
{' No': -0.0028427895, '\n': -11.778084, ' ': -9.075261, 'No': -5.91013, ' NO': -13.015147}
{' No': -0.0056609525, '\n': -8.903161, ' ': -8.073812, 'No': -5.261539, ' NO': -12.743994}
{' No': -0.0011288456, '\n': -11.303934, ' ': -8.776082, 'No': -6.952243, ' NO': -13.013526}
{' No': -0.0041396683, '\n': -10.064863, ' ': -8.055219, 'No': -5.582846, ' no': -12.642829}
{' No': -0.001568607, '\n': -12.213619, ' ': -8.849358, 'No': -6.5629387, ' no': -12.359761}
{' No': -0.0023151776, ' ': -10.961797, 'No': -6.0848193, ' Yes': -11.088801, ' NO': -13.911051}
{' No': -0.008625609, ' ': -10.067888, 'No': -4.949393, ' Yes': -6.540207, 'Yes': -11.506555}
{' No': -0.01009484, ' ': -9.920278, 'No': -4.6249685, ' Yes': -8.607606, ' NO': -12.984531}
{' No': -0.0033943052, ' ': -11.241562, 'No': -5.7027664, ' Yes': -10.233543, ' NO': -13.994493}
{' No': -0.02752759, ' ': -8.92864, 'No': -4.0243306, ' Yes': -4.70921, 'Yes': -9.029556}
{' No': -0.18022169, ' ': -8.426815, 'No': -4.3460083, ' Yes': -1.8931618, 'Yes': -6.8229923}
{' No': -1.3915486, ' ': -8.761604, ' Yes': -0.28709656, ' yes': -8.892155, 'Yes': -7.7495747}
{' No': -0.42665935, ' ': -8.710567, 'No': -5.9225388, ' Yes': -1.0700481, 'Yes': -6.560202}
{' No': -0.5338015, ' ': -7.438754, 'No': -6.118457, ' Yes': -0.8943744, 'Yes': -6.3103704}
{' No': -0.07858909, ' ': -9.103579, 'No': -6.724961, ' Yes': -2.6019044, 'Yes': -9.037506}
{' No': -2.943304, ' ': -7.007534, 'No': -7.8993855, ' Yes': -0.06162455, 'Yes': -5.186987}
{' No': -2.6926255, ' ': -7.802172, ' Yes': -0.07470176, ' yes': -7.774105, 'Yes': -5.7989554}
{' No': -0.009375775, ' ': -10.241393, 'No': -4.841075, ' Yes': -6.6102285, ' no': -10.754804}
{' No': -0.02168176, ' ': -10.845368, 'No': -4.829482, ' Yes': -4.318879, 'Yes': -9.033728}
{' No': -0.25338122, ' ': -7.943256, 'No': -4.059243, ' Yes': -1.5978903, 'Yes': -5.5877337}
{' No': -0.44372806, ' ': -8.821794, 'No': -5.5060797, ' Yes': -1.043225, 'Yes': -6.3510804}
{' No': -0.3189559, ' ': -7.6995444, 'No': -3.7246163, ' Yes': -1.4124465, 'Yes': -5.3328757}
{' No': -1.628993, 'No': -4.6947966, ' Yes': -0.25256822, ' yes': -6.686536, 'Yes': -4.138793}
{' No': -0.28759477, ' ': -7.3398786, 'No': -7.2594743, ' Yes': -1.3961896, ' yes': -7.422595}
{' No': -0.04199607, ' ': -7.91217, 'No': -4.9283047, ' Yes': -3.4066732, 'Yes': -8.127859}
{' No': -1.9020084, ' ': -6.8979454, 'No': -6.6559486, ' Yes': -0.17325999, 'Yes': -4.9508386}
{' No': -0.01046616, ' ': -8.000479, 'No': -5.894877, ' Yes': -4.930937, ' no': -10.227676}
{' No': -0.612639, ' ': -5.942671, 'No': -5.376536, ' Yes': -0.80816126, 'Yes': -5.4254117}
{' No': -0.09046983, ' ': -6.4632263, 'No': -4.848063, ' Yes': -2.5877213, 'Yes': -7.42507}
{' No': -2.0971482, ' ': -8.3789, ' Yes': -0.1320089, ' yes': -9.458957, 'Yes': -7.680674}
{' No': -0.83207756, ' ': -7.8873196, 'No': -6.643851, ' Yes': -0.57752097, 'Yes': -6.317229}
{' No': -1.638587, ' ': -6.785636, 'No': -6.9849954, ' Yes': -0.22430322, 'Yes': -5.49096}
{' No': -0.53353035, ' ': -7.7716165, 'No': -7.6740236, ' Yes': -0.8864243, 'Yes': -7.822663}
{' No': -4.7581687, ' ': -7.4708877, ' Yes': -0.016643304, ' yes': -9.209281, 'Yes': -4.9494815}
{' No': -3.9023874, ' ': -8.285224, ' Yes': -0.022531213, ' yes': -8.695325, 'Yes': -6.445771}
{' YES': -12.226814, ' ': -11.709353, ' Yes': -0.002573599, ' yes': -10.275019, 'Yes': -5.983032}
{' YES': -11.960151, ' ': -11.48027, ' Yes': -0.0050052074, ' yes': -9.984956, 'Yes': -5.3129616}
{' YES': -11.665626, ' ': -11.656918, ' Yes': -0.007264754, ' yes': -9.988895, 'Yes': -4.937537}
{' YES': -12.495994, ' ': -12.248782, ' Yes': -0.0029239678, ' yes': -10.562265, 'Yes': -5.848533}
{' YES': -12.200937, ' ': -11.2115345, ' Yes': -0.00885331, ' yes': -10.125121, 'Yes': -4.7386827}
{' YES': -11.869065, ' ': -10.891021, ' Yes': -0.0070296684, ' yes': -9.208955, 'Yes': -4.9799128}
{' YES': -11.977054, ' ': -11.064795, ' Yes': -0.0005444699, ' yes': -9.570969, 'Yes': -7.7058625}
{' YES': -11.691713, ' ': -10.676386, ' Yes': -0.0039635976, ' yes': -9.569271, 'Yes': -5.560423}
