{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -8.257107, ' Generally': -9.097896, ' Yes': -0.0050366553, ' yes': -8.143117, 'Yes': -5.5257635}
{'\n': -8.39579, ' ': -8.285706, ' Yes': -0.012616223, ' yes': -7.309885, 'Yes': -4.507224}
{' No': -10.792578, ' Generally': -9.865878, ' Yes': -0.0009411362, ' yes': -9.996386, 'Yes': -7.209563}
{' Usually': -8.066056, '\n': -7.8784966, ' Generally': -6.198034, ' Yes': -0.020776605, 'Yes': -4.0951}
{' ': -9.107946, ' Generally': -8.190254, ' Yes': -0.006876495, ' yes': -8.28256, 'Yes': -5.1531243}
{'\n': -9.203542, ' ': -8.679291, ' Yes': -0.0014158501, ' yes': -7.892576, 'Yes': -7.2291603}
{'\n': -8.997928, ' ': -8.181697, ' Yes': -0.007319271, ' yes': -7.290625, 'Yes': -5.1038594}
{'\n': -5.80007, ' ': -6.2596793, ' Yes': -0.026708711, ' yes': -6.7571635, 'Yes': -3.9203622}
{' YES': -12.196772, ' ': -10.167361, ' Yes': -0.0010030647, ' yes': -9.670945, 'Yes': -7.032249}
{'\n': -5.436443, ' ': -5.280147, ' Yes': -0.08990253, ' yes': -5.5715575, 'Yes': -2.6406646}
{' YES': -9.969908, ' ': -8.732166, ' Yes': -0.005377461, ' yes': -6.5812626, 'Yes': -5.6106644}
{' ': -9.651871, ' Generally': -9.341597, ' Yes': -0.006890122, ' yes': -7.5098233, 'Yes': -5.1114144}
{' ': -7.9418716, ' Yes': -0.050480653, ' yes': -5.065619, 'Yes': -3.1815672, 'yes': -7.4242067}
{'\n': -7.411246, ' ': -7.1280785, ' Yes': -0.035691332, ' yes': -5.6322756, 'Yes': -3.525397}
{'\n': -8.383754, ' ': -8.771353, ' Yes': -0.0037779857, ' yes': -7.234203, 'Yes': -5.9536505}
{'\n': -8.110402, ' ': -7.5310507, ' Yes': -0.0403728, ' yes': -7.859802, 'Yes': -3.276455}
{'\n': -7.48635, ' Yes': -0.07876861, ' yes': -4.8875623, 'Yes': -2.7301815, 'yes': -6.1873307}
{' ': -7.233639, ' Yes': -0.077270865, ' yes': -2.652941, 'Yes': -6.068491, 'yes': -7.892664}
{' ': -7.3841667, ' Yes': -0.028095583, ' yes': -4.7797813, 'Yes': -4.033974, 'yes': -7.727749}
{'\n': -4.8568726, ' ': -5.9560843, ' Yes': -0.07703606, ' yes': -4.066927, 'Yes': -3.1073396}
{'\n': -7.617129, ' ': -8.243278, ' Yes': -0.012685219, ' yes': -5.5422015, 'Yes': -4.8685045}
{'\n': -4.8094144, ' ': -5.5086093, ' Yes': -0.1445622, ' yes': -3.9642928, 'Yes': -2.315737}
{'\n': -6.8911963, ' ': -7.7058816, ' Yes': -0.026084548, ' yes': -4.0965075, 'Yes': -4.9611773}
{'\n': -9.901326, ' ': -9.241678, ' Yes': -0.0018491097, ' yes': -7.468091, 'Yes': -6.838889}
{'\n': -6.5971513, ' ': -7.8886776, ' Yes': -0.011238692, ' yes': -7.400513, 'Yes': -4.747294}
{'\n': -5.5815473, ' ': -6.634961, ' Yes': -0.023039708, ' yes': -6.8508663, 'Yes': -4.1150594}
{'\n': -7.998833, ' ': -7.9763837, ' Yes': -0.0030813182, ' yes': -8.305285, 'Yes': -6.159882}
{'\n': -5.188498, ' ': -6.492176, ' Yes': -0.048166864, ' yes': -5.9532394, 'Yes': -3.3072457}
{'\n': -8.408502, ' ': -8.697736, ' Yes': -0.013575708, ' yes': -5.562064, 'Yes': -4.714917}
{'\n': -10.213735, ' Generally': -10.189443, ' Yes': -0.00247799, ' yes': -9.900078, 'Yes': -6.0863495}
{' No': -5.925227, ' Generally': -7.874557, ' Yes': -0.013051645, 'Yes': -4.8365035, ' It': -7.4575953}
{' No': -7.363413, '\n': -8.128018, ' Yes': -0.01665694, ' yes': -7.59881, 'Yes': -4.235058}
{' No': -7.7074575, ' Generally': -9.745031, ' Yes': -0.002587643, ' yes': -9.849486, 'Yes': -6.284465}
{' No': -4.3397865, 'No': -6.7766623, ' Yes': -0.041982584, 'Yes': -3.8587606, ' It': -6.3495765}
{' No': -9.342048, ' Generally': -9.177937, ' Yes': -0.006405184, ' yes': -8.61857, 'Yes': -5.156765}
{'\n': -8.346979, ' ': -8.250817, ' Yes': -0.002243489, ' yes': -7.601792, 'Yes': -6.74635}
{'\n': -8.539615, ' ': -8.097236, ' Yes': -0.008817472, ' yes': -7.7490897, 'Yes': -4.8718123}
{'\n': -5.664127, ' ': -6.2426295, ' Yes': -0.025203582, ' yes': -6.9962635, 'Yes': -4.0064883}
{' No': -11.060435, ' ': -9.659863, ' Yes': -0.0013214858, ' yes': -9.6084175, 'Yes': -6.7686973}
{'\n': -5.2250113, ' ': -5.296086, ' Yes': -0.10461686, ' yes': -5.2810025, 'Yes': -2.4996173}
{' No': -10.113654, ' ': -8.970899, ' Yes': -0.0045282426, ' yes': -6.4923496, 'Yes': -5.907322}
{' ': -9.776443, ' Generally': -9.566942, ' Yes': -0.008054445, ' yes': -8.013976, 'Yes': -4.9039035}
{' No': -5.7860413, 'No': -7.300834, ' Yes': -0.07431089, ' yes': -5.528849, 'Yes': -2.7760148}
{' No': -5.7267466, ' ': -7.3466, ' Yes': -0.04018893, ' yes': -6.570761, 'Yes': -3.414151}
{' No': -1.5553408, ' ': -7.1464467, 'No': -4.9792185, ' Yes': -0.26354697, 'Yes': -4.495934}
{' No': -2.5065072, 'No': -3.552562, ' Yes': -0.18483284, 'Yes': -2.929656, ' It': -6.540395}
{'\n': -6.3532157, ' Yes': -0.17995642, ' yes': -6.6493163, 'Yes': -1.8325976, 'yes': -7.3825316}
{'\n': -7.575476, ' ': -6.856503, ' Yes': -0.08965377, ' yes': -2.5193584, 'Yes': -5.815041}
{'\n': -7.428443, ' ': -7.4504523, ' Yes': -0.028407782, ' yes': -5.2147746, 'Yes': -3.860704}
{'\n': -4.9552794, ' ': -5.9861326, ' Yes': -0.075409986, ' yes': -4.198819, 'Yes': -3.064977}
{'\n': -7.9401155, ' ': -8.600536, ' Yes': -0.013653589, ' yes': -5.3668504, 'Yes': -4.8092217}
{'\n': -4.3958445, ' ': -5.127206, ' Yes': -0.16424446, ' yes': -3.6327064, 'Yes': -2.3023536}
{'\n': -7.328664, ' ': -8.178945, ' Yes': -0.028762283, ' yes': -3.7737095, 'Yes': -5.5009966}
{'\n': -9.913774, ' ': -9.526317, ' Yes': -0.0019583337, ' yes': -7.803043, 'Yes': -6.609811}
{'\n': -6.5265493, ' ': -8.059932, ' Yes': -0.014094238, ' yes': -7.619513, 'Yes': -4.46048}
{'\n': -5.5963864, ' ': -6.64012, ' Yes': -0.022564564, ' yes': -7.168251, 'Yes': -4.118788}
{'\n': -8.328505, ' ': -8.042492, ' Yes': -0.0031109157, ' yes': -8.39875, 'Yes': -6.082779}
{'\n': -5.614977, ' ': -6.738006, ' Yes': -0.040424496, ' yes': -6.209091, 'Yes': -3.4343033}
{'\n': -8.488005, ' ': -8.3192835, ' Yes': -0.011493886, ' yes': -5.6685805, 'Yes': -4.922552}
{' No': -6.6034126, '\n': -10.643526, ' Yes': -0.0028268306, ' yes': -9.765976, 'Yes': -6.66506}
{' No': -1.3398585, 'No': -5.017793, ' Yes': -0.32375294, 'Yes': -5.147802, ' It': -7.531256}
{' No': -2.0428443, ' ': -7.272508, 'No': -5.368839, ' Yes': -0.16053161, 'Yes': -4.458465}
{' No': -2.4073305, 'No': -7.66568, ' Yes': -0.09751796, 'Yes': -6.511311, ' In': -8.61925}
{' No': -0.44945654, '\n': -5.800658, 'No': -3.2556524, ' Yes': -1.1780484, 'Yes': -5.197564}
{' No': -3.1226661, 'No': -6.562983, ' Yes': -0.055989042, ' yes': -7.8236103, 'Yes': -4.929213}
{' No': -3.3675246, ' ': -8.383249, ' Yes': -0.03707682, ' yes': -7.1232023, 'Yes': -7.399826}
{' No': -2.862156, 'No': -7.0903244, ' Yes': -0.067762725, ' yes': -7.135296, 'Yes': -5.17486}
{' No': -5.010804, '\n': -5.768693, ' ': -6.387749, ' Yes': -0.028350325, 'Yes': -4.2216506}
{' No': -2.7449007, ' ': -8.741937, ' Yes': -0.06795422, ' yes': -8.748534, 'Yes': -7.0392385}
{' No': -0.51463544, '\n': -4.263048, 'No': -2.730242, ' Yes': -1.2412018, 'Yes': -4.008826}
{' No': -5.5811043, ' ': -8.974193, ' Yes': -0.008941772, ' yes': -6.4905066, 'Yes': -5.7419987}
{' No': -0.11480465, 'No': -3.6812184, ' Yes': -2.5131469, 'Yes': -7.057764, ' no': -8.289625}
{' No': -0.47975603, 'No': -2.2730527, ' Yes': -1.3734348, ' yes': -5.2376904, 'Yes': -4.1346917}
