{'\n': -11.393823, ' ': -10.280131, ' Yes': -0.004631475, ' yes': -10.561475, 'Yes': -5.4026356}
{' No': -5.0059443, 'No': -8.029742, ' Yes': -0.017846182, ' yes': -8.944868, 'Yes': -4.586606}
{' No': -6.2673054, ' ': -7.8511457, ' Yes': -0.019147966, ' yes': -8.57283, 'Yes': -4.12813}
{' No': -6.4973, ' Yes': -0.0038408102, 'Yes': -6.1937494, ' In': -9.7580805, ' Chron': -9.901381}
{'\n': -7.796287, ' ': -7.5896263, ' Yes': -0.03295784, ' yes': -8.36839, 'Yes': -3.4736886}
{'\n': -9.271695, ' ': -8.752925, ' Yes': -0.015718224, ' yes': -8.1614685, 'Yes': -4.204677}
{' No': -2.870287, '\n': -8.883041, ' ': -7.8409576, ' Yes': -0.060150526, 'Yes': -7.222794}
{' No': -4.322497, ' ': -7.3661847, 'No': -7.5290313, ' Yes': -0.02717683, 'Yes': -4.450999}
{' No': -6.731662, '\n': -5.550713, ' ': -5.9398274, ' Yes': -0.04063144, 'Yes': -3.4689207}
{' No': -1.6823324, ' ': -7.1716185, 'No': -6.798821, ' Yes': -0.21112569, 'Yes': -6.267297}
{' No': -5.7721796, '\n': -5.365014, ' ': -5.189081, ' Yes': -0.11180977, 'Yes': -2.4194326}
{' No': -8.103784, ' ': -7.5368395, ' Yes': -0.0117671145, ' yes': -6.3836584, 'Yes': -4.7427106}
{' No': -3.2626047, 'No': -5.905238, ' Yes': -0.07351408, ' yes': -4.648405, 'Yes': -4.006673}
{' No': -3.956771, 'No': -6.463282, ' Yes': -0.04478186, ' yes': -6.828976, 'Yes': -3.8362494}
{' No': -5.2349625, 'No': -7.4400563, ' Yes': -0.04063063, ' yes': -6.6156006, 'Yes': -3.4500465}
{' No': -0.8842605, 'No': -4.383852, ' Yes': -0.5674537, ' yes': -7.634678, 'Yes': -5.094511}
{' No': -6.242045, 'No': -7.333055, ' Yes': -0.07858561, ' yes': -6.829683, 'Yes': -2.643384}
{' No': -2.3498814, 'No': -4.7814684, ' Yes': -0.13254677, ' yes': -6.498622, 'Yes': -4.0009513}
{' No': -5.852029, ' ': -6.8248777, ' Yes': -0.018729312, ' yes': -4.5369215, 'Yes': -5.688168}
{'\n': -7.9646173, ' ': -6.895764, ' Yes': -0.0244224, ' yes': -5.72407, 'Yes': -3.966107}
{'\n': -5.1894956, ' ': -5.750054, ' Yes': -0.079311766, ' yes': -5.2395077, 'Yes': -2.7948837}
{' No': -0.62476826, ' ': -6.116321, 'No': -4.053975, ' Yes': -0.82603943, 'Yes': -5.3393145}
