{'\n': -10.568761, ' ': -9.932915, ' Yes': -0.002365244, ' yes': -9.487791, 'Yes': -6.126602}
{' No': -4.3397775, ' One': -7.760415, 'No': -7.892552, ' Yes': -0.022636808, 'Yes': -4.893776}
{' No': -0.6137487, ' One': -4.698845, 'No': -4.317782, ' Yes': -0.8479273, 'Yes': -5.449211}
{' No': -7.1118207, ' One': -9.221241, ' Yes': -0.0025204162, 'Yes': -6.651415, ' True': -9.457638}
{' No': -2.2221708, ' One': -4.096162, 'No': -6.279757, ' Yes': -0.14589214, 'Yes': -5.1762877}
{' No': -5.753675, ' One': -4.4115615, ' Yes': -0.02440041, ' yes': -7.6270366, 'Yes': -4.975618}
{' ': -8.077524, ' Yes': -0.0015911122, ' yes': -8.104351, 'Yes': -7.175619, ' True': -9.262603}
{' No': -7.3797736, ' ': -7.214606, ' Yes': -0.012745827, ' yes': -7.2959733, 'Yes': -4.6607237}
{' No': -6.0435133, '\n': -5.0951777, ' ': -5.537036, ' Yes': -0.036732957, 'Yes': -3.8277256}
{' No': -10.160943, ' ': -8.193883, ' Yes': -0.00145871, ' yes': -8.905707, 'Yes': -6.9661245}
{' No': -4.8527555, '\n': -4.745608, ' ': -5.08787, ' Yes': -0.10254715, 'Yes': -2.6967874}
{' One': -6.7002616, ' ': -7.127905, ' Yes': -0.022757959, ' yes': -4.894891, 'Yes': -4.5031443}
{' ': -7.590547, ' Yes': -0.03206441, ' yes': -4.4886665, 'Yes': -4.0102096, 'yes': -7.609916}
{' No': -0.3119227, ' One': -6.4165673, 'No': -3.6676965, ' Yes': -1.4559963, 'Yes': -5.8314643}
{' No': -0.68410355, 'No': -3.6197572, ' Yes': -0.79962397, ' yes': -6.117066, 'Yes': -4.501332}
{' No': -1.5582374, 'No': -6.1401615, ' Yes': -0.2456344, ' yes': -7.6832547, 'Yes': -5.5250535}
{' No': -0.37807673, ' One': -5.3449345, 'No': -1.9007397, ' Yes': -1.9252722, 'Yes': -4.4717064}
{' No': -0.44436786, ' ': -6.610206, 'No': -3.92258, ' Yes': -1.1080602, 'Yes': -5.4753847}
{'\n': -6.1404033, ' ': -6.021059, ' Yes': -0.09177975, ' yes': -2.5908432, 'Yes': -5.3137846}
{' No': -3.4624922, ' ': -5.779131, ' Yes': -0.062986605, ' yes': -4.719921, 'Yes': -4.382263}
{' No': -2.4606209, '\n': -3.4877987, ' ': -4.4979534, ' Yes': -0.18831073, 'Yes': -3.6643636}
{'\n': -7.4306736, ' ': -7.183513, ' Yes': -0.011983891, ' yes': -6.1840606, 'Yes': -4.8937263}
{' No': -0.77939075, '\n': -2.4859338, 'No': -2.5160604, ' Yes': -1.1211094, 'Yes': -3.5475829}
{'\n': -5.696755, ' Yes': -0.15581341, ' yes': -2.1325667, 'Yes': -4.3126554, 'yes': -5.6541624}
{'\n': -7.342368, ' ': -7.7245164, ' Yes': -0.004801795, ' yes': -7.490262, 'Yes': -5.8558245}
