{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{' No': -1.4167917, ' ': -8.660137, 'No': -5.1459255, ' Yes': -0.29348934, 'Yes': -5.1553307}
{' No': -1.1443295, ' ': -8.113448, 'No': -4.807135, ' Yes': -0.4056782, 'Yes': -5.0373807}
{' No': -2.848241, ' ': -9.304608, 'No': -7.794356, ' Yes': -0.06306405, 'Yes': -5.95094}
{' No': -0.41296604, ' ': -7.408999, 'No': -3.6651495, ' Yes': -1.1770099, 'Yes': -5.574326}
{' No': -0.088993825, ' ': -8.061911, 'No': -3.7959106, ' Yes': -2.7843635, 'Yes': -7.570826}
{' No': -6.2704167, ' ': -10.617458, ' Yes': -0.0023905765, ' yes': -9.258268, 'Yes': -7.8953385}
{' No': -2.6561422, ' ': -9.195259, 'No': -7.766257, ' Yes': -0.076485716, 'Yes': -5.8782578}
{' No': -0.5316696, ' ': -7.407062, 'No': -5.698028, ' Yes': -0.89990044, 'Yes': -6.3757358}
{' No': -3.8134792, ' ': -9.307155, ' Yes': -0.023667036, ' yes': -9.732961, 'Yes': -6.795714}
{' No': -0.9252715, ' ': -6.55766, 'No': -6.017686, ' Yes': -0.51583606, 'Yes': -5.9979506}
{' No': -5.787216, ' ': -8.375698, ' Yes': -0.0064888108, ' yes': -8.001993, 'Yes': -5.8876667}
{' No': -3.0758188, 'No': -7.1731358, ' Yes': -0.054927573, ' yes': -7.0984893, 'Yes': -5.194841}
{' No': -4.139226, 'No': -8.024367, ' Yes': -0.024150457, ' yes': -9.027152, 'Yes': -4.8981757}
{' No': -3.417725, 'No': -6.435679, ' Yes': -0.054682333, ' yes': -7.4384217, 'Yes': -4.023497}
{' No': -4.309344, 'No': -8.619381, ' Yes': -0.019020626, ' yes': -8.103284, 'Yes': -5.3317666}
{' No': -4.20742, 'No': -6.815904, ' Yes': -0.039008547, ' yes': -7.7259665, 'Yes': -3.8392632}
{' No': -4.0829744, 'No': -6.8636217, ' Yes': -0.034360133, ' yes': -6.597507, 'Yes': -4.249751}
{' No': -6.064399, ' ': -9.410168, ' Yes': -0.0037659605, ' yes': -7.1419683, 'Yes': -7.5017533}
{' No': -3.0530798, 'No': -7.6349854, ' Yes': -0.053808585, ' yes': -8.036818, 'Yes': -5.485716}
{' No': -2.887744, ' ': -7.842448, 'No': -7.67286, ' Yes': -0.063153446, 'Yes': -5.4341826}
{' No': -5.114864, ' ': -8.438479, ' Yes': -0.008712305, ' yes': -7.3595743, 'Yes': -6.3349442}
{' No': -4.494487, ' ': -7.464402, ' Yes': -0.017079692, ' yes': -8.00176, 'Yes': -5.3676443}
{' No': -5.691515, ' ': -7.4906216, ' Yes': -0.012813745, ' yes': -5.383549, 'Yes': -5.5098286}
{' No': -2.2971754, ' ': -8.9491005, 'No': -9.706637, ' Yes': -0.106703855, 'Yes': -7.793969}
{' No': -0.9311921, ' ': -7.6141195, 'No': -6.080442, ' Yes': -0.50884783, 'Yes': -6.273225}
{' No': -0.3366977, ' ': -6.3101397, 'No': -5.3284636, ' Yes': -1.282487, 'Yes': -6.521402}
