{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{' No': -10.463265, ' ': -11.039891, ' Yes': -0.008681941, ' yes': -9.112926, 'Yes': -4.7707305}
{' No': -8.7595, ' ': -10.526467, ' Yes': -0.016088989, ' yes': -9.400053, 'Yes': -4.155928}
{' No': -10.5010805, ' ': -12.061608, ' Yes': -0.0030050294, ' yes': -10.218882, 'Yes': -5.8338246}
{' No': -8.922291, ' ': -10.159529, ' Yes': -0.011663567, ' yes': -9.357643, 'Yes': -4.4817314}
{' No': -9.898924, ' ': -10.084921, ' Yes': -0.0061039105, ' yes': -8.617823, 'Yes': -5.150309}
{' YES': -12.6603, ' ': -11.231713, ' Yes': -0.0006923215, ' yes': -9.35133, 'Yes': -7.443374}
{' No': -10.956343, ' ': -10.394207, ' Yes': -0.0049061305, ' yes': -9.183821, 'Yes': -5.353464}
{' No': -10.862741, ' ': -9.621742, ' Yes': -0.005453929, ' yes': -9.086002, 'Yes': -5.2552667}
{' No': -11.976148, ' ': -11.2060375, ' Yes': -0.0010694131, ' yes': -9.864358, 'Yes': -6.9157968}
{' No': -10.932131, ' ': -8.702802, ' Yes': -0.005627984, ' yes': -9.289313, 'Yes': -5.2380457}
{'\n': -10.782088, ' ': -9.287454, ' Yes': -0.0047221403, ' yes': -7.7454653, 'Yes': -5.4884577}
{' No': -9.646492, ' Yes': -0.0063879057, ' yes': -7.9782867, 'Yes': -5.1287785, 'yes': -11.143428}
{' No': -12.161346, ' Yes': -0.014286489, ' yes': -9.48078, 'Yes': -4.262139, 'yes': -11.807916}
{' ': -10.465259, ' Yes': -0.015686195, ' yes': -8.573804, 'Yes': -4.178911, 'yes': -11.151433}
{' No': -10.190258, ' ': -11.600533, ' Yes': -0.004183479, ' yes': -8.877449, 'Yes': -5.5268197}
{' ': -10.28824, ' Yes': -0.023763957, ' yes': -8.023706, 'Yes': -3.7696612, 'yes': -10.2027}
