{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -8.895726, ' ': -10.882443, ' Yes': -0.0082712, ' yes': -9.158066, 'Yes': -4.8332586}
{' No': -8.626525, ' ': -10.293981, ' Yes': -0.015406934, ' yes': -9.084157, 'Yes': -4.203738}
{' No': -10.718645, ' ': -11.957847, ' Yes': -0.0024200922, ' yes': -10.170793, 'Yes': -6.054418}
{' No': -9.24397, ' ': -10.607742, ' Yes': -0.012932929, ' yes': -9.291405, 'Yes': -4.372699}
{' No': -8.845406, ' ': -9.75672, ' Yes': -0.008213623, ' yes': -8.250816, 'Yes': -4.867674}
{' No': -12.697897, ' ': -11.052676, ' Yes': -0.00081370876, ' yes': -9.17284, 'Yes': -7.2846684}
{' No': -11.544756, ' ': -10.52571, ' Yes': -0.00477137, ' yes': -9.213328, 'Yes': -5.3786817}
{' No': -10.085981, ' ': -9.730175, ' Yes': -0.004335403, ' yes': -9.203665, 'Yes': -5.4942055}
{' No': -12.361269, ' ': -11.271693, ' Yes': -0.0010634462, ' yes': -9.609275, 'Yes': -6.9335732}
{' No': -10.412233, ' ': -8.607199, ' Yes': -0.0052629453, ' yes': -9.21015, 'Yes': -5.318146}
{'\n': -10.8512335, ' ': -9.360262, ' Yes': -0.0044611865, ' yes': -7.63535, 'Yes': -5.5643263}
{' No': -7.699609, ' ': -10.48799, ' Yes': -0.0088383965, ' yes': -7.708091, 'Yes': -4.8508353}
{' No': -10.900153, ' Yes': -0.011397601, ' yes': -9.484176, 'Yes': -4.4892836, 'yes': -12.105933}
{' ': -10.511718, ' Yes': -0.017281493, ' yes': -7.7660723, 'Yes': -4.095698, 'yes': -10.578811}
{' No': -11.823075, ' Yes': -0.0060650487, ' yes': -8.298114, 'Yes': -5.1552043, 'yes': -11.623576}
{' ': -10.397632, ' Yes': -0.022954201, ' yes': -7.921994, 'Yes': -3.8056555, 'yes': -10.335456}
{' ': -9.938855, ' Yes': -0.020212388, ' yes': -6.776272, 'Yes': -3.9769385, 'yes': -9.859802}
{' ': -9.890792, ' Yes': -0.0018369277, ' yes': -7.3054843, 'Yes': -6.8161025, 'yes': -11.887512}
{' ': -9.680005, ' Yes': -0.0088134445, ' yes': -7.3973894, 'Yes': -4.821981, 'yes': -10.604697}
{'\n': -11.179343, ' ': -9.021474, ' Yes': -0.008122583, ' yes': -8.146667, 'Yes': -4.874015}
{' ': -9.192325, ' Yes': -0.0042013763, ' yes': -7.212104, 'Yes': -5.7153997, 'yes': -10.668773}
{'\n': -9.278462, ' ': -7.85479, ' Yes': -0.009732264, ' yes': -7.7338567, 'Yes': -4.7469068}
{' ': -8.124488, ' Yes': -0.012201202, ' yes': -5.4005046, 'Yes': -4.9447055, 'yes': -9.378385}
{' No': -11.238206, ' ': -10.465252, ' Yes': -0.00069434993, ' yes': -9.583487, 'Yes': -7.45619}
