{' Yes': -0.023977548, ' No': -3.916216, 'Yes': -5.6816344, ' The': -8.715471, 'No': -9.452027}
{' Yes': -0.0023186428, 'Yes': -6.2252283, ' No': -8.20589, ' The': -10.517592, ' yes': -10.690103}
{' No': -0.021005997, 'No': -4.3967476, ' Yes': -4.809166, ' The': -9.101328, ' ': -9.446398}
{' Yes': -0.46020067, ' No': -1.0012296, 'Yes': -7.4328074, 'No': -7.478183, ' The': -9.281037}
{' Yes': -0.02937241, ' No': -3.8048391, 'Yes': -5.0781317, 'No': -8.506837, ' ': -8.906594}
{' Yes': -0.00684277, ' No': -5.186957, 'Yes': -6.812119, ' The': -9.432986, ' yes': -10.973122}
{' No': -0.03879618, ' Yes': -3.6779408, 'No': -4.650212, ' Unfortunately': -6.1788664, ' Not': -7.3943086}
{' Yes': -0.004430952, ' No': -5.8355618, 'Yes': -6.557423, ' The': -10.237202, ' yes': -10.7740555}
{' Yes': -0.0087622125, ' No': -5.4773555, 'Yes': -5.4813995, ' Wife': -8.201502, ' ': -10.494797}
{' No': -0.057319712, ' Yes': -2.981613, 'No': -5.405073, 'Yes': -8.657546, ' The': -9.042534}
{' Yes': -0.005977142, ' No': -5.284654, 'Yes': -7.1684546, ' The': -10.035438, ' yes': -10.346147}
{' Yes': -0.0075217537, ' No': -5.187011, 'Yes': -6.363213, ' The': -9.343443, ' yes': -10.29095}
{' No': -0.13045242, ' Yes': -2.1426039, 'No': -5.4459486, 'Yes': -7.640781, ' The': -10.153722}
{' No': -0.47930315, ' Yes': -0.98230726, 'No': -5.4519553, 'Yes': -6.380207, ' ': -8.904022}
{' Yes': -0.002742673, ' No': -6.47508, 'Yes': -6.8124504, ' The': -9.75148, ' yes': -10.718466}
{' No': -0.17950405, 'No': -2.2851977, ' Impossible': -3.7021766, ' Impro': -4.9513087, ' Un': -5.0636706}
{' Yes': -0.090915106, ' No': -2.4566453, 'Yes': -7.01782, 'No': -9.215014, ' The': -9.458482}
{' Yes': -0.066442885, ' No': -2.8135188, 'Yes': -5.9240513, ' The': -7.4276657, ' Not': -7.4927583}
{' Yes': -0.008633602, ' No': -5.3111963, 'Yes': -5.64519, ' The': -9.785126, 'No': -10.5340395}
{' Yes': -0.0021376966, 'Yes': -6.3037825, ' No': -8.483217, ' The': -9.829154, ' yes': -10.181798}
{' Yes': -0.22836627, ' No': -1.6146005, 'Yes': -5.7357206, 'No': -6.8144236, ' Not': -8.012401}
{' Yes': -0.035357762, ' No': -3.5174935, 'Yes': -5.3777, 'No': -8.774116, ' yes': -9.389761}
{' No': -0.0077894507, 'No': -4.9023643, ' Yes': -8.799323, ' Not': -9.188387, ' Unfortunately': -9.973197}
{' No': -0.6649048, ' Yes': -0.73464507, 'No': -5.702365, 'Yes': -6.1346025, ' Not': -8.023144}
{' No': -0.36903724, ' Yes': -1.18597, 'No': -6.6251917, ' The': -7.1127963, 'Yes': -7.9587374}
{' Yes': -0.051388785, ' No': -3.0365856, 'Yes': -6.363456, 'No': -8.992902, ' The': -9.588885}
{' Yes': -0.0014383543, 'Yes': -6.800594, ' No': -8.136427, ' yes': -10.859667, ' The': -12.183871}
{' Yes': -0.06407385, ' No': -2.819489, 'Yes': -6.229775, 'No': -8.454033, ' The': -8.795719}
{' Yes': -0.0039691622, ' No': -6.024278, 'Yes': -6.5753627, ' The': -9.146782, ' yes': -10.950896}
{' Yes': -0.0027827178, 'Yes': -6.309606, ' No': -7.107684, ' The': -9.286912, ' yes': -10.52922}
{' Yes': -0.022682961, 'Yes': -3.8051975, ' No': -8.797934, ' yes': -11.710024, 'No': -12.495254}
{' Yes': -0.031911917, ' No': -3.5349903, 'Yes': -6.221229, ' The': -9.181698, 'No': -9.454044}
{' Yes': -0.0016972669, 'Yes': -6.4290767, ' yes': -9.957124, ' The': -10.854491, ' ': -11.905223}
