{' Yes': -0.0047830474, ' No': -5.822646, 'Yes': -6.374882, ' yes': -10.36971, '\n': -10.858401}
{' Yes': -0.006851592, ' No': -5.196192, 'Yes': -6.7593307, '\n': -9.590942, ' yes': -10.721392}
{' Yes': -0.028425628, ' No': -4.308224, ' Stop': -4.5852337, 'Yes': -5.5521297, ' Nope': -9.041053}
{' Yes': -0.056050126, ' No': -3.0185192, ' Stop': -6.036889, 'Yes': -6.1519628, ' Nope': -7.2779183}
{' Yes': -0.5519621, ' Late': -0.8815481, ' No': -6.0690756, 'Yes': -6.080545, 'Late': -6.092857}
{' Yes': -0.07630699, ' No': -2.666824, 'Yes': -6.2845316, ' Late': -6.685329, 'No': -8.502992}
{' Yes': -0.0038073023, 'Yes': -6.069196, ' No': -6.636883, ' yes': -9.497301, ' YES': -10.542049}
{' Yes': -0.016301615, ' No': -4.2618113, 'Yes': -6.296998, ' yes': -9.730289, '\n': -10.135604}
{' Yes': -0.0029019688, 'Yes': -6.1785994, ' No': -7.494357, ' Wife': -8.695152, ' YES': -10.412687}
{' Yes': -0.34394047, ' No': -1.2442242, 'Yes': -6.415782, 'No': -7.1098566, ' Nope': -8.146749}
{' Yes': -0.001849349, 'Yes': -6.4411097, ' No': -8.68842, ' yes': -10.086852, '\n': -11.195339}
{' Yes': -0.0025560313, ' No': -6.6909294, 'Yes': -6.7178454, '\n': -10.2789545, ' yes': -10.373996}
{' Yes': -0.0021905615, 'Yes': -6.17993, ' No': -9.733749, ' yes': -10.430307, ' YES': -11.258528}
{' Yes': -0.008782896, ' No': -5.0592093, 'Yes': -6.2094927, ' Duck': -8.558663, ' yes': -9.763127}
{' Yes': -0.0038738395, 'Yes': -6.1645503, ' No': -6.424688, ' yes': -9.812414, ' Bank': -10.696858}
{' Yes': -0.009784388, ' No': -4.8657813, 'Yes': -6.3090544, ' yes': -9.477138, ' YES': -10.357884}
{' Yes': -0.0025854919, 'Yes': -6.1072984, ' No': -8.828582, ' Test': -9.692184, ' yes': -9.826625}
{' Yes': -0.013482001, ' No': -4.4475465, 'Yes': -6.486056, '\n': -10.229155, ' Test': -10.594076}
{' Yes': -0.23712058, ' No': -1.5649173, 'Yes': -6.5471716, 'No': -7.7333994, ' Nope': -10.044208}
{' Yes': -0.016691728, ' No': -4.201641, 'Yes': -6.542835, ' yes': -10.233937, 'No': -10.544808}
{' Yes': -0.010315048, ' No': -5.1168804, 'Yes': -5.6215396, ' yes': -8.432768, ' East': -9.2360525}
{' Yes': -0.13080311, ' East': -3.4178352, ' No': -3.4732559, ' Ye': -3.6167104, 'Yes': -4.8753324}
{' No': -0.014897402, ' Yes': -4.531722, 'No': -5.660725, ' Nope': -7.895726, '\n': -8.980612}
{' No': -0.011066551, ' Yes': -4.9303684, 'No': -5.8489304, ' Nope': -7.149439, '\n': -9.592657}
{' No': -0.46940532, ' Yes': -0.9868385, 'No': -6.752543, 'Yes': -7.6466727, ' Nope': -9.523473}
{' Yes': -0.011873747, ' No': -4.6327972, 'Yes': -6.417517, ' Draw': -8.566909, ' yes': -9.499507}
{' Yes': -0.3910127, ' King': -1.1445128, 'King': -6.061966, 'Yes': -6.40749, ' Kings': -7.0921116}
{' Yes': -0.037868958, ' No': -3.3841155, 'Yes': -6.023333, ' King': -8.285131, ' Nope': -8.369322}
{' Yes': -0.6822597, ' No': -0.71010137, 'Yes': -6.9096518, 'No': -6.942782, ' Nope': -7.106648}
{' No': -0.32845318, ' Yes': -1.2834283, 'No': -6.7321506, ' Nope': -6.876676, 'Yes': -7.5796046}
{' Yes': -0.0031869707, 'Yes': -6.5104346, ' No': -6.6330695, ' Sure': -8.203093, ' Yep': -10.861276}
{' Yes': -0.0017459276, 'Yes': -6.9133325, ' No': -7.915541, ' Sure': -8.325469, ' Here': -10.233864}
{' Yes': -0.008292835, 'Yes': -5.375585, ' Sick': -5.6875854, ' yes': -9.150897, ' YES': -9.614482}
{' Yes': -0.0055542607, ' No': -5.511562, 'Yes': -6.577488, ' yes': -9.933929, ' YES': -11.285757}
{' Yes': -0.029772138, ' No': -3.8462107, ' Dirt': -5.1967664, 'Yes': -6.185106, 'No': -9.198898}
{' No': -0.17707293, ' Yes': -1.8366169, 'No': -6.0482483, 'Yes': -8.08326, ' Nope': -8.712742}
{' Yes': -0.040969256, ' No': -3.2729466, 'Yes': -6.669043, ' Te': -8.636644, ' yes': -8.947337}
{' Yes': -0.00387348, ' No': -6.1385493, 'Yes': -6.578503, ' yes': -8.946894, ' YES': -10.913212}
{' No': -0.006239451, 'No': -5.1664066, ' Nope': -7.713303, '\n': -10.871665, ' ': -11.185931}
{' Yes': -0.06875212, ' No': -2.7372491, 'Yes': -6.6146026, 'No': -8.864827, ' Nope': -9.449721}
{' Rain': -0.46985635, ' Yes': -1.3189775, ' No': -2.6994324, 'Rain': -4.2586384, ' Train': -4.3038654}
{' No': -0.0594439, ' Yes': -2.9683468, 'No': -5.519702, ' Nope': -6.177253, 'Yes': -9.128909}
{' Yes': -0.40646437, ' No': -1.104922, 'Yes': -6.4947643, 'No': -7.0418477, ' Nope': -8.525096}
{' No': -0.044085387, ' Yes': -3.211476, 'No': -6.083092, ' Nope': -7.899789, 'Yes': -9.139643}
{' Yes': -0.0022344068, 'Yes': -6.6993284, ' Sure': -7.27389, ' Absolutely': -9.494952, ' No': -9.655352}
{' Yes': -0.029444166, ' No': -3.6015992, 'Yes': -6.79224, ' Nope': -8.115364, ' Sure': -8.988367}
{' No': -0.5187409, ' Yes': -0.9112846, 'No': -6.5890055, 'Yes': -7.2884245, ' Nope': -7.663123}
{' No': -0.15341456, ' Yes': -1.9683884, 'No': -6.1569867, 'Yes': -8.211468, ' Nope': -9.374092}
{' Yes': -0.18099242, ' No': -1.8111004, ' Nope': -7.139755, 'Yes': -7.518236, ' Thin': -7.7764144}
{' Yes': -0.06630078, ' No': -2.7739215, 'Yes': -6.807103, ' Nope': -7.9972277, 'No': -8.658481}
{' No': -0.0809347, ' Yes': -2.593962, 'No': -5.976235, ' Nope': -8.150209, 'Yes': -9.059479}
{' No': -0.4429346, ' Yes': -1.0399481, 'No': -6.2780666, ' Tail': -6.815233, 'Yes': -7.5232954}
{' Yes': -0.010375334, ' No': -4.820304, 'Yes': -6.2888556, ' Land': -8.502118, ' yes': -9.265928}
{' Yes': -0.015643813, ' No': -4.3315563, 'Yes': -6.1871386, ' Land': -9.187726, ' yes': -9.377113}
{' Yes': -0.005727432, ' No': -5.2630935, 'Yes': -7.7698507, ' yes': -10.156734, ' Feel': -10.787447}
{' Yes': -0.021162383, ' No': -3.9239979, 'Yes': -7.343911, ' Feel': -8.795011, ' yes': -9.230584}
{' Yes': -0.014795227, ' No': -5.083574, 'Yes': -5.362964, ' Loud': -5.6578875, ' yes': -9.223035}
{' Yes': -0.32626826, ' No': -1.2859164, 'Yes': -6.92672, 'No': -7.3635526, ' Nope': -9.008948}
{' Yes': -0.025871051, ' Star': -3.9239385, 'Yes': -5.4693866, ' Sure': -7.6466985, ' Stars': -8.558573}
{' Yes': -0.0038785664, 'Yes': -5.9480715, ' Star': -7.9547467, ' No': -8.212943, ' Sure': -8.469006}
{' Yes': -0.0030363589, 'Yes': -6.034559, ' Card': -7.797939, ' yes': -9.010343, ' YES': -10.216592}
{' Yes': -0.0016901023, 'Yes': -6.52412, ' No': -9.266493, ' yes': -9.535903, '\n': -10.745995}
{' Yes': -0.026480883, ' Deer': -4.219262, ' No': -4.740842, 'Yes': -6.4449315, ' De': -8.5465355}
{' Yes': -0.013258495, ' Deer': -5.174475, ' No': -5.365483, 'Yes': -6.6217637, ' De': -7.9829717}
{' Yes': -0.03595896, ' No': -3.437429, 'Yes': -6.2414002, ' Look': -7.1083956, 'No': -9.340141}
{' Yes': -0.015522551, ' No': -4.320843, 'Yes': -6.25018, ' yes': -10.130146, 'No': -10.200628}
{' No': -0.41898644, ' Yes': -1.0834284, 'No': -6.0811353, 'Yes': -7.182685, ' Nope': -7.3875933}
{' Yes': -0.58571076, ' No': -0.8238394, ' Nope': -6.2665668, 'No': -6.9329543, 'Yes': -7.0633163}
{' No': -0.20650196, ' Yes': -1.69555, 'No': -6.049363, 'Yes': -7.574151, '\n': -9.295459}
{' Yes': -0.14148855, ' No': -2.0429358, 'Yes': -6.5325155, 'No': -8.300936, '\n': -8.372359}
{' Yes': -0.02580077, ' No': -3.7699869, 'Yes': -6.1198325, 'No': -9.446761, '\n': -10.15571}
{' Yes': -0.35915712, ' No': -1.207315, 'Yes': -6.84518, ' Nope': -7.0814867, 'No': -7.3701396}
{' Yes': -0.001666039, 'Yes': -6.639964, ' Sure': -8.407205, ' No': -9.374738, '\n': -11.423927}
{' Yes': -0.0031438014, 'Yes': -6.51767, ' Shoes': -7.166454, ' Sure': -7.844694, ' No': -8.10597}
{' Exit': -0.35382846, ' No': -1.8408642, ' Yes': -2.039709, 'Exit': -5.675785, ' Ex': -5.744486}
{' No': -0.2457734, ' Yes': -1.5649817, ' Exit': -5.234915, 'No': -6.1161385, 'Yes': -7.736482}
{' Yes': -0.023764994, ' No': -3.9754152, 'Yes': -5.85008, ' Lion': -6.540111, 'No': -8.532073}
{' Yes': -0.24683146, ' No': -1.532684, 'Yes': -6.454103, 'No': -6.9655256, ' Nope': -9.113281}
{' Yes': -0.30713728, ' No': -1.4186695, ' Roof': -3.9677033, 'Yes': -6.3292084, 'No': -7.1254597}
{' No': -0.74416614, ' Yes': -0.9167259, ' Roof': -2.1145198, 'No': -6.6525683, ' Nope': -6.7151523}
{' Yes': -0.1299327, ' Want': -2.466629, ' No': -3.404848, 'Yes': -6.202308, 'Want': -7.4747634}
{' Yes': -0.14633073, ' No': -2.124196, ' Want': -4.2680883, 'Yes': -6.524346, 'No': -7.9333243}
{' Yes': -0.004821919, ' Wind': -5.755941, 'Yes': -6.5790725, ' No': -8.824411, ' yes': -10.085945}
{' Yes': -0.32381037, ' No': -1.2914389, 'Yes': -7.014646, 'No': -7.2714934, ' Nope': -9.745529}
{' Yes': -0.0016736815, 'Yes': -6.735689, ' Foot': -8.51316, ' No': -8.774772, ' YES': -9.824262}
{' Yes': -0.0022180385, 'Yes': -6.7546325, ' No': -6.9473987, ' yes': -10.36686, ' YES': -10.5264845}
{' Yes': -0.10377926, ' Hate': -2.8556502, ' No': -3.3440573, 'Yes': -6.1440125, ' Nope': -6.217691}
{' No': -0.642688, ' Yes': -0.7777149, ' Nope': -4.556508, 'No': -6.443841, 'Yes': -6.8633547}
{' No': -0.12061069, ' Yes': -2.197864, 'No': -6.114468, 'Yes': -8.247928, ' Nope': -9.446173}
{' Yes': -0.0013157564, 'Yes': -6.773326, ' No': -9.134731, ' yes': -10.444914, '\n': -11.366097}
{' Yes': -0.0029845848, 'Yes': -6.8855524, ' No': -6.9799395, ' Ring': -7.3753033, ' yes': -9.237852}
{' Yes': -0.02142134, ' No': -3.895246, 'Yes': -7.339599, 'No': -10.008964, ' Nope': -10.114379}
{' Yes': -0.005539513, ' No': -5.425465, 'Yes': -7.1980767, ' Bear': -8.375648, ' yes': -10.183059}
{' Yes': -0.0038748567, ' Bear': -6.0107603, 'Yes': -6.9295983, ' No': -8.692938, ' yes': -9.617612}
{' Yes': -0.0013200544, 'Yes': -6.969136, ' No': -8.102592, '\n': -10.292213, ' yes': -10.684784}
{' Yes': -0.028345542, ' No': -3.610653, 'Yes': -7.1122565, 'No': -10.479082, '\n': -10.482641}
{' Yes': -0.014467106, ' No': -4.402052, 'Yes': -6.2503996, ' yes': -10.0476885, 'No': -10.277856}
{' Yes': -0.0064528133, ' No': -5.414591, 'Yes': -6.2870293, ' yes': -10.134344, '\n': -10.231852}
