{' Yes': -0.002734724, 'Yes': -5.9330664, ' yes': -10.151877, '\n': -11.201728, ' YES': -11.638396}
{' Yes': -0.0026744185, 'Yes': -6.008367, '\n': -9.27783, ' yes': -9.563411, ' YES': -11.060879}
{' Yes': -0.0025125877, 'Yes': -6.04057, ' Stop': -10.207447, ' No': -10.30513, ' yes': -10.571342}
{' Yes': -0.0020553863, 'Yes': -6.4629126, ' No': -8.328563, ' Stop': -8.827878, ' yes': -9.914588}
{' Yes': -0.0024019885, 'Yes': -6.345486, ' Late': -7.5157266, '\n': -10.426025, ' yes': -10.561485}
{' Yes': -0.001982582, 'Yes': -6.7632375, ' Late': -7.6055574, ' No': -8.606555, ' yes': -9.872126}
{' Yes': -0.0020740824, 'Yes': -6.2575383, ' yes': -9.628603, ' No': -9.744547, ' YES': -11.29037}
{' Yes': -0.0028654449, 'Yes': -5.9522934, ' yes': -9.033133, '\n': -10.143616, ' YES': -10.584791}
{' Yes': -0.005439128, ' Wife': -5.787282, 'Yes': -6.1422224, ' YES': -9.9339, ' yes': -10.199981}
{' Yes': -0.0081967395, 'Yes': -5.6749897, ' No': -5.684468, ' Wife': -7.011017, '\n': -9.062757}
{' Yes': -0.0027793106, 'Yes': -5.9958897, ' yes': -9.156834, ' Frog': -9.254278, '\n': -10.254705}
{' Yes': -0.0019941085, 'Yes': -6.395707, ' Frog': -9.025312, '\n': -9.362174, ' yes': -9.482122}
{' Yes': -0.0037547117, 'Yes': -5.7855425, ' Duck': -7.510063, ' yes': -10.073844, ' Yep': -10.237985}
{' Yes': -0.004535848, 'Yes': -5.475027, ' Duck': -8.7677355, ' yes': -9.562851, '\n': -10.514778}
{' Yes': -0.0047457963, 'Yes': -5.6981525, ' Bank': -6.6999245, ' yes': -9.490786, ' YES': -10.3119545}
{' Yes': -0.0018267182, 'Yes': -6.3890734, ' yes': -9.491696, ' YES': -10.013856, ' Bank': -11.7222}
{' Yes': -0.0013345585, 'Yes': -6.6590223, ' yes': -10.708627, ' YES': -11.615547, '\n': -11.706272}
{' Yes': -0.0015271751, 'Yes': -6.558511, ' yes': -10.2658205, '\n': -10.508733, ' No': -11.32495}
{' Yes': -0.0015647868, 'Yes': -6.4999876, ' Stay': -10.5719, ' yes': -11.131274, ' YES': -11.830659}
{' Yes': -0.0023141035, 'Yes': -6.116583, ' yes': -10.113476, ' Stay': -10.697821, '\n': -10.721149}
{' Yes': -0.0040574935, 'Yes': -5.9090314, ' Ye': -7.4621415, ' yes': -7.757835, ' No': -9.205686}
{' Yes': -0.034912147, ' Ye': -4.154478, 'Yes': -4.394586, ' yes': -6.553947, ' Eas': -6.752351}
{' Yes': -0.0014832405, 'Yes': -6.6128335, ' No': -9.165996, ' yes': -11.261328, '\n': -11.957682}
{' Yes': -0.00345226, ' High': -6.353813, 'Yes': -6.5823917, '\n': -9.290898, ' yes': -9.776051}
{' Yes': -0.003745557, 'Yes': -6.473052, ' Draw': -6.7041407, ' No': -7.0387874, ' yes': -9.786229}
{' Yes': -0.025749646, ' Draw': -3.8801804, 'Yes': -5.482151, ' yes': -8.898698, ' Drew': -9.088047}
{' Yes': -0.6384171, ' King': -0.79775137, 'King': -4.614213, ' Kings': -5.3926167, 'Yes': -5.964436}
{' Yes': -0.08809305, ' King': -2.6024036, 'Yes': -5.304537, 'King': -6.2693324, ' No': -6.639973}
{' Yes': -0.0031707685, ' No': -6.4292626, 'Yes': -6.500529, ' yes': -11.216756, '\n': -11.8725395}
{' Yes': -0.00226332, 'Yes': -6.125136, ' Sure': -10.540097, ' yes': -10.819325, ' No': -11.855628}
{' Yes': -0.0016917741, 'Yes': -6.4996715, ' Sure': -9.049103, ' yes': -11.218535, ' Yep': -11.220147}
{' Yes': -0.0009641651, 'Yes': -7.1867743, ' Sure': -8.829274, '\n': -10.869722, ' Here': -11.48929}
{' Yes': -0.0052925493, 'Yes': -5.2852893, ' yes': -9.428405, ' YES': -9.871079, ' Sick': -10.095857}
{' Yes': -0.0016487876, 'Yes': -6.4709725, ' yes': -9.922551, ' YES': -10.909649, '\n': -11.792064}
{' Yes': -0.0049442262, 'Yes': -5.797289, ' Dirt': -6.4845815, ' yes': -9.0459385, ' No': -9.800203}
{' Yes': -0.0010397584, 'Yes': -6.944265, ' No': -10.529072, ' yes': -10.904831, ' YES': -11.712417}
{' Yes': -0.0014622909, 'Yes': -6.568767, ' yes': -10.631288, ' Sure': -11.986316, '\n': -12.2871475}
{' Yes': -0.002114878, 'Yes': -6.2247767, ' yes': -9.97741, ' YES': -10.579291, ' Tears': -10.907266}
{' No': -0.006697246, 'No': -5.074368, ' Nope': -8.027525, '\n': -10.278853, ' ': -11.039819}
{' Yes': -0.0029147023, 'Yes': -6.537979, ' No': -6.584151, ' Sure': -11.05991, ' True': -11.077047}
{' Yes': -0.0784604, ' Rain': -2.7164018, ' Train': -5.7782416, 'Yes': -5.962825, ' Brain': -6.785576}
{' Yes': -0.03681625, ' Rain': -3.503874, 'Yes': -5.894144, ' No': -6.884472, 'Rain': -7.4198875}
{' Yes': -0.0013078774, 'Yes': -6.6714506, ' yes': -10.978324, ' Sure': -11.565209, ' YES': -11.891828}
{' Yes': -0.0031886452, 'Yes': -5.8787947, ' Verb': -9.503093, ' Ver': -9.506177, ' Sure': -9.69435}
{' Yes': -0.007955367, 'Yes': -5.457538, ' Sure': -5.884826, ' C': -8.420769, ' yes': -8.968148}
{' Yes': -0.005993393, 'Yes': -5.549242, ' Sure': -6.459076, '\n': -8.823793, ' yes': -9.192071}
{' Yes': -0.0017361355, 'Yes': -6.4792085, ' yes': -9.387753, ' Kill': -9.923618, ' YES': -10.267342}
{' Yes': -0.0009891622, 'Yes': -7.0583405, ' No': -9.4599085, ' yes': -10.313489, ' YES': -11.794494}
{' Yes': -0.0046978267, ' No': -5.5926433, 'Yes': -6.983543, ' yes': -11.586182, 'No': -11.906342}
{' Yes': -0.0009385108, 'Yes': -7.07505, ' No': -9.619167, ' yes': -11.367785, ' YES': -12.280167}
{' Yes': -0.01636517, ' No': -4.212101, 'Yes': -6.657365, 'No': -10.027226, ' yes': -10.344058}
{' Yes': -0.0035809218, ' No': -6.3001103, 'Yes': -6.8543954, ' Tail': -7.6904016, ' yes': -9.083897}
{' Yes': -0.0018054004, 'Yes': -6.4513574, ' Land': -8.872245, ' yes': -9.719253, ' YES': -11.624053}
{' Yes': -0.005882584, 'Yes': -5.517035, ' Land': -6.455645, ' yes': -8.987741, ' No': -10.599453}
{' Yes': -0.0038572038, ' Feel': -5.999085, 'Yes': -6.8359227, ' yes': -8.799929, ' YES': -9.803232}
{' Yes': -0.010915534, ' Feel': -4.748611, 'Yes': -6.663728, ' yes': -8.079379, ' YES': -8.772673}
{' Yes': -0.0076487763, 'Yes': -5.4548264, ' Loud': -5.7626157, ' yes': -9.412702, ' YES': -9.771522}
{' Yes': -0.112787955, ' Loud': -2.3051326, 'Yes': -5.278741, ' L': -7.299281, ' yes': -8.295918}
{' Yes': -0.0015863383, 'Yes': -6.5251107, ' Sure': -9.940214, ' yes': -10.602479, '\n': -10.969798}
{' Yes': -0.0012567322, 'Yes': -6.777323, ' Sure': -10.053384, '\n': -10.08286, ' yes': -10.7800665}
{' Yes': -0.00308108, 'Yes': -5.8678684, ' Card': -8.842587, ' yes': -9.82159, ' YES': -10.392735}
{' Yes': -0.0025654142, 'Yes': -6.0089526, ' yes': -9.854564, ' Card': -10.90702, '\n': -11.194818}
{' Yes': -0.022361021, ' Deer': -3.9845076, 'Yes': -5.9190454, ' De': -7.821033, ' yes': -8.787789}
