{' Yes': -0.021824969, ' No': -3.942994, 'Yes': -6.408141, ' The': -8.148902, ' yes': -9.244042}
{' Yes': -0.0032569347, 'Yes': -6.028395, ' No': -7.300441, ' yes': -9.742587, '\n': -10.260352}
{' Yes': -0.0022988685, 'Yes': -6.2843494, ' No': -8.66814, ' The': -8.932669, ' yes': -9.908428}
{' No': -0.1277692, ' Yes': -2.2001092, 'No': -4.9383655, ' The': -7.3888946, '\n': -7.7565017}
{' Yes': -0.33768055, ' No': -1.2832981, ' The': -5.789109, '\n': -6.059043, 'Yes': -6.3923945}
{' Yes': -0.00520243, 'Yes': -5.875706, ' No': -6.119931, ' yes': -9.81474, ' The': -9.837577}
{' No': -0.30612925, ' Yes': -1.3539674, 'No': -5.512178, 'Yes': -7.223558, ' Not': -8.37157}
{' Yes': -0.01815599, ' No': -4.1777725, 'Yes': -6.2061024, ' The': -7.8502474, 'No': -9.514608}
{' Yes': -0.0019641262, 'Yes': -6.3630366, ' No': -8.8414545, ' yes': -10.307583, '\n': -10.5703745}
{' No': -0.4657983, ' Yes': -1.0062625, 'No': -5.5545025, 'Yes': -6.66277, ' The': -7.120839}
{' Yes': -0.008631379, ' No': -5.015429, 'Yes': -6.3860097, ' yes': -9.358013, ' The': -9.727406}
{' Yes': -0.005143834, ' No': -5.9278593, 'Yes': -6.1137495, ' The': -8.879276, ' yes': -9.669665}
{' Yes': -0.16174065, ' No': -1.9245161, 'Yes': -6.50607, ' The': -7.2358027, 'No': -7.5919275}
{' Yes': -0.023993852, ' No': -3.9864721, 'Yes': -5.563838, ' The': -7.631604, ' "': -8.241195}
{' Yes': -0.0048900186, 'Yes': -5.7612658, ' No': -6.8544955, ' The': -8.392196, '\n': -8.421269}
{' Yes': -0.0017172667, 'Yes': -6.736365, ' No': -7.818011, ' The': -9.649975, ' yes': -10.086042}
{' Yes': -0.0022813035, 'Yes': -6.21447, ' No': -8.524204, ' yes': -10.107397, ' The': -10.929312}
{' Yes': -0.071342595, ' No': -2.7418613, 'Yes': -5.8074164, ' The': -7.587494, 'No': -7.7244506}
{' Yes': -0.03331014, ' No': -3.5165539, 'Yes': -6.0413895, '\n': -8.388232, 'No': -8.808343}
{' Yes': -0.032452844, ' No': -3.7295926, 'Yes': -4.9513083, 'No': -7.7952433, '\n': -8.649528}
{' No': -0.032264397, ' Yes': -3.605081, 'No': -5.464227, '\n': -9.382569, 'Yes': -9.522754}
{' Yes': -0.0036905766, ' No': -6.331148, 'Yes': -6.4817104, ' yes': -8.777666, ' The': -8.894931}
{' No': -0.015000501, 'No': -4.505658, ' Yes': -5.6348906, '\n': -9.578582, ' The': -9.803217}
{' No': -0.12540662, ' Yes': -2.2635348, 'No': -4.4275665, 'Yes': -7.351841, ' Not': -7.4054317}
{' Yes': -0.0026299527, 'Yes': -6.3305335, ' No': -7.303056, ' The': -9.2723055, ' yes': -9.914304}
{' No': -0.030101266, ' Yes': -3.8753178, 'No': -4.803001, ' The': -7.836494, 'Yes': -9.490716}
{' Yes': -0.0019290731, 'Yes': -6.485876, ' No': -8.428278, ' The': -9.371444, ' yes': -9.775286}
{' Yes': -0.050449684, ' No': -3.090372, 'Yes': -5.799479, 'No': -8.0039425, ' The': -8.635822}
{' Yes': -0.0040485747, 'Yes': -5.7172723, ' No': -7.69905, '\n': -8.8132715, ' ': -9.799538}
{' Yes': -0.21608725, ' No': -1.6598624, 'Yes': -5.904027, 'No': -6.7595687, ' The': -8.769799}
{' Yes': -0.14939281, ' No': -2.0141008, 'Yes': -5.941102, '\n': -6.8463316, 'No': -7.0488887}
{' Yes': -0.01886761, ' No': -4.2054653, 'Yes': -5.7504287, ' The': -8.476084, '\n': -8.89004}
