{' No': -0.016526647, ' Yes': -4.539882, 'No': -5.366693, ' Not': -7.1851287, ' Unfortunately': -9.273784}
{' No': -0.5356613, ' Yes': -0.90648043, ' Not': -5.385555, 'No': -5.6647353, 'Yes': -6.452104}
{' No': -0.042139173, ' Yes': -3.5194511, 'No': -4.5193977, ' Not': -7.7927036, 'Yes': -8.252548}
{' No': -0.007033691, 'No': -4.985828, ' Yes': -9.37477, ' Not': -9.618775, ' ': -11.555404}
{' Yes': -0.0101168165, ' No': -4.944811, 'Yes': -5.913351, ' The': -8.965828, '\n': -10.510336}
{' Yes': -0.08020124, ' No': -2.6224775, 'Yes': -5.549493, 'No': -8.176442, ' The': -9.173221}
{' No': -0.3427187, ' Yes': -1.2594973, 'No': -5.7686596, 'Yes': -7.064032, ' G': -7.376717}
{' No': -0.067240916, ' Yes': -2.7892447, 'No': -5.7296185, 'Yes': -8.611281, ' The': -10.34171}
{' No': -0.2242427, ' Yes': -1.6225715, 'No': -5.9164844, 'Yes': -7.6820173, ' The': -8.924617}
{' No': -0.02054325, ' Yes': -4.115174, 'No': -5.56161, 'Yes': -9.96061, ' Not': -10.085401}
{' No': -0.009456763, 'No': -4.7302036, ' Yes': -7.9486785, ' Unfortunately': -8.898268, ' Not': -10.086878}
{' No': -0.22361891, ' Yes': -1.6439376, 'No': -5.40694, 'Yes': -7.1223574, ' The': -7.296935}
{' Yes': -0.41568562, ' No': -1.0912743, 'Yes': -5.990074, 'No': -6.6074734, ' The': -8.061394}
{' Yes': -0.5099801, ' No': -0.9253759, 'Yes': -6.3161764, 'No': -6.884463, ' The': -8.908569}
{' No': -0.54270273, ' Yes': -0.87628275, 'No': -6.59052, 'Yes': -7.232358, ' Not': -8.826066}
{' Yes': -0.08355798, ' No': -2.5611696, 'Yes': -6.1448483, ' The': -7.991795, 'No': -8.2598915}
{' Yes': -0.05921159, ' Uncle': -3.0878367, ' No': -4.8927703, 'Yes': -5.929052, ' ': -7.372924}
{' No': -0.0083302185, ' Yes': -5.3375134, 'No': -5.722277, ' ': -9.801126, ' The': -10.522744}
{' No': -0.014243262, 'No': -4.374936, ' Yes': -6.855738, ' Unfortunately': -8.305637, ' Not': -9.153468}
{' No': -0.013435181, 'No': -4.9488826, ' Yes': -5.1118255, ' Not': -8.896474, 'Yes': -10.1941805}
{' Yes': -0.0630457, ' No': -2.8393366, 'Yes': -6.0575194, 'No': -8.439045, ' The': -10.741605}
{' Yes': -0.0027902497, 'Yes': -5.9753985, ' No': -8.613306, ' yes': -10.46594, '\n': -11.26118}
{' No': -0.005190448, 'No': -5.6301694, ' Yes': -6.511061, ' Unfortunately': -9.826259, ' The': -10.919434}
{' No': -0.095678456, ' Yes': -2.4214823, 'No': -6.429556, ' The': -7.497342, 'Yes': -8.832905}
{' No': -0.18297783, ' Yes': -1.8368206, 'No': -5.236189, 'Yes': -6.9748363, ' Not': -7.3513927}
{' Yes': -0.05771884, ' No': -3.0012689, 'Yes': -5.4148946, ' The': -6.780798, 'No': -7.9344563}
{' No': -0.1392148, ' Yes': -2.0913346, 'No': -5.3156977, ' Not': -6.908629, 'Yes': -7.7605963}
{' Yes': -0.10038582, ' No': -2.395111, 'Yes': -5.8829956, ' Not': -7.314945, 'No': -7.513567}
{' Yes': -0.34481388, ' No': -1.2928958, ' Drunk': -5.04384, 'Yes': -5.151195, 'No': -6.0285954}
{' No': -0.45412752, ' Yes': -1.0268184, 'No': -5.6088877, 'Yes': -5.980801, ' The': -8.044259}
{' No': -0.2967992, ' Yes': -1.3714374, 'No': -6.2914014, 'Yes': -7.3867173, ' Unfortunately': -8.2715645}
{' No': -0.027358748, ' Yes': -3.8169188, 'No': -5.6923156, ' Unfortunately': -6.960416, ' Not': -8.149989}
{' Yes': -0.001373473, 'Yes': -6.6318393, ' yes': -10.847378, ' No': -11.037501, ' The': -11.260589}
{' Yes': -0.0018589646, 'Yes': -6.316756, ' yes': -10.511876, '\n': -11.667877, ' No': -11.690656}
{' No': -0.24930058, ' Yes': -1.5185305, 'No': -6.93698, 'Yes': -8.340267, ' Not': -8.465836}
{' No': -0.0037606356, 'No': -5.6878767, ' Not': -8.547318, ' Yes': -9.494504, ' Unfortunately': -10.09171}
{' Yes': -0.005323409, ' No': -5.769459, 'Yes': -6.1546955, ' yes': -10.892939, ' The': -11.096768}
{' Yes': -0.012658235, ' No': -4.6371984, 'Yes': -5.908585, ' The': -9.435382, 'No': -9.90211}
{' Yes': -0.0038228596, 'Yes': -5.631304, ' No': -8.747057, ' yes': -10.895683, ' The': -11.030752}
{' Yes': -0.21243449, ' No': -1.6723249, 'Yes': -6.0203505, 'No': -6.9955435, ' Not': -9.199378}
{' No': -0.04999065, ' Yes': -3.0768957, 'No': -6.12516, ' Unfortunately': -8.983636, ' The': -9.137146}
{' No': -0.09251706, ' Yes': -2.500146, 'No': -5.6697187, ' Unfortunately': -6.820044, ' The': -7.3271604}
{' Yes': -0.2279983, ' No': -1.6169277, 'Yes': -5.476035, 'No': -6.8842063, ' The': -9.59246}
{' Yes': -0.002419973, 'Yes': -6.052444, ' The': -10.946441, ' yes': -10.9503145, ' No': -10.960687}
{' No': -0.012096464, ' Yes': -4.7627106, 'No': -5.7189236, ' Not': -9.010057, 'Yes': -10.759949}
{' No': -0.027633466, ' Yes': -3.7672324, 'No': -5.5859656, ' Not': -8.785299, ' The': -9.288899}
{' Yes': -0.021291152, ' No': -4.1389837, ' Shirt': -5.853003, 'Yes': -6.189603, 'No': -9.538423}
{' Yes': -0.010787791, ' No': -4.680765, 'Yes': -6.605745, ' yes': -10.512114, ' The': -10.643243}
{' Yes': -0.07789935, ' No': -2.626979, 'Yes': -6.032405, 'No': -8.687661, ' Pants': -10.8287325}
{' No': -0.54508936, ' Yes': -0.876369, 'Yes': -6.428638, 'No': -6.439008, ' The': -8.22285}
{' No': -0.50078017, ' Yes': -0.9410021, 'No': -6.245337, 'Yes': -6.917528, ' The': -8.099887}
{' No': -0.0061738384, 'No': -5.1823573, ' Yes': -7.7011347, ' Not': -9.864446, ' ': -11.483064}
{' Yes': -0.028214147, ' No': -3.8655057, 'Yes': -5.0312085, 'No': -8.829517, ' The': -9.109076}
{' Yes': -0.59437424, ' No': -0.8075415, 'Yes': -6.844738, 'No': -7.3918686, ' The': -8.285862}
{' No': -0.30014142, ' Yes': -1.3659221, 'No': -5.839209, 'Yes': -7.0056005, ' The': -9.164229}
{' Yes': -0.10760066, ' No': -2.3350766, 'Yes': -5.675338, ' The': -7.1304293, 'No': -7.4824266}
{' Yes': -0.10405397, ' No': -2.3324358, 'Yes': -6.6020184, 'No': -8.427343, ' The': -9.341517}
{' No': -0.019344412, ' Yes': -4.2159195, 'No': -5.4864464, ' The': -9.23772, ' Not': -9.580701}
{' Yes': -0.027090047, ' No': -3.6940954, 'Yes': -6.450233, ' The': -8.910385, 'No': -10.011267}
{' Yes': -0.525348, ' No': -0.90035385, 'Yes': -6.7521086, 'No': -7.03806, ' Not': -9.309102}
{' No': -0.0031673615, 'No': -5.8316007, ' Yes': -8.56038, ' ': -10.628839, ' The': -12.624617}
{' Yes': -0.0066361027, ' No': -5.2835813, 'Yes': -6.5901337, ' The': -9.119955, ' yes': -10.78649}
{' Yes': -0.0042445934, ' No': -6.0064993, 'Yes': -6.356108, ' yes': -11.358275, ' The': -11.438499}
{' Yes': -0.010340885, 'Yes': -5.6285105, ' No': -5.713713, ' Women': -5.729119, ' ': -10.331053}
{' No': -0.077999994, ' Yes': -3.2385893, 'No': -3.430211, 'Yes': -6.5825844, '\n': -7.316111}
{' No': -0.42522618, ' Yes': -1.0734062, 'No': -6.0276713, 'Yes': -6.7905307, ' The': -7.407825}
{' No': -0.007088015, 'No': -5.3050594, ' Yes': -6.316377, ' Unfortunately': -8.534058, ' Not': -10.303554}
{' Yes': -0.0351061, ' No': -3.429292, 'Yes': -6.453568, ' The': -8.249436, 'No': -9.491485}
{' No': -0.059529044, ' Yes': -2.8873506, 'No': -6.322472, 'Yes': -9.196995, ' Not': -9.968784}
{' No': -0.4382338, ' Yes': -1.0485797, 'No': -6.052379, 'Yes': -6.746251, ' Unfortunately': -7.7815466}
{' Yes': -0.16017602, ' No': -1.9230773, 'Yes': -6.643011, 'No': -8.052011, ' The': -8.815482}
{' Yes': -0.0047390293, ' No': -6.061731, 'Yes': -6.082853, ' The': -10.195584, ' yes': -10.43674}
{' No': -0.23123845, ' Yes': -1.5932876, 'No': -5.954994, 'Yes': -7.606578, ' The': -10.413972}
{' Yes': -0.082763664, ' No': -2.5531633, 'Yes': -6.680221, 'No': -8.409093, ' Lemon': -10.157706}
{' No': -0.002733408, 'No': -6.0244026, ' Yes': -8.638504, ' Not': -9.33651, ' Unfortunately': -10.827869}
{' No': -0.0041361945, 'No': -5.68893, ' Yes': -7.4907446, ' Unfortunately': -9.192267, ' The': -10.402122}
{' No': -0.33549017, ' Yes': -1.2716378, 'No': -5.7018456, 'Yes': -6.7540655, ' Not': -10.123084}
