{' No': -0.21113746, ' Yes': -1.686834, 'No': -5.565593, ' Not': -7.585437, 'Yes': -7.616578}
{' Yes': -0.0042931386, 'Yes': -6.016877, ' No': -6.425641, ' The': -8.9742365, ' yes': -10.233535}
{' Yes': -0.020441225, ' No': -4.2993298, 'Yes': -5.4703007, ' Pizza': -6.1685157, 'No': -9.016148}
{' Yes': -0.28214207, ' No': -1.4259828, 'Yes': -5.619647, 'No': -6.3821263, ' Pizza': -9.018165}
{' Yes': -0.0023457662, 'Yes': -6.0885553, ' The': -10.4341955, ' yes': -10.481801, '\n': -12.024589}
{' Yes': -0.0019026163, 'Yes': -6.280898, ' yes': -11.006953, '\n': -12.238656, ' ': -12.9028845}
{' Yes': -0.0038697703, 'Yes': -6.1865554, ' No': -7.417087, ' Laugh': -7.455396, ' ': -8.295647}
{' Yes': -0.0008465784, 'Yes': -7.135318, ' yes': -10.439849, ' YES': -11.752089, ' No': -12.263057}
{' Yes': -0.001445995, 'Yes': -6.5842643, ' No': -10.315918, ' yes': -10.866835, ' The': -12.036316}
{' Yes': -0.004815031, ' No': -5.8549566, 'Yes': -6.4395475, ' Queen': -8.261696, ' yes': -10.2162895}
{' Yes': -0.005772812, ' No': -5.579037, 'Yes': -6.267886, ' The': -10.406859, ' yes': -10.877813}
{' Yes': -0.0020847735, 'Yes': -6.546542, ' No': -7.52527, ' The': -9.652567, ' yes': -10.489003}
{' Yes': -0.0030859231, 'Yes': -5.8010345, ' The': -11.016578, ' yes': -11.022997, ' No': -11.09134}
{' Yes': -0.002224072, 'Yes': -6.1323566, ' yes': -10.951991, ' No': -11.042702, ' The': -11.765577}
{' Yes': -0.014266959, ' No': -5.054434, ' Found': -5.1997466, 'Yes': -6.249831, ' The': -8.921058}
{' Yes': -0.0021893666, 'Yes': -6.233684, ' The': -9.39606, ' No': -9.679733, ' yes': -10.0125475}
{' Yes': -0.0011170299, 'Yes': -6.9942408, ' Uncle': -8.757302, ' yes': -10.546872, ' ': -12.095121}
{' Yes': -0.0075935214, ' No': -5.3462467, 'Yes': -6.088734, ' Uncle': -8.41577, ' ': -8.945105}
{' Yes': -0.22751506, ' No': -1.6174401, 'Yes': -6.03142, 'No': -6.6142774, ' The': -6.9332304}
{' Yes': -0.039802026, ' No': -3.3730159, 'Yes': -5.5290713, ' Stamp': -8.280236, 'No': -8.424531}
{' Yes': -0.0013712645, 'Yes': -6.6240497, ' yes': -10.86346, ' No': -11.520912, ' The': -11.781554}
{' Yes': -0.0012936136, 'Yes': -6.6827903, ' yes': -10.611107, '\n': -12.374016, ' ': -12.400551}
{' Yes': -0.1471556, ' No': -2.003042, 'Yes': -6.545247, 'No': -8.028474, ' The': -9.124743}
{' Yes': -0.0034639228, ' No': -6.140473, 'Yes': -6.9660015, ' The': -8.0561905, ' yes': -10.892172}
{' Yes': -0.00393936, 'Yes': -5.7511272, ' No': -7.5601196, ' The': -8.592056, ' yes': -11.015498}
{' Yes': -0.0029445298, 'Yes': -6.1105437, ' The': -7.6070757, ' No': -8.838893, ' yes': -10.020991}
{' No': -0.30836666, ' Yes': -1.3427752, 'No': -5.919027, ' Not': -7.041553, 'Yes': -7.5005927}
{' Yes': -0.0013832621, 'Yes': -6.620747, ' yes': -11.152583, '\n': -11.368459, ' No': -11.381195}
{' Yes': -0.010528684, 'Yes': -5.0042267, ' Drunk': -5.9456005, ' No': -8.200569, ' Int': -8.276619}
{' Yes': -0.010155833, ' No': -5.088998, 'Yes': -5.5995913, ' The': -9.157719, ' yes': -9.584212}
{' Yes': -0.13974135, ' No': -2.0539048, 'Yes': -6.4500747, 'No': -7.926139, ' The': -8.760816}
{' Yes': -0.1698386, ' No': -1.8715101, 'Yes': -6.5530667, 'No': -7.6484222, ' The': -8.309784}
{' Yes': -0.0011596982, 'Yes': -6.8065696, ' The': -10.522369, ' yes': -10.823914, ' ': -13.117001}
{' Yes': -0.00137765, 'Yes': -6.615999, ' yes': -10.576857, '\n': -12.390498, ' YES': -12.83027}
{' Yes': -0.00069888175, 'Yes': -7.456975, ' No': -9.296747, ' yes': -10.809785, ' The': -12.53324}
{' No': -0.039621178, ' Yes': -3.35783, 'No': -5.8109493, ' Not': -7.17208, 'Yes': -9.300267}
{' Yes': -0.0011755116, 'Yes': -6.7649407, ' yes': -11.278986, ' The': -12.335996, ' ': -13.474889}
{' Yes': -0.0013179049, 'Yes': -6.647733, ' yes': -11.270988, ' The': -12.519563, ' YES': -13.410538}
{' Yes': -0.0028692707, 'Yes': -5.874754, ' yes': -10.721451, ' The': -11.109932, '\n': -12.165043}
{' Yes': -0.0029290495, 'Yes': -6.0383677, ' No': -7.621549, ' yes': -11.044146, ' The': -11.333753}
{' Yes': -0.12512247, ' No': -2.150839, 'Yes': -7.1676774, ' The': -8.359442, 'No': -8.658737}
{' Yes': -0.013964337, ' No': -4.418952, 'Yes': -6.5670643, ' The': -8.177013, 'No': -10.237492}
{' Yes': -0.004007642, 'Yes': -5.6964684, ' No': -7.415691, ' yes': -11.058502, ' The': -11.185966}
{' Yes': -0.0013962127, 'Yes': -6.5886555, ' yes': -11.266173, ' The': -12.757062, ' YES': -13.152538}
{' Yes': -0.04906056, ' No': -3.0686185, 'Yes': -6.7565417, 'No': -9.178872, ' Not': -10.005475}
{' Yes': -0.010611934, ' No': -4.6931505, 'Yes': -6.6772876, ' The': -9.760375, 'No': -10.524756}
{' Yes': -0.0021683988, 'Yes': -6.54959, ' Shirt': -7.5635314, ' No': -8.67536, ' yes': -10.541978}
{' Yes': -0.0007535797, 'Yes': -7.225128, ' yes': -10.9466, ' No': -12.752734, ' ': -13.534037}
{' Yes': -0.0037204905, 'Yes': -5.939975, ' No': -7.0324755, ' Pants': -8.769883, ' yes': -10.879104}
{' Yes': -0.0027109345, 'Yes': -5.9981236, ' No': -8.818011, ' The': -9.968756, ' yes': -10.943594}
{' Yes': -0.0014789435, 'Yes': -6.5870085, ' yes': -10.092501, ' The': -10.099551, ' ': -12.059595}
{' Yes': -0.012406183, ' No': -5.140446, 'Yes': -5.651375, ' Board': -6.034607, ' yes': -8.371746}
{' Yes': -0.007432516, 'Yes': -4.9411573, ' The': -8.982593, ' No': -9.711276, ' yes': -10.044793}
{' Yes': -0.0016198894, 'Yes': -6.8218575, ' No': -7.7171516, ' The': -10.026049, ' yes': -10.449696}
{' Yes': -0.0048559974, ' No': -5.9273334, 'Yes': -6.178617, ' The': -9.705, '\n': -11.267177}
{' Yes': -0.0030971037, 'Yes': -6.269622, ' No': -7.065534, ' The': -8.175096, '\n': -10.697041}
{' Yes': -0.0008133492, 'Yes': -7.1823626, ' yes': -10.2758875, ' The': -11.801204, ' No': -11.951454}
{' Yes': -0.016372558, ' No': -4.215353, 'Yes': -6.7606764, ' The': -8.426059, ' yes': -10.007922}
{' Yes': -0.0017079544, 'Yes': -6.929949, ' No': -7.3053455, ' The': -10.549686, ' yes': -11.067569}
{' Yes': -0.0010459629, 'Yes': -6.9440045, ' No': -9.707005, ' yes': -11.018477, ' The': -13.814266}
{' No': -0.077554114, ' Yes': -2.6178124, 'No': -6.559457, 'Yes': -9.441255, ' The': -9.668149}
{' Yes': -0.0009994846, 'Yes': -6.958208, ' The': -10.766985, ' yes': -11.065031, ' No': -12.048649}
{' Yes': -0.0009994846, 'Yes': -6.9474545, ' No': -10.972278, ' yes': -11.522864, ' The': -11.888433}
{' Yes': -0.008462812, ' Women': -5.210193, 'Yes': -5.8946915, ' No': -9.4938135, ' ': -10.124905}
{' Yes': -0.017036585, 'Yes': -4.16477, ' Ank': -7.7104435, ' yes': -8.06348, '\n': -8.84611}
{' Yes': -0.0045128562, ' No': -6.1390834, 'Yes': -6.1790824, ' The': -8.751017, ' yes': -9.513768}
{' Yes': -0.14620234, ' No': -2.0106087, 'Yes': -6.5416718, 'No': -7.8433747, ' The': -9.215542}
{' Yes': -0.0015444293, 'Yes': -6.613553, ' No': -9.38395, ' The': -9.712556, ' yes': -10.440833}
{' Yes': -0.0009915503, 'Yes': -7.0510955, ' No': -9.16501, ' yes': -11.925433, '\n': -12.072653}
{' Yes': -0.0037673968, ' No': -6.239447, 'Yes': -6.376227, ' The': -9.651289, ' yes': -11.029518}
{' Yes': -0.0010365378, 'Yes': -6.911904, ' yes': -10.8108225, ' The': -11.388169, ' ': -13.054055}
{' Yes': -0.0020768319, 'Yes': -6.1997447, ' yes': -10.7444315, '\n': -11.553586, ' The': -11.894775}
{' Yes': -0.004068564, ' No': -5.9861465, 'Yes': -6.5015407, ' yes': -11.498722, ' The': -11.542275}
{' Yes': -0.00077069976, 'Yes': -7.2180386, ' yes': -11.124456, ' No': -11.313243, ' The': -12.402424}
{' No': -0.026970575, ' Yes': -3.7594302, 'No': -6.019346, ' Not': -7.34145, ' It': -9.2501335}
{' No': -0.040751625, ' Yes': -3.292308, 'No': -6.030383, ' The': -8.622016, 'Yes': -9.849793}
{' No': -0.0052388613, 'No': -5.461364, ' Yes': -6.998822, ' Not': -10.444667, ' ': -11.294483}
{' No': -0.31187847, ' Yes': -1.3433306, 'No': -5.7496495, ' The': -6.211303, 'Yes': -7.2035103}
{' Yes': -0.0012613268, 'Yes': -6.951464, ' No': -8.481583, ' yes': -9.933319, ' The': -10.910235}
{' Yes': -0.002807584, ' No': -6.4085503, 'Yes': -6.881412, ' The': -9.377618, ' yes': -10.585909}
{' Yes': -0.0034536964, 'Yes': -5.7484026, ' No': -8.562705, ' yes': -11.253213, ' The': -11.329402}
{' Yes': -0.030237516, ' No': -3.6247885, 'Yes': -5.961986, ' The': -8.186468, 'No': -9.372471}
{' No': -0.004130509, 'No': -5.581727, ' Yes': -8.069753, ' ': -10.27955, 'Yes': -13.332013}
{' Yes': -0.20098586, ' No': -1.7237061, 'Yes': -6.1309285, 'No': -6.836161, ' The': -8.125787}
{' Yes': -0.0020846545, 'Yes': -6.692445, ' No': -7.817132, ' The': -8.582976, ' Devil': -9.147275}
{' Yes': -0.0069916733, ' No': -5.1228075, 'Yes': -7.2250314, ' The': -8.912012, ' Devil': -9.602923}
{' Yes': -0.008791976, ' No': -4.8939333, 'Yes': -7.048049, ' The': -8.118314, ' Not': -10.53447}
{' Yes': -0.0009904745, 'Yes': -6.972115, ' yes': -10.809322, ' The': -11.033525, ' No': -11.658709}
{' Yes': -0.17132194, ' No': -1.8668536, 'Yes': -6.216831, 'No': -7.450004, ' The': -8.746816}
{' Yes': -0.0013543123, 'Yes': -6.7608485, ' No': -8.972295, ' yes': -10.688227, ' The': -10.904544}
{' Yes': -0.23100647, ' No': -1.6001414, 'Yes': -6.182323, 'No': -6.9851637, ' Unfortunately': -7.0501184}
{' Yes': -0.0750322, ' No': -2.6585643, 'Yes': -6.434037, 'No': -8.348736, ' Not': -8.553129}
{' Yes': -0.04316807, ' No': -3.243184, 'Yes': -5.9484563, ' The': -8.151154, 'No': -8.496609}
{' Yes': -0.006834667, 'Yes': -5.9126034, ' Pound': -6.099581, ' No': -6.7802563, ' The': -8.341122}
{' No': -0.6595681, ' Yes': -0.7399133, 'No': -6.0696554, 'Yes': -6.657712, ' Not': -6.9506464}
{' Yes': -0.0030312778, 'Yes': -5.8623166, ' No': -8.762337, ' yes': -11.252383, '\n': -12.781169}
{' Yes': -0.0014160897, 'Yes': -6.589995, ' yes': -10.862538, ' The': -11.401216, ' ': -12.427844}
{' Yes': -0.0017511821, 'Yes': -6.370178, ' yes': -10.692114, ' The': -11.777989, ' YES': -12.991491}
{' Yes': -0.002460242, 'Yes': -6.0912547, ' yes': -9.218036, ' The': -10.595948, ' YES': -10.690076}
{' No': -0.03262513, 'No': -3.5825024, ' Yes': -5.716209, ' Nope': -7.5153646, 'Yes': -8.941709}
{' Yes': -0.0011290851, 'Yes': -6.8214607, ' yes': -10.760965, ' The': -11.762089, '\n': -11.980246}
{' Yes': -0.0024827695, 'Yes': -6.0487466, ' No': -9.509367, ' yes': -10.532005, ' The': -11.409497}
{' Yes': -0.001218239, 'Yes': -6.928313, ' Armor': -9.059727, ' No': -9.868667, ' The': -10.207477}
{' Yes': -0.0049583614, ' No': -5.8595653, 'Yes': -6.344535, ' The': -8.303138, ' yes': -10.4215765}
{' Yes': -0.041242152, ' No': -3.2367644, 'Yes': -6.949815, 'No': -9.577388, ' The': -10.780518}
{' Yes': -0.0020921805, 'Yes': -6.664589, ' No': -7.423988, ' The': -9.059189, ' yes': -10.315432}
{' Yes': -0.07904634, ' Still': -2.6179087, 'Yes': -5.93668, ' yes': -9.282133, 'Still': -9.3334675}
{' Yes': -0.0014464728, 'Yes': -6.670481, ' The': -9.415199, ' yes': -10.033631, ' No': -10.200517}
{' Yes': -0.044182874, ' No': -3.2132747, 'Yes': -5.954566, 'No': -8.322447, ' Unfortunately': -9.880345}
{' Yes': -0.0012246828, 'Yes': -6.734243, ' No': -10.766705, ' yes': -11.947828, '\n': -13.0124855}
{' Yes': -0.003551251, 'Yes': -5.6577225, ' yes': -10.466758, ' Purs': -12.172233, ' The': -12.220233}
{' Yes': -0.0011171491, 'Yes': -6.8582263, ' No': -10.3314495, ' The': -11.201416, ' yes': -11.466349}
{' Yes': -0.11441669, ' No': -2.2415147, 'Yes': -6.798258, 'No': -7.9781055, ' The': -9.118366}
