{' Yes': -0.0008259966, 'Yes': -7.33266, ' Spider': -9.466446, ' yes': -10.101548, ' The': -10.42057}
{' Yes': -0.00084502774, 'Yes': -7.1121445, ' yes': -11.220203, ' The': -11.642212, ' No': -12.70957}
{' Yes': -0.0011716923, 'Yes': -7.077648, ' No': -8.112221, ' yes': -11.561889, ' The': -11.78235}
{' Yes': -0.120468356, ' No': -2.4514945, ' Candle': -3.79459, ' Cand': -6.1486015, 'Yes': -6.3627644}
{' Yes': -0.014288726, ' No': -4.3701806, 'Yes': -6.6213, ' The': -9.318594, 'No': -10.428714}
{' Yes': -0.104783244, ' No': -2.324441, 'Yes': -6.8976464, ' The': -8.1402445, 'No': -8.672902}
{' Yes': -0.19767693, ' No': -1.7420229, 'Yes': -6.039338, 'No': -7.029771, ' The': -7.957049}
{' Yes': -0.0019244156, 'Yes': -6.3292937, ' No': -9.40114, ' yes': -10.66222, ' The': -10.682083}
{' Yes': -0.029312933, ' No': -3.645451, 'Yes': -6.0333443, 'No': -9.054004, ' The': -9.154287}
{' Yes': -0.001083796, 'Yes': -7.3146396, ' No': -8.200346, ' The': -9.424803, ' yes': -10.069}
{' No': -0.00437695, 'No': -6.239042, ' Yes': -6.3134456, ' Unfortunately': -7.61724, ' Not': -9.484702}
{' Yes': -0.3673741, ' No': -1.2009484, 'Yes': -6.0348735, ' The': -6.306991, 'No': -6.6571455}
{' Yes': -0.17568935, ' No': -1.8375736, 'Yes': -6.711232, 'No': -7.8926444, ' The': -8.723796}
{' No': -0.037690688, ' Yes': -3.457145, 'No': -5.284654, 'Yes': -8.879025, ' Not': -8.945758}
{' Yes': -0.0075959247, ' No': -5.145587, 'Yes': -6.4566364, ' The': -9.753656, ' yes': -10.384367}
{' Yes': -0.0055974144, ' No': -5.8573103, 'Yes': -5.9275784, ' yes': -10.889632, 'No': -11.4693775}
{' Yes': -0.14347391, ' No': -2.0886147, 'Yes': -5.090804, 'No': -6.402262, ' Hungry': -6.4881887}
{' Yes': -0.05997564, ' No': -2.8642626, 'Yes': -7.0028424, 'No': -9.416069, ' Unfortunately': -9.601705}
{' No': -0.0045370455, 'No': -5.4839034, ' Yes': -8.129144, ' Unfortunately': -10.565356, ' The': -10.914519}
{' Yes': -0.48946393, ' No': -0.96125996, 'No': -6.147167, 'Yes': -6.1732087, ' Not': -9.094057}
{' Yes': -0.31500694, ' No': -1.3182094, 'Yes': -6.960379, 'No': -7.3585205, ' The': -7.611521}
{' No': -0.24359287, ' Yes': -1.5456042, 'No': -6.379947, ' Not': -7.499835, 'Yes': -7.9618044}
{' Yes': -0.0019710534, 'Yes': -6.237459, ' yes': -11.4776325, ' YES': -13.689846, ' ': -13.755698}
{' Yes': -0.0021321406, 'Yes': -6.1682825, ' yes': -10.770726, ' The': -11.923198, ' ': -12.922516}
{' Yes': -0.07608546, ' No': -2.664022, 'Yes': -6.0015936, ' The': -7.583383, 'No': -8.323192}
{' Yes': -0.0905677, ' No': -2.4967375, 'Yes': -5.6643167, 'No': -7.6400514, ' The': -8.866912}
{' Yes': -0.016923578, ' No': -4.201219, 'Yes': -6.4375887, ' Not': -9.860932, ' The': -10.13103}
{' Yes': -0.0099278325, ' No': -4.9255695, 'Yes': -6.0839667, ' The': -8.497498, ' Unfortunately': -10.153564}
{' Yes': -0.2024682, ' Nep': -2.3547223, ' No': -2.59048, 'Yes': -4.9752245, ' ': -5.879987}
{' Yes': -0.004796163, 'Yes': -5.508513, ' No': -7.4257016, ' The': -9.928304, ' ': -10.51159}
{' Yes': -0.37530664, ' No': -1.1696811, 'Yes': -6.5528784, 'No': -7.1576223, ' Not': -9.248321}
{' Yes': -0.040000074, ' No': -3.2867155, 'Yes': -6.4883695, 'No': -9.268413, ' The': -9.3002}
{' Yes': -0.0017867702, 'Yes': -6.43128, ' No': -8.962548, ' yes': -10.886484, ' The': -11.238578}
{' Yes': -0.0008930492, 'Yes': -7.1978416, ' No': -9.0616455, ' yes': -11.0415535, ' The': -12.272038}
{' Yes': -0.0053337156, ' No': -5.90404, 'Yes': -6.0141354, ' The': -9.263325, ' yes': -10.874569}
{' Yes': -0.046013974, ' No': -3.2170572, 'Yes': -5.388772, ' The': -8.931971, 'No': -9.0202675}
{' No': -0.0076415697, 'No': -4.943528, ' Yes': -7.9135838, ' Unfortunately': -9.515423, ' ': -11.001624}
{' Yes': -0.2700156, ' No': -1.4749907, 'Yes': -5.5806665, ' Ending': -6.373861, 'No': -6.4144974}
{' Yes': -0.0021568704, 'Yes': -6.6389036, ' No': -7.1303225, ' The': -10.808547, ' yes': -11.232754}
{' Yes': -0.12325261, ' Energy': -2.263252, ' No': -5.0248733, 'Yes': -5.577009, 'Energy': -7.477765}
{' Yes': -0.0031174337, 'Yes': -5.804444, ' No': -9.82841, ' yes': -10.713559, ' Father': -11.9732485}
{' Yes': -0.015339081, ' No': -4.297596, 'Yes': -6.534122, ' The': -9.673019, 'No': -10.048466}
{' Yes': -0.25632226, ' No': -1.4961542, 'Yes': -7.0067744, ' The': -7.286084, 'No': -7.961099}
{' No': -0.007386159, 'No': -5.091681, ' Nope': -7.4467034, ' Absolutely': -8.016972, ' Yes': -9.0667515}
{' Yes': -0.003830459, 'Yes': -6.209509, ' No': -6.3912864, ' The': -9.608101, ' yes': -10.446384}
{' No': -0.00905815, 'No': -4.7689414, ' Yes': -7.9654665, ' The': -9.519308, ' Unfortunately': -10.378046}
{' Yes': -0.002071336, 'Yes': -6.1944613, ' yes': -11.47767, ' YES': -11.765576, ' Strong': -11.986193}
{' Yes': -0.00082790584, 'Yes': -7.1316714, ' yes': -10.981106, ' No': -12.592034, '\n': -12.809383}
{' Yes': -0.0014073141, 'Yes': -6.741741, ' No': -8.702206, ' The': -10.392509, ' yes': -10.814157}
{' Yes': -0.0016735633, 'Yes': -6.501148, ' yes': -9.5926285, ' Seller': -10.479095, ' No': -10.675802}
{' Yes': -0.23604877, ' No': -1.7914478, ' Bl': -3.2100515, 'Yes': -6.444529, ' ': -7.288111}
{' Yes': -0.15448293, ' No': -1.9657298, 'Yes': -6.168116, 'No': -7.8653502, ' yes': -8.45588}
{' Yes': -0.03569825, ' No': -3.410044, 'Yes': -6.316683, 'No': -8.943445, ' The': -9.835234}
{' Yes': -0.004305232, ' No': -5.9460983, 'Yes': -6.4491, ' yes': -10.213717, ' The': -10.935134}
{' Yes': -0.0006265925, 'Yes': -7.439168, ' No': -10.489757, ' yes': -11.633194, ' The': -14.440261}
{' Yes': -0.0043917974, ' No': -6.059792, 'Yes': -6.3270802, ' The': -8.467817, ' yes': -10.579928}
{' Yes': -0.00065635337, 'Yes': -7.4409766, ' The': -10.158177, ' No': -11.107115, ' yes': -11.387324}
