{' Yes': -0.004286734, 'Yes': -6.3658724, ' No': -6.7376213, ' Spider': -6.779202, ' yes': -9.341253}
{' Yes': -0.059122674, ' No': -2.8869061, 'Yes': -6.709885, ' Nope': -8.859919, 'No': -9.006807}
{' Yes': -0.14957452, ' No': -1.9827311, 'Yes': -6.9630084, 'No': -8.734219, ' yes': -10.594451}
{' Yes': -0.04666326, ' No': -3.13373, 'Yes': -6.5284195, ' Candle': -8.13909, 'No': -9.438137}
{' Yes': -0.021459766, ' No': -3.9725206, 'Yes': -6.2691474, ' Thr': -9.197689, ' Th': -9.325376}
{' Yes': -0.0153652895, ' No': -4.406711, 'Yes': -6.058264, ' Th': -8.577945, ' Thr': -9.0683565}
{' Yes': -0.16060874, ' No': -1.9251351, 'Yes': -6.414557, 'No': -7.5705547, '\n': -8.647598}
{' Yes': -0.003203476, ' No': -6.330767, 'Yes': -6.6369867, ' yes': -10.250554, '\n': -10.682256}
{' Yes': -0.0016478321, 'Yes': -6.520114, ' No': -9.247495, ' yes': -10.509158, '\n': -10.612174}
{' Yes': -0.0048943916, 'Yes': -6.05361, ' No': -6.7374973, ' Flower': -6.7946057, ' yes': -9.1847105}
{' No': -0.12864715, ' Yes': -2.1493762, 'No': -5.87826, ' Nope': -7.2587986, 'Yes': -8.10932}
{' Yes': -0.24142641, ' No': -1.5505466, 'Yes': -6.4763083, 'No': -7.528068, ' Nope': -9.238232}
{' No': -0.40911877, ' Yes': -1.1242772, ' Indian': -5.422497, 'No': -5.669433, ' India': -6.5798182}
{' No': -0.049499813, ' Yes': -3.084141, 'No': -6.192347, ' Nope': -8.338984, 'Yes': -9.398057}
{' Yes': -0.0018455277, 'Yes': -6.6911993, ' Orange': -8.230202, ' No': -8.595265, ' Sure': -9.451991}
{' Yes': -0.04218021, ' Orange': -3.3466177, ' No': -5.560231, 'Yes': -6.3180184, ' Sure': -8.956808}
{' Yes': -0.0037342492, 'Yes': -5.8283076, ' No': -7.623529, ' Hungry': -8.559536, ' YES': -10.40408}
{' Yes': -0.17468798, ' No': -1.8456053, 'Yes': -6.5241666, 'No': -7.6763926, ' Nope': -8.328229}
{' No': -0.574524, ' Yes': -0.8335134, 'No': -6.591806, 'Yes': -7.300442, '\n': -8.853233}
{' No': -0.14597015, ' Yes': -2.0277183, 'No': -5.7887807, 'Yes': -8.0603, ' Nope': -8.101821}
{' Yes': -0.80370235, ' Mirror': -1.3003796, ' No': -1.327794, ' Mir': -5.1039224, 'No': -6.5006557}
{' Yes': -0.6379843, ' No': -0.7563582, 'No': -7.045207, 'Yes': -7.551766, ' Mirror': -7.803244}
{' Yes': -0.0007017455, 'Yes': -7.363986, ' yes': -10.377107, ' YES': -10.760957, ' Mother': -12.411923}
{' Yes': -0.00088398176, 'Yes': -7.0868955, ' yes': -11.054147, ' YES': -11.232622, '\n': -11.727808}
{' Yes': -0.18223317, ' No': -1.8647875, ' Pepper': -5.257854, 'Yes': -5.6485715, 'No': -7.0076985}
{' Yes': -0.08944165, ' No': -2.4828093, 'Yes': -6.4565372, 'No': -8.398442, ' Nope': -8.846676}
{' Yes': -0.0041313474, 'Yes': -5.718049, ' Cheese': -7.8138003, ' No': -8.270797, ' yes': -10.253177}
{' Yes': -0.0018758639, 'Yes': -6.410233, ' No': -9.0607605, ' Sure': -10.382018, '\n': -10.502495}
{' Yes': -0.017998736, ' No': -4.3166647, 'Yes': -5.9747, ' Nope': -7.1608324, ' Yep': -7.275464}
{' Yes': -0.0883099, ' No': -2.5031488, 'Yes': -6.297317, 'No': -7.9523234, ' Nope': -8.179899}
{' Yes': -0.24601799, ' No': -2.2027612, ' Sure': -2.6873403, ' Squ': -3.917626, ' Square': -4.2104287}
{' Yes': -0.23707186, ' Sure': -2.2651367, ' No': -2.704044, ' Squ': -3.611856, ' Square': -4.906376}
{' Yes': -0.001096206, 'Yes': -7.026231, ' Sure': -9.321599, ' No': -10.227347, '\n': -10.712022}
{' Yes': -0.0013332444, 'Yes': -6.987818, ' No': -7.9369535, '\n': -10.952797, ' Sure': -11.305587}
{' Yes': -0.017588094, ' No': -4.231245, 'Yes': -5.91387, '\n': -10.08687, 'No': -10.236985}
{' Yes': -0.012050312, ' No': -5.028972, 'Yes': -5.252355, ' YES': -10.160901, ' yes': -10.2085905}
{' Ending': -0.6953512, ' Yes': -0.7737604, ' No': -3.326163, 'Yes': -6.223805, ' End': -7.3949723}
{' Yes': -0.23236299, ' Ending': -1.6328986, ' No': -4.9534206, 'Yes': -5.5543885, 'ending': -8.524099}
{' Yes': -0.081798814, ' Energy': -2.5753672, 'Yes': -6.2611523, 'Energy': -8.763369, '\n': -9.650612}
{' Yes': -0.042139985, ' Energy': -3.3262718, 'Yes': -5.835463, ' No': -6.2918806, 'Energy': -8.886483}
{' Yes': -0.0018033101, 'Yes': -6.8766813, ' Father': -7.880543, ' No': -8.180194, ' yes': -10.152717}
{' Yes': -0.0031704702, ' No': -6.2992597, 'Yes': -6.7314363, ' Father': -9.917604, '\n': -10.444092}
