{' Yes': -0.055776756, ' No': -2.984169, ' The': -6.1620555, 'Yes': -6.8753333, '\n': -8.805377}
{' Yes': -0.19651963, ' No': -1.743795, 'Yes': -6.5380015, ' The': -7.005197, 'No': -7.3827376}
{' Yes': -0.50747347, ' No': -0.9298978, 'Yes': -6.6233926, 'No': -6.7295647, ' The': -7.473711}
{' No': -0.26022393, ' Yes': -1.4961019, 'No': -5.6098237, 'Yes': -7.2765713, ' The': -7.517609}
{' No': -0.0042271744, 'No': -5.665613, ' Yes': -7.750101, ' The': -8.808304, ' Not': -9.361034}
{' No': -0.018924708, 'No': -4.2346473, ' Yes': -5.7121267, ' Not': -7.796048, '\n': -8.376847}
{' No': -0.023557615, ' Yes': -4.1983414, 'No': -4.9204254, ' The': -7.8743205, '\n': -7.974561}
{' No': -0.016690819, 'No': -4.8031116, ' Yes': -4.9285064, '\n': -7.619201, ' The': -7.854663}
{' No': -0.31166446, ' Yes': -1.3401754, 'No': -5.3972816, 'Yes': -7.1234355, ' The': -8.173487}
{' No': -0.11252138, ' Yes': -2.3443518, 'No': -4.700145, ' The': -7.624787, 'Yes': -7.8289876}
{' No': -0.009742497, 'No': -4.695047, ' Yes': -8.520729, ' The': -9.0292225, ' Not': -9.169145}
{' No': -0.023135534, 'No': -4.4375067, ' Yes': -4.5592585, '\n': -8.766913, ' The': -8.771984}
{' No': -0.08942503, ' Yes': -2.5424395, 'No': -5.222665, ' The': -7.19497, '\n': -8.060434}
{' No': -0.007810837, 'No': -5.312851, ' Yes': -5.995774, ' The': -8.674036, '\n': -9.548983}
{' Yes': -0.02848591, ' No': -3.6368287, 'Yes': -6.6375813, ' The': -8.533473, ' yes': -9.074693}
{' Yes': -0.009471565, ' No': -4.8633986, 'Yes': -6.6047378, ' The': -8.458431, ' yes': -9.707521}
{' No': -0.022587486, ' Yes': -4.3255544, 'No': -4.778771, '\n': -8.465496, ' Not': -8.788883}
{' No': -0.025983237, ' Yes': -4.3219805, 'No': -4.47783, '\n': -8.228057, ' The': -8.452788}
{' Yes': -0.3493244, ' No': -1.2471515, 'No': -5.770413, 'Yes': -5.820185, ' The': -7.267276}
{' No': -0.011272873, 'No': -4.5213337, ' Yes': -8.586615, '\n': -9.620035, ' ': -10.321915}
