{' Yes': -0.008686332, ' No': -5.233551, ' Spider': -6.134765, 'Yes': -7.0355487, ' The': -8.79744}
{' Yes': -0.0035900755, ' No': -6.0012245, 'Yes': -6.9419236, ' The': -9.35655, ' yes': -10.9549885}
{' Yes': -0.007262713, ' No': -5.0815725, 'Yes': -6.948842, ' The': -10.825711, ' yes': -11.467734}
{' No': -0.29246917, ' Yes': -1.5564272, ' Candle': -3.3738117, ' Cand': -5.1549397, 'No': -7.006216}
{' No': -0.526172, ' Yes': -0.9020608, 'No': -6.367585, 'Yes': -7.153953, ' Not': -7.863084}
{' No': -0.13758242, ' Yes': -2.0693622, 'No': -6.443807, 'Yes': -8.631978, ' The': -8.809606}
{' Yes': -0.3064225, ' No': -1.3555273, 'Yes': -5.8855677, 'No': -6.396632, ' The': -7.26801}
{' Yes': -0.0045232745, 'Yes': -6.051882, ' No': -6.195975, ' The': -9.825591, ' yes': -10.607458}
{' Yes': -0.09060281, ' No': -2.4848595, 'Yes': -6.069553, 'No': -7.877578, ' The': -8.33518}
{' Yes': -0.002911953, ' No': -6.2765055, 'Yes': -7.229081, ' The': -8.408868, ' yes': -10.065946}
{' No': -0.004632674, 'No': -5.7219214, ' Unfortunately': -6.731572, ' Yes': -9.630408, ' Not': -9.789504}
{' No': -0.19171713, ' Yes': -1.7734163, 'No': -6.175636, ' The': -7.053465, ' Unfortunately': -7.3055305}
{' No': -0.39127764, ' Yes': -1.1393933, 'No': -6.0984135, 'Yes': -7.3777027, ' The': -8.007454}
{' No': -0.010155171, 'No': -5.3020387, ' Yes': -5.3073792, ' Not': -9.417025, ' Unfortunately': -10.580658}
{' Yes': -0.0069025443, ' No': -5.381672, 'Yes': -6.148117, ' The': -10.0212755, ' yes': -10.678951}
{' Yes': -0.0070146024, 'Yes': -5.580203, ' No': -5.761405, ' yes': -10.893977, 'No': -11.011813}
{' No': -0.1750478, ' Yes': -1.9341573, 'No': -4.321101, 'Yes': -6.5154047, ' Hungry': -7.6755877}
{' Yes': -0.45924795, ' No': -1.008305, ' Unfortunately': -6.6936035, 'Yes': -6.8642774, 'No': -7.214649}
{' No': -0.003895082, 'No': -5.6274657, ' Yes': -8.457756, ' Unfortunately': -10.595751, ' ': -11.039705}
{' No': -0.12055173, ' Yes': -2.2413023, 'No': -5.104545, 'Yes': -7.5707464, ' Not': -7.8292456}
{' No': -0.30858704, ' Yes': -1.3346205, 'No': -6.6613617, ' The': -8.031524, 'Yes': -8.124777}
{' No': -0.034462173, ' Yes': -3.4984913, 'No': -5.8796635, ' Not': -7.9767623, ' Unfortunately': -8.560925}
{' Yes': -0.0024110698, 'Yes': -6.0354266, ' yes': -11.477392, ' ': -13.578055, ' YES': -13.81777}
{' Yes': -0.0021683988, 'Yes': -6.1607313, ' yes': -10.80405, ' The': -11.155159, ' No': -11.435054}
{' No': -0.46917403, ' Yes': -0.9966494, 'No': -6.0237885, 'Yes': -6.784092, ' Not': -6.9095526}
{' No': -0.602449, ' Yes': -0.80816805, 'No': -5.4868236, 'Yes': -6.1510425, ' Not': -8.386442}
{' Yes': -0.015623835, ' No': -4.3157563, 'Yes': -6.24845, ' Not': -9.807709, ' The': -10.1099415}
{' Yes': -0.069519535, ' No': -2.7633307, 'Yes': -5.8241887, ' The': -7.728138, ' Unfortunately': -8.303095}
{' No': -0.25265118, ' Yes': -1.5876695, 'No': -4.472067, 'Yes': -6.246967, ' ': -6.2627983}
{' Yes': -0.3288303, ' No': -1.3013949, 'Yes': -5.3436213, 'No': -6.062072, ' The': -8.196609}
{' No': -0.21449754, ' Yes': -1.6607388, 'No': -6.1126733, 'Yes': -7.6408315, ' Not': -8.724491}
{' No': -0.17440759, ' Yes': -1.8559833, 'No': -5.9448805, 'Yes': -7.8577166, ' Not': -7.9378104}
{' Yes': -0.013472817, ' No': -4.5484495, 'Yes': -5.952393, ' The': -9.67101, 'No': -10.241973}
{' Yes': -0.0023553856, ' No': -6.551069, 'Yes': -7.046718, ' yes': -11.028333, ' The': -11.072226}
{' Yes': -0.017157184, ' No': -4.2588353, 'Yes': -5.932461, ' The': -8.979162, 'No': -10.429901}
{' Yes': -0.025797777, ' No': -3.9007423, 'Yes': -5.292403, ' The': -9.509454, 'No': -9.5505905}
{' No': -0.0075679966, 'No': -4.9232593, ' Yes': -8.684794, ' Unfortunately': -9.73046, ' ': -10.993342}
{' No': -0.38304856, ' Yes': -1.1723686, 'No': -5.3091307, 'Yes': -6.4920416, ' Ending': -6.909459}
{' Yes': -0.017805893, ' No': -4.1649213, 'Yes': -6.2263722, 'No': -9.958801, ' The': -10.009363}
{' Yes': -0.608384, ' No': -1.1509199, ' Energy': -2.021981, 'Yes': -6.0318956, 'No': -6.3120813}
{' Yes': -0.013349097, ' No': -4.6520114, 'Yes': -5.681155, ' Father': -8.730075, 'No': -9.420951}
{' Yes': -0.2622476, ' No': -1.4806466, 'Yes': -6.41877, 'No': -6.9352207, ' Unfortunately': -8.076317}
{' No': -0.6102798, ' Yes': -0.78831357, 'No': -7.263348, ' The': -7.330956, 'Yes': -7.6875043}
{' No': -0.005807885, 'No': -5.225107, ' Nope': -8.285839, ' Absolutely': -9.894848, ' Unfortunately': -10.498031}
{' Yes': -0.027620966, ' No': -3.699967, 'Yes': -6.2039647, ' The': -8.358424, 'No': -9.254284}
{' No': -0.00911878, 'No': -4.724485, ' Unfortunately': -9.661729, ' The': -10.049647, ' ': -10.55371}
{' Yes': -0.0025522062, 'Yes': -5.987558, ' Strong': -10.793999, ' yes': -11.625541, ' YES': -12.368777}
{' Yes': -0.0012484955, 'Yes': -6.763905, ' No': -9.732222, ' yes': -10.762529, '\n': -12.361364}
{' Yes': -0.0029301264, ' No': -6.5507927, 'Yes': -6.5667434, ' The': -9.948252, ' yes': -10.751207}
{' Yes': -0.0022050156, 'Yes': -6.3855433, ' No': -8.009219, ' yes': -9.561744, ' Seller': -10.054982}
{' No': -0.17619693, ' Yes': -1.8913534, ' Bl': -4.9600806, 'No': -6.1325226, ' ': -7.072803}
{' Yes': -0.32642654, ' No': -1.289752, 'Yes': -6.350785, 'No': -7.268306, ' yes': -8.443017}
{' Yes': -0.098157115, ' No': -2.3968763, 'Yes': -6.243804, 'No': -7.7845774, ' The': -9.405867}
{' Yes': -0.0064674537, ' No': -5.481143, 'Yes': -6.1506567, ' yes': -9.991788, ' The': -10.394813}
{' Yes': -0.006940895, ' No': -5.090479, 'Yes': -7.206983, ' yes': -11.699191, 'No': -12.058672}
{' Yes': -0.10941743, ' No': -2.304812, 'Yes': -6.0814414, ' The': -6.7920136, 'No': -8.076391}
{' Yes': -0.0012607299, 'Yes': -7.2249966, ' No': -7.750437, ' The': -9.404303, ' yes': -11.515813}
{' Yes': -0.010345823, ' No': -4.808296, 'Yes': -6.2821126, ' Parent': -8.983479, ' yes': -10.007907}
{' Yes': -0.0021732969, 'Yes': -6.1559834, ' No': -11.008245, ' yes': -11.153984, '\n': -12.1452}
{' No': -0.17799997, ' Yes': -1.8801616, 'No': -4.7001157, 'Yes': -6.7465262, ' ': -9.161842}
{' No': -0.09415198, ' Yes': -2.468433, 'No': -5.6242476, ' Not': -7.4511576, ' The': -7.639039}
{' No': -0.027446413, ' Yes': -3.7881694, 'No': -5.6047435, ' Not': -7.4670653, 'Yes': -9.530671}
{' No': -0.48870903, ' Yes': -0.9683214, 'No': -5.7648454, 'Yes': -6.4039793, ' Unfortunately': -6.843214}
{' Yes': -0.07362949, ' No': -2.9787502, 'Yes': -4.6370983, ' Stars': -4.929153, ' The': -6.297588}
{' Yes': -0.003923801, 'Yes': -5.660303, ' No': -8.210441, ' The': -9.314074, ' yes': -9.967297}
{' No': -0.36256003, ' Yes': -1.2107027, ' Doctor': -5.950526, 'No': -6.0460806, 'Yes': -7.3511686}
{' No': -0.005684151, 'No': -5.2107677, ' Not': -9.095789, ' Yes': -10.077461, ' Nope': -10.618813}
{' Yes': -0.29125738, ' No': -1.3925738, 'Yes': -6.0531344, 'No': -6.926376, ' The': -7.806995}
{' No': -0.020094825, ' Yes': -4.2502947, 'No': -5.5491567, ' Tennis': -6.704358, ' ': -9.036183}
{' No': -0.17070454, ' Yes': -1.9029967, 'No': -5.2067227, 'Yes': -6.8786855, ' The': -7.511656}
{' No': -0.10654299, ' Yes': -2.3580287, 'No': -5.232603, 'Yes': -7.680252, ' Not': -8.336273}
{' No': -0.049308997, ' Yes': -3.119536, 'No': -5.7714615, ' Unfortunately': -8.408005, ' The': -8.747736}
{' Yes': -0.024803534, ' No': -3.8920176, 'Yes': -5.6686935, ' The': -7.8299236, 'No': -9.5913925}
{' No': -0.33313012, ' Yes': -1.2747463, 'No': -6.341145, 'Yes': -6.7837944, ' The': -7.651636}
{' Yes': -0.022386929, ' No': -3.8916435, 'Yes': -6.4228578, 'No': -10.29991, ' The': -10.5024605}
