{' Yes': -0.0005849042, 'Yes': -7.5844274, ' yes': -10.218534, ' Spider': -10.872956, ' The': -11.29661}
{' Yes': -0.00091935863, 'Yes': -7.0176406, ' yes': -11.1800375, ' The': -12.394171, ' YES': -13.623927}
{' Yes': -0.0007241127, 'Yes': -7.265891, ' yes': -11.836031, ' No': -11.864975, ' The': -12.6189995}
{' Yes': -0.010062025, ' Candle': -5.274665, 'Yes': -6.219801, ' Cand': -6.509911, ' No': -7.079479}
{' Yes': -0.0033780364, ' No': -6.232418, 'Yes': -6.784445, ' The': -8.432081, ' yes': -10.523546}
{' Yes': -0.018997783, ' No': -4.048319, 'Yes': -6.834425, ' The': -8.690372, ' yes': -10.167622}
{' Yes': -0.0013132492, 'Yes': -6.6960244, ' The': -10.303972, ' yes': -10.827681, ' No': -11.009098}
{' Yes': -0.0013679218, 'Yes': -6.6575203, ' The': -10.248194, ' yes': -10.720989, ' No': -11.006819}
{' Yes': -0.0017529731, 'Yes': -6.462623, ' No': -8.982443, ' yes': -10.336921, ' The': -11.421805}
{' Yes': -0.00077058055, 'Yes': -7.2461596, ' yes': -10.508012, ' The': -10.849242, ' YES': -12.472129}
{' No': -0.011262262, ' Yes': -4.909316, 'No': -5.692849, ' Unfortunately': -8.4850645, ' Not': -8.735656}
{' Yes': -0.005359783, ' No': -5.7353115, 'Yes': -6.351265, ' The': -8.138355, ' yes': -10.443045}
{' Yes': -0.0015802501, 'Yes': -6.847559, ' No': -7.71765, ' The': -10.127405, ' yes': -10.660491}
{' Yes': -0.018737268, ' No': -4.132451, 'Yes': -6.0550265, 'No': -9.584456, ' The': -9.646029}
{' Yes': -0.004038161, ' No': -6.044391, 'Yes': -6.457998, ' The': -10.479573, ' yes': -10.690552}
{' Yes': -0.0023498887, 'Yes': -6.0831966, ' No': -10.135334, ' yes': -11.125052, ' ': -12.397148}
{' Yes': -0.042410463, ' No': -3.4256613, 'Yes': -5.3607316, ' Hungry': -5.5657005, 'No': -8.132107}
{' Yes': -0.00064168224, 'Yes': -7.5305924, ' No': -9.718716, ' The': -11.0127735, ' yes': -11.035257}
{' No': -0.006040044, 'No': -5.409776, ' Yes': -6.5579658, ' Unfortunately': -10.109267, ' The': -10.387963}
{' Yes': -0.16703805, ' No': -1.8935472, 'Yes': -6.1920633, 'No': -7.2555676, ' Number': -8.131521}
{' Yes': -0.0006752024, 'Yes': -7.45281, ' No': -9.857002, ' The': -10.663152, ' yes': -11.123262}
{' Yes': -0.036518164, ' No': -3.3581579, 'Yes': -7.0664077, ' The': -9.682594, 'No': -9.7994175}
{' Yes': -0.0018600383, 'Yes': -6.2978053, ' yes': -11.240176, ' ': -13.540047, ' YES': -13.670137}
{' Yes': -0.0018666079, 'Yes': -6.303294, ' yes': -10.652455, ' The': -12.5073805, ' YES': -12.740507}
{' Yes': -0.0028579724, 'Yes': -6.15148, ' No': -7.4661255, ' The': -9.126362, ' yes': -11.086278}
{' Yes': -0.0031739976, 'Yes': -5.795543, ' No': -9.595327, ' The': -10.495039, ' yes': -10.755866}
{' Yes': -0.0013122956, 'Yes': -6.66724, ' yes': -11.1594515, ' ': -11.753926, '\n': -12.033444}
{' Yes': -0.002260336, 'Yes': -6.143606, ' No': -10.058336, ' The': -10.139217, ' yes': -10.964048}
{' Yes': -0.0031233518, 'Yes': -5.8531823, ' Nep': -9.308673, ' ': -9.518199, ' yes': -9.966094}
{' Yes': -0.002240859, 'Yes': -6.199033, ' No': -8.781237, ' The': -11.084901, ' yes': -11.202203}
{' No': -0.00455902, 'No': -5.556013, ' Yes': -7.408685, ' Not': -10.425161, ' Unfortunately': -10.834793}
{' No': -0.48066324, ' Yes': -0.967575, 'No': -7.0854373, 'Yes': -7.912519, ' Not': -8.087619}
{' Yes': -0.001633084, 'Yes': -6.438244, ' yes': -11.078247, ' The': -12.018938, ' ': -12.561081}
{' Yes': -0.0007086653, 'Yes': -7.29119, ' yes': -11.058032, ' The': -12.763516, ' ': -12.93403}
{' Yes': -0.0021311843, 'Yes': -6.2323847, ' No': -9.079255, ' The': -10.651976, ' yes': -11.017424}
{' Yes': -0.0035882806, 'Yes': -5.653012, ' No': -10.465372, ' yes': -10.826736, ' The': -11.068767}
{' No': -0.023932373, ' Yes': -4.0890226, 'No': -5.0221925, 'Yes': -8.993714, ' Unfortunately': -9.657073}
{' Yes': -0.01645163, ' No': -4.3958445, 'Yes': -5.782105, ' Ending': -7.3712482, ' The': -9.347837}
{' Yes': -0.00093355944, 'Yes': -6.9968457, ' yes': -11.422675, ' The': -12.525598, ' ': -13.794959}
{' Yes': -0.0068487716, ' Energy': -5.5499854, 'Yes': -5.900969, ' ': -9.871831, ' No': -10.466822}
{' Yes': -0.0028709446, 'Yes': -6.109368, ' Father': -8.104992, ' No': -8.252213, ' yes': -10.24061}
{' Yes': -0.00085981993, 'Yes': -7.108068, ' No': -10.996011, ' The': -11.408074, ' yes': -11.549523}
{' Yes': -0.0012492116, 'Yes': -6.914211, ' No': -8.779931, ' The': -9.676127, ' yes': -10.685262}
{' No': -0.037809845, ' Absolutely': -4.257462, ' Yes': -4.29901, 'No': -5.158104, ' Nope': -6.307441}
{' Yes': -0.0016122478, 'Yes': -6.473225, ' yes': -10.562773, ' The': -10.814259, ' No': -11.720408}
{' Yes': -0.009859751, ' No': -5.335461, 'Yes': -5.387341, ' The': -8.29664, ' yes': -9.979279}
{' Yes': -0.0016346355, 'Yes': -6.4341354, ' yes': -11.578103, ' YES': -11.812556, ' Strong': -12.023537}
{' Yes': -0.0007300778, 'Yes': -7.247564, ' yes': -11.295544, ' YES': -13.193236, '\n': -13.543347}
{' Yes': -0.0014893287, 'Yes': -6.7107387, ' No': -8.471216, ' The': -10.520475, ' yes': -10.762466}
{' Yes': -0.001225995, 'Yes': -6.748567, ' yes': -10.266648, ' YES': -12.373626, ' The': -12.549384}
