{' Yes': -0.0061298776, 'Yes': -5.340942, ' Generally': -7.020786, ' yes': -8.552528, ' An': -10.049665}
{' Yes': -0.013942338, 'Yes': -4.7477336, ' No': -6.2285376, ' Generally': -6.623008, ' An': -7.622442}
{' Yes': -0.005156055, 'Yes': -5.786934, ' Generally': -6.7581367, ' Ant': -8.118872, ' yes': -8.323589}
{' Yes': -0.011919108, 'Yes': -4.7041035, ' Generally': -6.405243, ' yes': -8.005468, ' AN': -8.655065}
{' Yes': -0.019516645, 'Yes': -4.17022, ' Generally': -6.259764, ' yes': -7.3062453, ' No': -7.919804}
{' Yes': -0.018189922, 'Yes': -4.2397876, ' Generally': -6.397142, ' An': -7.62293, ' yes': -7.844417}
{' Yes': -0.01277921, 'Yes': -4.476448, ' Generally': -8.026686, ' Ant': -8.095156, ' No': -8.322962}
{' Yes': -0.014933098, 'Yes': -4.2818093, ' Generally': -7.820814, ' yes': -8.051039, ' ': -9.038873}
{' Yes': -0.02027917, 'Yes': -4.0459003, ' ': -7.3553214, '\n': -7.3853498, ' yes': -7.505098}
{' Yes': -0.01705265, 'Yes': -4.254836, '\n': -6.7471604, ' ': -7.469645, ' yes': -7.993849}
{' Yes': -0.0249354, 'Yes': -3.9223027, ' No': -6.017851, ' ': -7.254816, '\n': -7.6532106}
{' Yes': -0.021259066, 'Yes': -3.916389, ' yes': -7.9645762, ' ': -8.199496, '\n': -8.652823}
{' Yes': -0.006610663, 'Yes': -5.3664947, ' Generally': -6.922824, ' An': -8.003562, ' yes': -8.25138}
{' Yes': -0.0076965876, 'Yes': -5.0643277, ' An': -7.9113946, ' Generally': -7.9743314, ' yes': -8.159092}
{' Yes': -0.0049104406, 'Yes': -5.663531, ' Generally': -7.590504, ' Ant': -7.713059, ' yes': -8.143823}
{' Yes': -0.008795645, 'Yes': -4.9936147, ' Generally': -7.039065, ' yes': -7.644226, ' Ant': -7.875981}
{' Yes': -0.48927948, ' No': -1.3225067, 'No': -3.4000309, 'Yes': -3.80637, '\n': -4.1123853}
{' Yes': -0.55661064, ' No': -1.1460443, 'No': -3.1308694, 'Yes': -3.8287704, '\n': -4.134266}
{' Yes': -0.07860224, 'Yes': -3.3146062, ' No': -3.7471929, ' Ant': -5.681779, 'No': -5.8238945}
{' Yes': -0.051520247, 'Yes': -3.309928, ' AN': -5.553418, '\n': -5.9293237, ' ': -6.2773366}
{' Yes': -0.019681372, 'Yes': -4.2142043, ' Generally': -6.1039357, ' yes': -7.042328, ' ': -7.816469}
{' Yes': -0.02480433, 'Yes': -3.907279, ' Generally': -6.4404993, ' yes': -6.9295034, ' An': -7.715699}
{' Yes': -0.024075052, 'Yes': -3.9580138, ' Ant': -6.4610443, ' Generally': -7.0115333, ' yes': -7.208695}
{' Yes': -0.023618275, 'Yes': -3.8956044, ' yes': -6.6542964, ' Generally': -7.4125953, ' ': -8.058485}
{' Yes': -0.009226635, 'Yes': -5.0646176, ' yes': -6.562771, ' ': -7.272096, '\n': -7.559168}
{' Yes': -0.0042944574, 'Yes': -5.8263826, ' yes': -7.3616343, ' ': -8.1418085, '\n': -8.30594}
{' Yes': -0.004789336, 'Yes': -5.6870246, ' yes': -7.1481833, '\n': -8.353955, ' ': -8.705756}
{' Yes': -0.0065155667, 'Yes': -5.431139, ' yes': -7.0694823, '\n': -7.427219, ' ': -7.726461}
{' Yes': -0.31329846, ' No': -1.5283501, 'Yes': -3.9794474, 'No': -4.125186, '\n': -5.3525248}
{' No': -0.3002953, ' Yes': -1.8015102, 'No': -3.1139395, '\n': -4.4340425, ' An': -4.6759586}
{' Yes': -0.022250643, 'Yes': -4.143392, ' No': -6.403032, ' Ant': -6.502197, ' yes': -6.830463}
{' Yes': -0.01660476, 'Yes': -4.301339, ' yes': -6.7724833, ' ': -7.424098, '\n': -7.899229}
{' Yes': -0.11024692, 'Yes': -3.0800743, '\n': -3.4439545, ' No': -4.465868, ' ': -4.7462277}
{' Yes': -0.6810202, ' No': -1.2847799, '\n': -2.11931, 'No': -3.5292087, 'Yes': -3.6703866}
