{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' Yes': -0.006761033, 'Yes': -5.3728023, ' No': -7.1275935, ' An': -7.3023596, ' Generally': -8.650035}
{' Yes': -0.003763028, 'Yes': -5.927272, ' Ant': -7.835893, ' Generally': -7.8723464, ' yes': -8.871506}
{' Yes': -0.011727973, 'Yes': -5.094568, ' Ant': -6.0409327, ' Generally': -6.7390776, ' No': -6.988654}
{' Yes': -0.025679007, 'Yes': -4.171351, ' Generally': -5.315346, ' No': -6.065197, ' An': -6.907284}
{' Yes': -0.012325622, 'Yes': -4.661545, ' No': -6.8396473, ' Generally': -7.468679, ' An': -7.8375926}
{' Yes': -0.009469279, 'Yes': -4.783477, ' Generally': -7.648437, ' Ant': -8.411153, ' yes': -8.816884}
{' Yes': -0.009751104, 'Yes': -4.827811, ' Generally': -7.4527173, ' Ant': -7.9714627, ' yes': -8.189559}
{' Yes': -0.016991355, 'Yes': -4.328612, ' No': -6.729684, '\n': -6.9994226, ' ': -7.4446626}
{' Yes': -0.028291889, 'Yes': -3.829876, '\n': -5.5746174, ' ': -7.137319, ' No': -7.3791523}
{' Yes': -0.015071897, 'Yes': -4.272075, '\n': -7.8655868, ' ': -8.347729, ' yes': -8.604775}
{' Yes': -0.027499773, 'Yes': -3.829812, '\n': -5.5712295, ' ': -7.4387145, ' yes': -7.91884}
{' Yes': -0.00679704, 'Yes': -5.230857, ' Generally': -7.3353143, ' An': -8.087363, ' yes': -8.792853}
{' Yes': -0.009164014, 'Yes': -5.0861807, ' An': -6.391841, ' No': -7.689149, ' Generally': -8.291507}
{' Yes': -0.0063722488, 'Yes': -5.198179, ' Ant': -8.11584, ' Generally': -8.246438, ' yes': -8.703307}
{' Yes': -0.016633729, 'Yes': -4.6437182, ' Ant': -5.6408114, ' Generally': -6.2013984, ' yes': -7.946295}
{' No': -0.6408328, ' Yes': -0.9645575, 'No': -2.979084, 'Yes': -4.595304, '\n': -4.6592364}
{' Yes': -0.27148885, ' No': -1.6505113, 'Yes': -4.0034432, 'No': -4.065373, '\n': -5.667622}
{' Yes': -0.0226665, 'Yes': -3.967769, '\n': -6.9306765, ' ': -6.940849, ' Ant': -7.6701584}
{' Yes': -0.027273603, 'Yes': -3.7732852, ' No': -6.4849205, '\n': -6.971607, ' ': -7.6845427}
{' Yes': -0.028965661, 'Yes': -3.924256, ' Generally': -5.4512544, ' No': -6.4099045, ' ': -7.2913423}
{' Yes': -0.021729453, 'Yes': -4.047826, ' No': -6.8968625, ' An': -7.205567, ' Generally': -7.296883}
{' Yes': -0.0119822025, 'Yes': -4.533316, ' Generally': -7.571272, ' yes': -8.319572, ' ': -8.909277}
{' Yes': -0.017736785, 'Yes': -4.1632824, ' Ant': -7.5487175, ' Generally': -7.6142507, ' yes': -7.632234}
{' Yes': -0.055580087, ' No': -3.0613098, 'Yes': -5.8741074, ' ': -6.605436, '\n': -6.774139}
{' Yes': -0.0047424412, 'Yes': -5.805857, ' yes': -7.1618485, '\n': -7.853144, ' ': -7.987313}
{' Yes': -0.003183383, 'Yes': -6.0816436, ' yes': -7.9008327, '\n': -8.042224, ' ': -8.71083}
{' Yes': -0.0045198617, 'Yes': -5.6565633, ' yes': -7.730342, '\n': -7.8902903, ' ': -8.918849}
{' Yes': -0.052098412, 'Yes': -3.918748, ' No': -4.123748, '\n': -4.777835, ' ': -5.828265}
{' Yes': -0.08717761, ' No': -2.9541893, 'Yes': -4.211523, '\n': -5.2019215, ' An': -5.853237}
{' Yes': -0.018477313, 'Yes': -4.32647, '\n': -6.484925, ' yes': -6.5173573, ' ': -6.7535443}
{' Yes': -0.015631462, 'Yes': -4.327643, ' yes': -6.7649884, ' ': -8.074625, '\n': -8.111587}
{' Yes': -0.36163354, '\n': -1.835932, ' No': -2.5176241, 'Yes': -3.6030672, ' ': -3.681406}
{' Yes': -0.10216926, '\n': -3.1974373, 'Yes': -3.3801594, ' No': -4.6738167, ' ': -4.731819}
{' Yes': -0.12528792, '\n': -2.6298082, 'Yes': -3.5356045, ' ': -4.3224735, ' yes': -6.282415}
{' Yes': -0.06194873, 'Yes': -3.4995172, '\n': -3.7524774, ' ': -5.568683, ' yes': -6.4427943}
{' Yes': -0.011396273, ' No': -5.0788836, 'Yes': -5.6563563, ' ': -7.4235477, ' yes': -7.8642044}
{' Yes': -0.0032318805, 'Yes': -6.016488, ' yes': -8.057048, ' ': -8.677378, ' No': -8.808118}
{' Yes': -0.0024628723, 'Yes': -6.187298, ' yes': -8.555016, ' ': -9.068558, '\n': -9.63504}
{' Yes': -0.0040096743, 'Yes': -5.628494, ' yes': -8.242149, ' ': -10.071147, '\n': -10.114073}
{' No': -0.5279934, ' Yes': -1.7558014, 'No': -2.067811, '\n': -2.7750292, ' ': -3.908489}
{' Yes': -0.6740503, ' No': -1.1437405, 'No': -2.890334, 'Yes': -3.1976535, '\n': -3.203425}
{' Yes': -0.11588771, 'Yes': -2.6936903, '\n': -3.739589, ' ': -4.665122, ' Ant': -5.781583}
