{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' Yes': -0.008199804, 'Yes': -4.919647, ' Generally': -7.6820164, ' yes': -8.713558, ' No': -9.114584}
{' Yes': -0.018907154, ' Generally': -5.0904784, 'Yes': -5.1230044, ' No': -5.871719, ' Sn': -5.948997}
{' Yes': -0.38569713, ' No': -1.2422415, 'No': -4.3167176, 'Yes': -4.5927114, ' Generally': -5.2667947}
{' Yes': -0.038710795, 'Yes': -4.194621, ' No': -4.5917654, ' Generally': -4.7211523, ' A': -6.665063}
{' Yes': -0.022353891, 'Yes': -4.0211086, ' No': -6.1397166, ' Generally': -7.356879, ' A': -7.608499}
{' Yes': -0.05246305, 'Yes': -4.0044413, ' No': -4.3067026, ' Sn': -4.5149107, ' Generally': -5.2222586}
{' Yes': -0.24578957, ' No': -1.7643384, 'Yes': -3.6202915, 'No': -4.0345297, ' ': -7.3786783}
{' Yes': -0.2908864, ' No': -1.5818659, 'Yes': -4.052038, 'No': -4.200772, ' Generally': -5.4998956}
{' Yes': -0.038398452, 'Yes': -3.850713, ' No': -4.6925673, ' A': -6.118032, '\n': -6.429167}
{' Yes': -0.32607797, ' No': -1.6346124, ' Sn': -3.6015105, 'No': -3.9535763, 'Yes': -3.9553711}
{' Yes': -0.45190802, ' No': -1.2080497, 'No': -3.51313, 'Yes': -3.597925, '\n': -6.138911}
{' Yes': -0.02676595, ' Generally': -4.371092, 'Yes': -4.8198395, ' No': -6.1025, ' A': -6.5241885}
{' Yes': -0.007328758, 'Yes': -5.1158032, ' Generally': -7.577032, ' A': -8.07345, ' No': -8.4668255}
{' Yes': -0.058067903, ' Sn': -3.5225492, 'Yes': -4.574473, ' Generally': -4.905371, ' No': -5.1582284}
{' No': -0.5223979, ' Yes': -1.0055046, 'No': -3.5384843, 'Yes': -4.9641476, ' Sn': -5.6567817}
{' No': -0.124206, 'No': -2.2708278, '\n': -5.786561, ' Yes': -5.8349924, ' Generally': -5.974739}
{' No': -0.288908, ' Yes': -2.0011022, 'No': -2.4231148, '\n': -4.884979, 'Yes': -5.172794}
{' Yes': -0.3869885, ' No': -1.7392069, ' Sn': -2.9818616, 'No': -3.6194348, 'Yes': -3.62831}
{' No': -0.19772145, 'No': -1.783411, '\n': -5.6721344, ' Yes': -6.0854545, ' ': -6.1437054}
{' Yes': -0.14885901, ' No': -2.5087967, ' Generally': -3.4715633, 'Yes': -4.604664, 'No': -5.510037}
{' Yes': -0.02496235, 'Yes': -4.355052, ' No': -5.533343, ' Generally': -5.8664327, ' A': -5.9061265}
{' Yes': -0.055117883, 'Yes': -4.2004786, ' Sn': -4.259473, ' No': -4.4020376, ' Generally': -4.9387336}
{' No': -0.5738715, ' Yes': -1.0291041, 'No': -2.867973, 'Yes': -4.3082194, ' Sn': -5.9262805}
{' Yes': -0.003835246, 'Yes': -5.907018, ' yes': -7.5828447, ' No': -8.323621, ' ': -8.642167}
{' Yes': -0.004028289, 'Yes': -5.8295097, ' yes': -7.619783, ' ': -8.555408, ' No': -8.75232}
{' Yes': -0.005344022, 'Yes': -5.5636897, ' yes': -7.350957, ' No': -8.105615, '\n': -8.274754}
{' Yes': -0.31517422, ' No': -1.3345414, 'Yes': -5.8968425, 'No': -6.3419204, '\n': -6.8370185}
{' No': -0.07383719, 'No': -2.7073495, '\n': -6.8172665, ' ': -6.833129, ' A': -7.081048}
{' No': -0.19587865, ' Yes': -2.2068706, 'No': -2.9970775, ' A': -4.7668395, 'Yes': -5.9258533}
{' No': -0.087431334, 'No': -3.0956995, ' Yes': -3.4195867, ' Sn': -6.05899, ' ': -6.6260266}
{' No': -0.039062653, 'No': -3.3384593, ' ': -6.9152927, ' Yes': -6.9627414, '\n': -7.5070395}
{' No': -0.1401913, 'No': -2.3127053, '\n': -3.8070936, ' ': -5.415267, ' A': -5.7468557}
{' No': -0.17840663, 'No': -2.4973323, '\n': -3.4726512, ' Yes': -3.8252072, ' A': -4.06527}
{' No': -0.1731614, '\n': -2.6183193, 'No': -2.6804953, ' ': -4.4067655, ' Yes': -5.943027}
{' No': -0.1693015, '\n': -2.5639873, 'No': -2.6623168, ' ': -4.8715835, ' S': -7.747745}
{' No': -0.68226343, ' Yes': -0.72521126, 'No': -5.28827, 'Yes': -6.1319666, ' A': -6.619113}
{' Yes': -0.054665968, ' No': -3.0652246, 'Yes': -5.595332, ' A': -6.962762, ' ': -7.1362486}
{' No': -0.42877132, ' Yes': -1.0988286, ' Sn': -4.9317617, 'No': -5.2533984, 'Yes': -6.457885}
{' No': -0.006408123, 'No': -5.094627, ' ': -8.836541, ' Yes': -9.788985, '\n': -10.422503}
{' No': -0.2744988, 'No': -1.479121, '\n': -5.241946, ' ': -5.4716234, ' A': -6.5722103}
{' No': -0.24097185, 'No': -1.6937497, '\n': -4.6630974, ' A': -4.8344812, ' ': -4.8353205}
{' No': -0.23502244, 'No': -1.6618394, '\n': -4.707286, ' ': -4.8988385, ' Sn': -6.7646413}
