{' Yes': -0.00454453, 'Yes': -5.773289, ' Generally': -6.811503, ' yes': -8.638304, ' An': -10.67748}
{' Yes': -0.012332804, 'Yes': -5.0519443, ' Generally': -5.58298, ' No': -7.7285776, ' It': -8.133723}
{' Yes': -0.007773954, ' Generally': -5.610996, 'Yes': -5.8582053, ' Ant': -7.8714705, ' yes': -8.011949}
{' Yes': -0.011274017, 'Yes': -4.871753, ' Generally': -5.975227, ' yes': -7.822582, ' Ant': -8.767821}
{' Yes': -0.023527712, 'Yes': -4.2116513, ' Generally': -5.066483, ' yes': -7.3199964, ' An': -8.138215}
{' Yes': -0.021012755, 'Yes': -4.241197, ' Generally': -5.424377, ' yes': -7.8344, ' An': -7.940108}
{' Yes': -0.017581724, 'Yes': -4.5455203, ' Generally': -5.5056453, ' Ant': -6.445345, ' yes': -7.7909307}
{' Yes': -0.014794137, 'Yes': -4.331221, ' Generally': -7.024058, ' yes': -7.993159, ' ': -9.147578}
{' Yes': -0.013870837, 'Yes': -4.4886346, ' Generally': -6.969942, ' yes': -7.568167, '\n': -7.7235246}
{' Yes': -0.020228745, 'Yes': -4.136649, '\n': -6.167796, ' ': -7.0523386, ' yes': -7.7285795}
{' Yes': -0.019666295, 'Yes': -4.1597133, ' Generally': -6.3574305, ' Ant': -7.6272035, ' ': -7.8534265}
{' Yes': -0.0206319, 'Yes': -3.9519594, ' yes': -7.929291, ' ': -8.23457, ' Generally': -8.355318}
{' Yes': -0.008174263, 'Yes': -5.2351675, ' Generally': -6.2642393, ' yes': -8.036257, ' An': -8.432558}
{' Yes': -0.008231233, 'Yes': -5.190057, ' Generally': -6.5229635, ' An': -7.8119555, ' yes': -8.175155}
{' Yes': -0.010054382, 'Yes': -5.3896184, ' Generally': -6.033356, ' Ant': -6.262025, ' yes': -7.544657}
{' Yes': -0.014437596, 'Yes': -4.5621705, ' Generally': -6.2212505, ' Ant': -7.012301, ' yes': -7.4056187}
{' Yes': -0.07208015, 'Yes': -3.8361564, ' No': -3.9254696, ' Generally': -4.4890876, '\n': -5.4658313}
{' Yes': -0.11519316, ' No': -3.195994, 'Yes': -3.5436747, ' Generally': -4.575709, '\n': -4.5848756}
{' Yes': -0.053660717, 'Yes': -3.3781273, ' Generally': -5.1153975, ' Ant': -5.5888696, '\n': -6.110416}
{' Yes': -0.0452072, 'Yes': -3.2988307, '\n': -6.3183413, ' Generally': -6.322988, ' ': -6.712954}
{' Yes': -0.021467073, 'Yes': -4.220142, ' Generally': -5.5216994, ' yes': -6.714582, ' ': -8.316672}
{' Yes': -0.027222216, 'Yes': -3.841433, ' Generally': -5.988032, ' yes': -6.7528615, ' ': -7.7210774}
{' Yes': -0.023313666, 'Yes': -4.1989193, ' Generally': -5.7706523, ' Ant': -6.1505303, ' yes': -6.6786094}
{' Yes': -0.024461124, 'Yes': -3.8785546, ' yes': -6.4857283, ' Generally': -7.027465, ' ': -8.091314}
