{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.36250383, ' No': -1.209172, 'Yes': -5.880711, 'No': -5.927758, ' ': -9.096504}
{' Yes': -0.69200003, ' No': -0.7669283, 'No': -3.6865642, 'Yes': -4.668019, ' ': -8.381067}
{' Yes': -0.15432969, ' No': -2.0873797, 'Yes': -4.3311696, 'No': -5.2036805, ' yes': -8.687271}
{' No': -0.1881454, ' Yes': -2.1661518, 'No': -2.9331934, 'Yes': -5.7884502, ' ': -7.7496476}
{' Yes': -0.09895882, ' No': -2.7451742, 'Yes': -3.7105882, 'No': -5.343736, ' ': -7.7265925}
{' No': -0.5371066, ' Yes': -0.9203864, 'No': -4.313367, 'Yes': -5.7106843, ' ': -7.9281507}
{' Yes': -0.12054144, ' No': -2.2225962, 'Yes': -5.54961, 'No': -6.8373575, ' ': -8.612817}
{' No': -0.085559174, 'No': -2.6651852, ' Yes': -4.4597692, ' ': -7.8332276, 'Yes': -7.9158487}
{' No': -0.6723283, ' Yes': -0.8399823, 'No': -3.1397486, 'Yes': -4.3229976, ' ': -6.867522}
{' No': -0.47877464, ' Yes': -1.0612885, 'No': -3.5385492, 'Yes': -5.425987, ' ': -7.618154}
{' Yes': -0.14026351, ' No': -2.1770408, 'Yes': -4.522176, 'No': -5.2643557, ' ': -7.3525324}
{' Yes': -0.14550264, ' No': -2.0084958, 'Yes': -7.194965, 'No': -8.714722, ' yes': -8.757803}
{' Yes': -0.006313706, ' No': -5.268675, 'Yes': -6.974455, ' yes': -9.019598, ' ': -9.575123}
{' No': -0.24457899, ' Yes': -1.5698277, 'No': -4.9320064, 'Yes': -6.7387447, ' ': -7.849717}
{' Yes': -0.10786206, ' No': -2.3434691, 'Yes': -5.324947, 'No': -6.9593387, ' ': -8.321126}
{' No': -0.01693049, ' Yes': -4.797499, 'No': -4.8091307, ' ': -8.221836, 'Yes': -9.619641}
{' No': -0.2562686, ' Yes': -1.5503436, 'No': -4.602618, 'Yes': -6.0806127, ' ': -6.610465}
{' Yes': -0.46610677, ' No': -0.99284005, 'Yes': -6.960699, 'No': -7.07934, ' ': -8.7085905}
{' Yes': -0.10946924, ' No': -2.2857654, 'Yes': -6.5644174, ' ': -8.314353, 'No': -8.339506}
{' No': -0.017718526, 'No': -4.4678392, ' Yes': -5.2711496, ' ': -7.173125, '\n': -9.218526}
{' No': -0.19863406, ' Yes': -1.7898932, 'No': -4.67211, ' ': -6.207386, 'Yes': -6.4829907}
{' Yes': -0.096278846, ' No': -2.4443185, 'Yes': -5.7667823, 'No': -7.2775264, ' ': -7.349586}
{' Yes': -0.02115435, ' No': -4.1932254, 'Yes': -5.438167, ' yes': -7.4259067, ' ': -7.450317}
{' No': -0.075143866, 'No': -3.2192688, ' Yes': -3.456638, 'Yes': -7.529111, ' ': -8.527248}
{' Yes': -0.045102246, ' No': -3.6305668, 'Yes': -4.2614737, ' yes': -6.177775, 'No': -6.754868}
{' No': -0.2478166, ' Yes': -1.8037515, 'No': -2.99433, 'Yes': -5.3943486, ' ': -9.575876}
{' Yes': -0.062053625, ' No': -3.4414003, 'Yes': -3.6769083, 'No': -6.2042727, ' yes': -7.296953}
{' No': -0.64487827, ' Yes': -1.0071791, 'No': -2.496143, 'Yes': -3.6810853, ' ': -6.5818896}
{' Yes': -0.0639976, 'Yes': -2.8870337, ' No': -5.7788486, ' yes': -6.1744537, 'No': -7.5781193}
{' No': -0.32741457, ' Yes': -1.3884001, 'No': -3.6771228, 'Yes': -5.575249, ' ': -8.073394}
{' Yes': -0.05049783, ' No': -3.191428, 'Yes': -5.0212216, ' yes': -7.248001, 'No': -7.357325}
{' No': -0.2079389, 'No': -1.9652134, ' Yes': -3.1300464, 'Yes': -5.7826614, ' ': -7.3962183}
{' Yes': -0.06400185, 'Yes': -2.9666681, ' No': -4.834105, 'No': -6.580818, ' yes': -7.202906}
{' Yes': -0.7121216, ' No': -0.8411594, 'No': -2.844131, 'Yes': -3.9981554, ' yes': -7.2398915}
{' Yes': -0.04175852, 'Yes': -3.5775535, ' No': -4.8372293, ' yes': -5.6680455, 'No': -6.8840337}
{' Yes': -0.16769487, ' No': -1.8905171, 'Yes': -6.7385197, ' yes': -6.8687005, ' ': -7.1890397}
{' Yes': -0.008383048, ' No': -5.109585, 'Yes': -6.7625446, ' yes': -6.962784, ' ': -8.670435}
{' No': -0.2082638, ' Yes': -1.7493021, 'No': -4.4452057, 'Yes': -6.5229454, ' ': -7.246937}
