{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' No': -0.11372217, ' Yes': -2.3241923, 'No': -4.7075143, 'Yes': -7.5809364, ' ': -9.413029}
{' No': -0.6150791, ' Yes': -0.87745214, 'No': -3.3565931, 'Yes': -4.78407, ' ': -8.833998}
{' No': -0.10298192, 'No': -3.0087, ' Yes': -3.0483098, 'Yes': -6.9570045, ' ': -9.359684}
{' No': -0.0783421, 'No': -2.7837863, ' Yes': -4.3552833, 'Yes': -7.8636947, ' ': -8.654757}
{' No': -0.08449114, 'No': -2.6349766, ' Yes': -4.7462573, 'Yes': -8.025947, ' ': -8.39829}
{' No': -0.22966295, ' Yes': -1.7408286, 'No': -3.593318, 'Yes': -6.23194, ' ': -8.375697}
{' No': -0.095851764, ' Yes': -2.5742967, 'No': -4.2315636, 'Yes': -7.598287, ' ': -8.820118}
{' No': -0.08720628, 'No': -2.5222914, ' Yes': -5.8796883, ' ': -8.3557, 'Yes': -9.179933}
{' No': -0.0979894, 'No': -2.4267666, ' Yes': -5.399259, ' ': -8.217609, 'Yes': -8.630006}
{' No': -0.32220304, ' Yes': -1.4684852, 'No': -3.2091541, 'Yes': -5.6836295, ' X': -7.6020937}
{' No': -0.07207656, 'No': -3.0421805, ' Yes': -3.9070354, ' X': -7.172267, ' ': -7.6505504}
{' Yes': -0.099531606, ' No': -2.3710332, 'Yes': -6.9446874, 'No': -8.707438, ' yes': -9.00123}
{' Yes': -0.59782094, ' No': -0.80375165, 'No': -6.769306, 'Yes': -6.9686737, ' ': -8.607405}
{' Yes': -0.36055914, ' No': -1.2177616, 'Yes': -5.6415095, 'No': -5.847562, ' ': -8.352117}
{' No': -0.09685575, ' Yes': -2.5168805, 'No': -4.5370464, 'Yes': -7.351458, ' ': -8.409549}
{' No': -0.030419435, ' Yes': -3.9227855, 'No': -4.6520777, ' ': -7.824915, 'Yes': -8.712234}
{' No': -0.017836474, 'No': -4.217282, ' Yes': -5.9689775, ' ': -8.1118145, 'Yes': -10.17145}
{' Yes': -0.67587286, ' No': -0.71519476, 'No': -6.7449737, 'Yes': -7.1182895, ' ': -8.855887}
{' No': -0.009993453, ' Yes': -4.9605145, 'No': -5.872454, ' ': -9.282708, 'Yes': -10.865679}
{' No': -0.020190855, 'No': -4.235149, ' Yes': -5.370641, ' ': -7.279424, '\n': -9.428159}
{' No': -0.021252185, 'No': -3.9850104, ' Yes': -6.251856, ' ': -7.78652, '\n': -9.946661}
{' Yes': -0.23551352, ' No': -1.5860385, 'Yes': -5.973615, 'No': -6.526115, ' ': -7.3521686}
{' No': -0.44797045, ' Yes': -1.0468551, 'No': -5.1145277, 'Yes': -6.2762494, ' ': -6.434275}
{' No': -0.089457944, 'No': -2.9335396, ' Yes': -3.457654, 'Yes': -7.359603, ' ': -9.322075}
{' No': -0.7247724, ' Yes': -0.7301665, 'No': -3.7073452, 'Yes': -4.828004, ' yes': -7.1279154}
{' No': -0.20943435, ' Yes': -2.2192364, 'No': -2.5669172, 'Yes': -5.7074733, ' ': -9.716151}
{' No': -0.51003927, ' Yes': -1.1188096, 'No': -2.792031, 'Yes': -4.499411, ' yes': -8.37114}
{' No': -0.34048104, 'No': -1.7780324, ' Yes': -2.2260878, 'Yes': -4.574709, ' ': -7.2659063}
{' Yes': -0.83245945, ' No': -0.8324995, 'No': -2.3867006, 'Yes': -3.3303804, ' ': -6.7851605}
{' No': -0.07483067, 'No': -3.2470696, ' Yes': -3.4290404, 'Yes': -7.4242873, ' ': -9.27841}
{' No': -0.44478083, ' Yes': -1.064219, 'No': -4.543957, 'Yes': -5.900101, ' yes': -7.970139}
{' No': -0.18326744, 'No': -1.8671397, ' Yes': -4.4570885, 'Yes': -7.0764456, ' ': -8.128556}
{' No': -0.5830864, ' Yes': -1.1251588, 'No': -2.3327048, 'Yes': -3.9500103, ' ': -7.4885173}
{' No': -0.531382, ' Yes': -1.2992117, 'No': -2.0908988, 'Yes': -4.2452245, ' yes': -7.616669}
{' Yes': -0.60193413, ' No': -1.0178715, 'No': -2.7473123, 'Yes': -3.8136098, ' yes': -5.988515}
{' Yes': -0.15876742, ' No': -1.9445608, 'Yes': -6.3974853, ' ': -7.1250854, ' yes': -7.2236}
{' No': -0.4186552, ' Yes': -1.0864753, 'No': -6.017528, ' ': -6.974138, 'Yes': -6.9777713}
{' No': -0.557655, ' Yes': -0.8950898, 'No': -4.3358417, 'Yes': -5.373803, ' ': -7.134576}
{' No': -0.08562248, ' Yes': -2.8760562, 'No': -3.7217097, 'Yes': -6.980428, ' ': -7.6307464}
{' No': -0.02264449, 'No': -4.232075, ' Yes': -4.9087777, ' ': -8.049257, 'Yes': -9.27907}
{' No': -0.035522897, 'No': -3.5340178, ' Yes': -5.3312173, ' ': -7.343001, 'Yes': -9.031223}
{' No': -0.6556733, ' Yes': -0.74356395, 'No': -5.8192453, 'Yes': -6.3929358, ' ': -7.540555}
{' No': -0.12174429, ' Yes': -2.2199478, 'No': -5.395235, ' ': -7.058952, 'Yes': -7.701623}
{' No': -0.021698816, 'No': -4.2421308, ' Yes': -5.0888677, ' ': -7.233992, '\n': -9.504977}
{' No': -0.040326256, 'No': -3.553075, ' Yes': -4.6867, ' ': -6.7248273, '\n': -8.423995}
{' Yes': -0.051008657, ' No': -3.1938272, 'Yes': -5.2581654, ' yes': -6.646372, ' ': -6.6678677}
{' Yes': -0.43823814, ' No': -1.0887203, 'No': -5.059395, 'Yes': -5.162447, ' ': -5.868774}
{' Yes': -0.1258322, ' No': -2.1521401, 'Yes': -6.736675, ' ': -7.843279, 'No': -8.152729}
{' No': -0.12961829, ' Yes': -2.139027, 'No': -5.8631864, ' ': -7.4469113, 'Yes': -8.169678}
{' Yes': -0.4724182, ' No': -1.0012231, 'No': -5.320351, 'Yes': -5.687565, ' ': -7.3052654}
{' No': -0.019044379, 'No': -4.3496523, ' Yes': -5.187589, ' ': -8.166165, 'Yes': -9.70849}
{' No': -0.02344094, ' Yes': -4.2092047, 'No': -4.8898044, ' ': -7.345956, 'Yes': -9.4732485}
{' No': -0.018705813, 'No': -4.173624, ' Yes': -6.2031536, ' ': -7.1291957, '\n': -8.221563}
{' No': -0.08279947, ' Yes': -2.5570292, 'No': -6.5519977, ' ': -7.8665824, 'Yes': -9.240399}
{' No': -0.009720108, ' Yes': -5.041893, 'No': -5.884586, ' ': -7.83766, 'Yes': -10.9724865}
{' No': -0.017620608, 'No': -4.445868, ' Yes': -5.373753, ' ': -7.004343, '\n': -8.920843}
{' No': -0.017549997, 'No': -4.172499, ' Yes': -6.7989597, ' ': -7.2258554, '\n': -9.071222}
{' Yes': -0.18515621, ' No': -1.8013669, 'Yes': -6.4079413, ' ': -6.6400027, 'No': -7.1193404}
{' No': -0.010950302, 'No': -4.8095226, ' Yes': -6.09408, ' ': -7.812765, '\n': -10.20422}
{' No': -0.012211157, 'No': -4.4141006, ' ': -10.902992, ' NO': -12.0261345, ' no': -13.012791}
{' No': -0.009429626, 'No': -4.6704974, ' ': -11.17476, ' no': -13.492805, ' NO': -13.657402}
{' No': -0.05166824, 'No': -2.9912224, ' NO': -9.727026, ' ': -10.065964, ' X': -11.7590885}
{' No': -0.07563052, 'No': -2.6205256, ' ': -9.852597, ' NO': -11.553336, ' no': -11.815763}
{' No': -0.0675557, 'No': -2.7313645, ' NO': -9.311484, ' ': -9.447206, 'NO': -11.984582}
{' No': -0.09425827, 'No': -2.410075, ' ': -9.159779, ' NO': -11.028683, ' no': -11.609732}
{' No': -0.020037478, 'No': -3.9243264, ' ': -10.063443, ' NO': -10.640814, ' no': -11.758216}
{' No': -0.010477604, 'No': -4.5665154, ' ': -10.684696, ' no': -12.8809185, ' NO': -12.986015}
{' No': -0.10332126, 'No': -2.3234463, ' ': -9.0014715, ' NO': -9.915697, ' X': -11.105577}
{' No': -0.11881001, 'No': -2.1905985, ' ': -8.917591, ' X': -11.451191, ' NO': -11.926706}
{' No': -0.059017647, 'No': -2.873656, ' ': -8.423183, ' X': -8.499692, ' NO': -8.878285}
{' No': -0.05024609, 'No': -3.02419, ' ': -8.452342, ' X': -9.162665, ' no': -10.325641}
{' No': -0.0012120927, 'No': -6.7406673, ' ': -10.798402, ' NO': -12.3403225, ' no': -12.76697}
{' No': -0.0025468287, 'No': -5.9892273, ' ': -10.372021, ' no': -12.721164, ' NO': -13.1723}
{' No': -0.007889879, 'No': -4.8536177, ' ': -10.036938, ' NO': -11.685991, ' no': -12.776683}
{' No': -0.010862925, 'No': -4.534123, ' ': -9.817403, ' no': -12.297689, ' NO': -12.411445}
{' No': -0.008118317, 'No': -4.834576, ' ': -9.17006, ' NO': -11.210842, '\n': -11.309275}
{' No': -0.012762732, 'No': -4.380797, ' ': -8.923186, '\n': -10.803267, ' NO': -12.166134}
{' No': -0.002344452, 'No': -6.0686913, ' ': -10.828035, ' NO': -12.348432, ' no': -13.304161}
{' No': -0.002748829, 'No': -5.9125137, ' ': -10.323927, ' no': -12.985214, ' NO': -13.132789}
{' No': -0.01440869, 'No': -4.278874, ' ': -7.917353, '\n': -10.048762, ' NO': -10.607906}
{' No': -0.015748514, 'No': -4.1784053, ' ': -8.2849455, '\n': -10.287089, ' no': -12.024742}
{' No': -0.0079736905, 'No': -4.8554487, ' ': -9.194222, '\n': -10.561895, ' NO': -11.163747}
{' No': -0.007757014, 'No': -4.8939643, ' ': -8.76658, '\n': -10.070586, ' no': -10.595825}
{' No': -0.044329476, 'No': -3.1415415, ' NO': -9.897897, ' ': -9.9009285, ' no': -10.827247}
{' No': -0.050552253, 'No': -3.01531, ' no': -9.12525, ' ': -9.340954, ' NO': -10.179825}
{' No': -0.1041426, 'No': -2.3149273, ' NO': -9.998965, ' ': -10.36454, ' no': -11.307056}
{' No': -0.12910347, 'No': -2.1127918, ' no': -9.664118, ' ': -9.6683035, 'no': -10.265351}
{' No': -0.18676126, 'No': -1.7748406, ' ': -8.0250435, ' NO': -8.2625065, '\n': -9.532975}
{' No': -0.18087806, 'No': -1.8030398, ' ': -8.0973425, ' no': -8.949832, ' NO': -9.592618}
{' No': -0.02844139, 'No': -3.5801628, ' NO': -9.616403, ' ': -9.624912, ' no': -10.618657}
{' No': -0.017677452, 'No': -4.0530434, ' ': -9.669792, ' no': -9.676803, ' NO': -10.961178}
{' No': -0.17952517, 'No': -1.8080022, ' ': -8.593449, ' NO': -9.402844, '\n': -10.728177}
{' No': -0.17675017, 'No': -1.8223342, ' ': -8.504782, ' no': -10.003327, '\n': -10.45467}
{' No': -0.14753601, 'No': -1.9930311, ' ': -8.3576565, ' NO': -8.6459, ' X': -8.78183}
{' No': -0.14574216, 'No': -2.009836, ' no': -7.69408, ' X': -7.8285975, ' ': -7.9489036}
{' No': -0.0017879031, 'No': -6.37965, ' ': -9.619104, ' no': -11.337993, ' NO': -11.750815}
{' No': -0.0029529599, 'No': -5.877121, ' ': -9.128744, ' no': -10.590723, '\n': -11.976763}
{' No': -0.013483028, 'No': -4.323736, ' ': -9.226319, ' NO': -10.696887, ' no': -11.226349}
{' No': -0.021872792, 'No': -3.8406973, ' ': -9.140258, ' no': -10.364167, ' NO': -11.605745}
{' No': -0.012196798, 'No': -4.425067, ' ': -9.143874, ' NO': -10.885252, '\n': -11.134753}
{' No': -0.031085163, 'No': -3.499072, ' ': -8.169799, '\n': -9.580908, ' no': -11.105957}
{' No': -0.005266362, 'No': -5.2724285, ' ': -9.5485115, ' no': -10.614733, ' NO': -10.97266}
{' No': -0.005847873, 'No': -5.1840725, ' ': -8.80366, ' no': -9.800732, '\n': -11.596145}
{' No': -0.0143619515, 'No': -4.2848296, ' ': -7.874376, '\n': -10.008805, ' NO': -10.366647}
{' No': -0.02888645, 'No': -3.5826526, ' ': -7.594157, '\n': -8.970374, ' no': -10.678849}
{' No': -0.015951622, 'No': -4.1786594, ' ': -8.2992115, ' no': -9.1582775, '\n': -9.415909}
{' No': -0.01822258, 'No': -4.0742373, ' ': -7.747726, ' no': -7.854991, '\n': -8.595248}
{' No': -0.0019423907, 'No': -6.2751775, ' ': -10.022589, ' NO': -11.99691, '\n': -12.369827}
{' No': -0.0031371631, 'No': -5.8033533, ' ': -9.257077, '\n': -11.249315, ' NO': -12.78887}
{' No': -0.011696795, 'No': -4.463195, ' ': -9.411358, ' NO': -11.265091, ' no': -12.656099}
{' No': -0.012372028, 'No': -4.408986, ' ': -9.139926, '\n': -11.720487, ' NO': -11.958543}
{' No': -0.006452573, 'No': -5.0730553, ' ': -8.854191, '\n': -11.20589, ' NO': -11.735818}
{' No': -0.015694367, 'No': -4.191542, ' ': -8.073704, '\n': -9.00788, ' no': -12.134938}
{' No': -0.0020789793, 'No': -6.2158356, ' ': -9.6419935, ' NO': -11.693749, '\n': -12.9250345}
{' No': -0.0029322777, 'No': -5.8854084, ' ': -8.930788, '\n': -12.022335, ' NO': -12.266394}
{' No': -0.014289875, 'No': -4.3074684, ' ': -7.443029, '\n': -9.16448, ' NO': -11.106407}
{' No': -0.015891183, 'No': -4.1796103, ' ': -7.829312, '\n': -9.896261, ' NO': -12.278839}
{' No': -0.004210056, 'No': -5.4940815, ' ': -9.501898, ' NO': -12.117147, '\n': -12.293674}
{' No': -0.0065712435, 'No': -5.0579286, ' ': -8.835613, '\n': -10.79538, ' no': -11.184931}
{' No': -0.13604817, ' Yes': -2.1552246, 'No': -4.5482087, 'Yes': -7.2878346, ' ': -10.59397}
{' No': -0.020849938, 'No': -4.2559686, ' Yes': -5.058579, 'Yes': -9.587627, ' ': -10.658438}
{' No': -0.19312781, ' Yes': -2.0970814, 'No': -3.0046644, 'Yes': -5.784061, ' ': -9.713017}
{' No': -0.08205267, 'No': -2.7173846, ' Yes': -4.407734, 'Yes': -7.715271, ' ': -9.644722}
{' No': -0.40079322, ' Yes': -1.3229162, 'No': -2.9111464, 'Yes': -4.7004166, ' ': -8.790539}
{' No': -0.11593168, 'No': -2.668588, ' Yes': -3.2646265, 'Yes': -6.416001, ' ': -8.4949255}
{' No': -0.13471304, ' Yes': -2.2854927, 'No': -3.7776039, 'Yes': -6.6561933, ' ': -9.628038}
{' No': -0.041157924, ' Yes': -3.7404413, 'No': -4.117093, 'Yes': -8.351109, ' ': -10.160637}
{' No': -0.66568625, ' Yes': -0.86282986, 'No': -3.0012822, 'Yes': -4.281695, ' ': -7.986407}
{' No': -0.21548678, ' Yes': -2.0158408, 'No': -2.8723183, 'Yes': -5.5938983, ' ': -8.211618}
{' Yes': -0.036631614, ' No': -3.7280378, 'Yes': -4.5802584, 'No': -6.9099946, ' yes': -7.6836476}
{' Yes': -0.17692287, ' No': -1.944129, 'Yes': -4.466216, 'No': -5.0873156, ' yes': -7.1626425}
{' Yes': -0.53931236, ' No': -0.879139, 'Yes': -7.130256, 'No': -7.163444, ' yes': -9.309136}
{' No': -0.032809705, ' Yes': -3.5485318, 'No': -5.7002516, 'Yes': -9.24842, ' ': -9.867415}
{' No': -0.34069404, ' Yes': -1.2778431, 'No': -4.8396754, 'Yes': -6.2083983, ' ': -9.447623}
{' No': -0.05787488, ' Yes': -3.2683527, 'No': -4.0478573, 'Yes': -7.5269275, ' ': -9.002396}
{' No': -0.24740504, ' Yes': -1.5660448, 'No': -4.800557, 'Yes': -6.3681364, ' ': -8.473612}
{' No': -0.06447473, ' Yes': -3.1026518, 'No': -4.1134496, 'Yes': -7.2529373, ' ': -8.05554}
{' No': -0.18706965, ' Yes': -1.7817122, 'No': -6.2705903, 'Yes': -8.018599, ' ': -10.90684}
{' No': -0.020106986, ' Yes': -4.105819, 'No': -5.7116466, 'Yes': -9.714889, ' ': -9.914905}
{' No': -0.25907266, ' Yes': -1.5558771, 'No': -4.299274, 'Yes': -5.9480734, ' ': -7.2047887}
{' No': -0.059160426, ' Yes': -3.2281954, 'No': -4.092949, 'Yes': -7.4614863, ' ': -7.746174}
{' Yes': -0.33307838, ' No': -1.2836304, 'Yes': -5.7393684, 'No': -6.1192923, ' yes': -8.106645}
{' No': -0.09910709, ' Yes': -2.5131218, 'No': -4.441406, 'Yes': -7.1637006, ' ': -7.7353234}
{' No': -0.5121978, ' Yes': -0.9908602, 'No': -3.7619953, 'Yes': -5.14999, ' yes': -7.873337}
{' No': -0.31787348, ' Yes': -1.5200963, 'No': -3.055592, 'Yes': -5.163586, ' yes': -7.561117}
{' No': -0.25211868, ' Yes': -1.9076401, 'No': -2.6854434, 'Yes': -5.109653, ' yes': -9.548831}
{' No': -0.19222817, 'No': -2.4021833, ' Yes': -2.5300996, 'Yes': -5.4318733, ' yes': -9.011669}
{' Yes': -0.8328173, ' No': -0.8445131, 'No': -2.395386, 'Yes': -3.162098, ' yes': -7.116486}
{' Yes': -0.16615693, ' No': -2.597454, 'Yes': -2.7695427, 'No': -4.3116226, ' yes': -6.3194733}
{' No': -0.21998249, ' Yes': -1.7840388, 'No': -3.6357691, 'Yes': -5.874285, ' yes': -8.619484}
{' No': -0.45367607, ' Yes': -1.0666273, 'No': -4.1740417, 'Yes': -5.3584595, ' yes': -8.168152}
{' Yes': -0.22599922, ' No': -1.9862455, 'Yes': -3.1264317, 'No': -3.8991826, ' yes': -7.619092}
{' Yes': -0.11211343, ' No': -2.9370782, 'Yes': -3.1085696, 'No': -4.91806, ' yes': -7.266337}
{' Yes': -0.07594333, 'Yes': -3.1274722, ' No': -3.7878058, 'No': -5.529543, ' yes': -6.084667}
{' Yes': -0.063080244, 'Yes': -3.3869612, ' No': -4.016068, ' yes': -5.090111, 'No': -6.0031357}
{' Yes': -0.48504066, ' No': -0.96464926, 'Yes': -6.6558666, 'No': -6.8437667, ' yes': -7.318563}
