{' Right': -0.023665998, ' right': -3.813581, 'Right': -7.2528434, ' "': -7.8961616, 'right': -8.905826}
{' Right': -0.024085553, ' right': -3.8444571, ' "': -7.002767, 'Right': -7.0061774, ' Left': -8.064891}
{' Right': -0.02982986, ' right': -3.5798268, 'Right': -7.175488, ' "': -7.7203565, 'right': -8.688033}
{' Right': -0.036288586, ' right': -3.3954382, 'Right': -6.9835353, ' "': -7.1580534, 'right': -8.328437}
{' Right': -0.02623879, ' right': -3.756965, ' "': -6.7973223, 'Right': -6.833701, 'right': -8.525235}
{' Right': -0.038074505, ' right': -3.351324, 'Right': -6.860641, ' "': -7.020302, 'right': -8.299673}
{' Right': -0.04110737, ' right': -3.2746086, ' "': -6.8003216, 'Right': -6.9479675, 'right': -8.314735}
{' Right': -0.04103955, ' right': -3.2563865, 'Right': -7.2720113, ' "': -7.2739873, 'right': -8.579129}
{' Left': -0.13260503, ' left': -2.0981638, 'left': -7.4594803, 'Left': -7.580454, ' "': -7.7943473}
{' Left': -0.09374511, ' left': -2.4405506, ' "': -6.8121686, 'Left': -7.298028, 'left': -7.4642034}
{' Left': -0.1102332, ' left': -2.2799013, ' "': -7.25111, 'left': -7.2752795, 'Left': -7.3175197}
{' Left': -0.11380905, ' left': -2.2519221, 'Left': -7.1049166, ' "': -7.143506, 'left': -7.196433}
{' Left': -0.11274919, ' left': -2.2787113, ' "': -6.201462, 'Left': -6.796232, 'left': -6.8653603}
{' Left': -0.12984256, ' left': -2.132082, ' "': -6.6480384, 'left': -6.9602237, 'Left': -7.000667}
{' Left': -0.16125289, ' left': -1.9246938, ' "': -6.746053, 'left': -6.980314, 'Left': -7.039302}
{' Left': -0.12595782, ' left': -2.1630175, ' "': -6.447963, 'left': -6.9697814, 'Left': -7.094114}
{' Right': -0.062483206, ' right': -3.43178, ' Left': -3.7450871, ' left': -5.9848824, ' "': -7.04048}
{' Right': -0.047611713, ' right': -3.2204957, ' Left': -5.4721127, 'Right': -7.1560764, ' "': -7.3609567}
{' Right': -0.05768562, ' right': -3.2711883, ' Left': -4.234056, ' left': -6.3734503, 'Right': -7.1161456}
{' Right': -0.045229957, ' right': -3.3960845, ' Left': -4.847775, ' left': -7.096211, 'Right': -7.099417}
{' Right': -0.03554025, ' right': -3.475264, 'Right': -6.4500566, ' "': -6.945782, ' Left': -7.2010407}
{' Right': -0.041125566, ' right': -3.3952112, ' Left': -5.6047196, ' "': -6.8098245, 'Right': -6.871535}
{' Right': -0.074153155, ' right': -2.833825, ' Left': -4.783204, ' left': -6.402244, ' "': -6.8522863}
{' Right': -0.062702574, ' right': -2.9174695, ' Left': -5.6689243, ' "': -6.8670387, 'Right': -6.9620805}
{' Left': -0.074608825, ' left': -2.6995993, ' Right': -6.2916837, ' "': -6.6760716, 'left': -7.172917}
{' Left': -0.07470215, ' left': -2.6922786, ' "': -6.3801255, ' Right': -6.963867, 'Left': -7.1320825}
{' Left': -0.075154595, ' left': -2.6712964, ' "': -6.965102, 'left': -7.1520095, 'Left': -7.1707454}
{' Left': -0.04881932, ' left': -3.096011, 'Left': -7.1422296, ' "': -7.171295, 'left': -7.4196057}
{' Left': -0.07383321, ' left': -2.701759, ' "': -6.3308253, 'Left': -6.87563, 'left': -6.9152985}
{' Left': -0.06645862, ' left': -2.802079, ' "': -6.6759515, 'Left': -6.963359, 'left': -7.0446024}
{' Left': -0.097385824, ' left': -2.4310515, ' "': -6.404957, ' Right': -6.615219, 'left': -6.963167}
{' Left': -0.090294264, ' left': -2.520388, ' Right': -6.0262733, ' "': -6.288566, 'left': -7.0666122}
{' Right': -0.023679854, ' right': -4.2942276, ' Left': -4.820406, 'Right': -7.4103374, ' "': -7.551916}
{' Right': -0.047365203, ' right': -3.429897, ' Left': -4.541145, ' left': -6.7678776, ' "': -6.9746585}
{' Right': -0.047386512, ' right': -3.6168425, ' Left': -4.1225414, ' left': -6.579245, ' "': -6.9704347}
{' Right': -0.03616924, ' right': -3.5713503, ' Left': -5.2398014, 'Right': -7.0776553, ' left': -7.5673003}
