{' Right': -0.019237828, ' right': -3.9719508, 'Right': -9.226725, ' "': -9.861021, 'right': -10.116972}
{' Left': -0.17517278, ' left': -1.8344402, 'left': -7.2579613, 'Left': -8.765575, ' Right': -9.2325535}
{' Right': -0.15602525, ' right': -1.937794, 'right': -8.088125, 'Right': -9.051279, ' RIGHT': -11.34469}
{' Left': -0.20605773, ' left': -1.6887218, 'left': -6.9508314, ' Right': -8.073558, 'Left': -8.890151}
{' Right': -0.014498916, ' right': -4.304448, 'Right': -7.4084997, 'right': -8.888164, ' "': -9.232342}
{' Left': -0.10068445, ' left': -2.366214, 'left': -6.647922, 'Left': -7.402904, ' "': -10.627339}
{' Right': -0.08864962, ' right': -2.4800413, 'right': -7.3561306, 'Right': -7.7488146, ' RIGHT': -11.389049}
{' Left': -0.12589824, ' left': -2.1495073, 'left': -6.707103, 'Left': -7.7789087, ' Right': -9.58145}
{' Right': -0.011284989, ' right': -4.6259623, 'Right': -7.199624, ' "': -7.808926, 'right': -8.519958}
{' Left': -0.060856823, ' left': -2.8646953, 'left': -6.6786447, 'Left': -7.2147202, ' "': -10.566295}
{' Right': -0.04806429, ' right': -3.1005757, 'right': -7.014954, 'Right': -7.2271867, ' Left': -8.747886}
{' Left': -0.076775424, ' left': -2.6817138, ' Right': -5.964181, 'left': -6.3427114, 'Left': -7.493014}
{' Right': -0.050856307, ' right': -3.017634, 'Right': -7.8087583, 'right': -8.804135, ' "': -9.703623}
{' Left': -0.27899092, ' left': -1.4189159, 'left': -6.9750085, 'Left': -7.8563313, ' Right': -9.126487}
{' Right': -0.36261278, ' right': -1.1947356, 'right': -6.965019, 'Right': -7.8860383, ' RIGHT': -10.790147}
{' Left': -0.30076614, ' left': -1.3575232, ' Right': -6.957819, 'left': -7.0181484, 'Left': -8.23119}
{' Right': -0.0080266865, ' right': -5.1952977, 'Right': -6.4927063, ' "': -7.5288415, ' Left': -8.625517}
{' Left': -0.048208896, ' left': -3.1153152, 'Left': -6.6293244, 'left': -6.645764, ' "': -9.741912}
{' Right': -0.05058253, ' Left': -3.6421008, ' right': -3.9470727, 'Right': -6.509702, ' left': -6.785314}
{' Left': -0.270572, ' Right': -1.6067078, ' left': -3.5613432, ' right': -5.722972, ' "': -6.0146623}
{' Right': -0.013995226, ' right': -4.3251867, ' "': -8.123851, 'Right': -8.330365, 'right': -9.360856}
{' Left': -0.107949175, ' left': -2.2922084, 'left': -7.0723553, 'Left': -8.075851, ' "': -9.328749}
{' Right': -0.07051309, ' right': -2.6975043, 'right': -7.867935, 'Right': -8.387194, ' "': -9.782047}
{' Left': -0.11151446, ' left': -2.331035, ' Right': -5.052964, 'left': -6.9250784, ' "': -7.6735296}
{' Right': -0.04117513, ' right': -3.8279276, 'Right': -4.185136, 'right': -5.76047, ' "': -9.523955}
{' Left': -0.24909946, ' left': -1.6630286, 'left': -4.183473, 'Left': -4.2585425, ' Right': -6.71788}
{' Right': -0.1357491, ' right': -2.2808545, 'Right': -4.1525946, 'right': -4.715764, ' ': -10.164114}
{' Left': -0.1526096, ' left': -2.2571495, ' Right': -3.9530818, 'Left': -4.820641, 'left': -4.9780545}
{' Right': -0.0673345, ' right': -2.74027, ' Left': -8.294478, 'right': -8.812572, 'Right': -9.05871}
{' Left': -0.19827613, ' Right': -1.9759766, ' left': -3.307321, ' right': -5.4310737, 'left': -8.949859}
{' Right': -0.0693547, ' right': -2.7201629, ' Left': -7.3308616, 'Right': -8.801615, 'right': -8.844645}
{' Left': -0.10700006, ' left': -2.301702, ' Right': -7.0870376, 'left': -7.903478, 'Left': -9.0506525}
{' Left': -0.40062895, ' Right': -1.3869057, ' left': -2.7532158, ' right': -4.217882, 'left': -6.9809694}
{' Left': -0.4154222, ' Right': -1.2112272, ' left': -3.4315565, ' right': -4.734506, 'left': -7.79305}
{' Right': -0.071590096, ' right': -3.268392, ' Left': -3.586759, ' left': -6.0507936, 'Right': -7.671302}
{' Left': -0.094875894, ' left': -2.5036817, ' Right': -4.989119, 'left': -6.8806643, ' right': -7.591009}
{' Left': -0.49863052, ' Right': -1.1270353, ' left': -2.995588, ' right': -4.0923996, 'left': -7.1886044}
{' Left': -0.23233877, ' Right': -1.7943866, ' left': -3.3695626, ' right': -5.293263, 'left': -7.349274}
{' Right': -0.17399396, ' Left': -2.4943864, ' right': -2.770773, ' left': -4.4825172, 'right': -6.816428}
{' Left': -0.30051124, ' Right': -1.7985581, ' left': -2.5520751, ' right': -4.268676, 'left': -6.805026}
{' Right': -0.4466727, ' right': -1.0278208, 'right': -6.838407, ' Left': -7.417539, 'Right': -7.8862453}
{' Right': -1.1215378, ' Left': -1.3529602, ' right': -1.4679716, ' left': -1.6956154, 'right': -7.2154837}
{' Right': -0.5038489, ' right': -0.9327181, 'right': -6.7222023, 'Right': -7.607372, ' left': -8.610217}
{' Left': -0.5355003, ' left': -0.8864906, 'left': -6.321514, 'Left': -7.808174, ' Right': -8.462929}
{' Left': -0.079394355, ' left': -2.630334, ' Right': -6.0252295, 'left': -6.8423085, 'Left': -7.2864995}
{' Left': -0.5260759, ' Right': -1.0507017, ' left': -3.0587316, ' right': -4.6884084, 'left': -6.644197}
{' Left': -0.535841, ' Right': -1.1661339, ' left': -2.4904845, ' right': -4.1157036, 'left': -6.377136}
{' Left': -0.08638321, ' left': -2.7711766, ' Right': -4.020135, 'left': -7.12568, ' right': -7.135459}
{' Right': -0.09264581, ' Left': -3.034792, ' right': -3.3091068, ' left': -5.740225, 'right': -8.068838}
{' Right': -0.53376347, ' Left': -0.9552628, ' left': -4.216001, ' right': -4.301368, 'Right': -8.68559}
{' Right': -0.034069132, ' right': -3.4343357, ' Left': -7.3535075, 'Right': -8.323399, 'right': -8.805576}
{' Left': -0.06356311, ' left': -2.8005168, 'left': -7.6231117, 'Left': -8.598291, ' Right': -9.025173}
{' Right': -0.153601, ' right': -2.0941775, 'Right': -4.6134663, 'right': -4.698948, ' ': -9.381628}
{' Right': -0.1995357, ' Left': -1.9686377, ' right': -3.7138388, ' left': -4.872854, 'Right': -5.135166}
{' Right': -0.13579218, ' right': -2.2265685, 'Right': -4.6681023, 'right': -4.713627, ' Left': -7.9063587}
{' Left': -0.30231267, ' left': -1.5588223, ' Right': -3.483999, 'left': -4.678657, ' right': -5.228584}
{' Right': -0.050511934, ' right': -3.014457, 'Right': -9.000161, 'right': -10.092738, ' RIGHT': -11.385942}
{' Left': -0.32067817, ' left': -1.2956595, 'left': -7.717597, 'Left': -8.649718, ' "': -12.380776}
