{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Left': -0.02244179, ' left': -3.8655891, ' Right': -7.0484805, 'Left': -8.587638, 'left': -8.66216}
{' Right': -0.019438, ' right': -3.9782906, 'Right': -8.410343, ' Left': -8.742634, 'right': -8.913713}
{' Left': -0.04659238, ' left': -3.1014628, 'left': -8.252978, 'Left': -8.448007, ' Right': -9.751649}
{' Right': -0.11767174, ' Left': -2.2595785, ' right': -5.5530615, ' left': -6.281381, 'Right': -7.320107}
{' Left': -0.022467325, ' left': -3.8541248, 'Left': -7.3100476, 'left': -7.981969, ' Right': -11.210093}
{' Right': -0.011183419, ' right': -4.6282144, 'Right': -7.2223783, ' Left': -7.915272, 'right': -8.356843}
{' Left': -0.03429086, ' left': -3.4294112, 'Left': -7.1010423, 'left': -7.671253, ' Right': -11.735178}
{' Left': -0.16956365, ' Right': -1.9785502, ' left': -4.2004223, 'Left': -6.9777026, ' right': -7.0622044}
{' Left': -0.023853261, ' left': -3.83514, 'Left': -6.720781, 'left': -7.365634, ' Right': -8.986159}
{' Right': -0.025924634, ' right': -4.3833313, ' Left': -4.6268497, 'Right': -6.1622314, 'right': -7.095768}
{' Left': -0.042813707, ' left': -3.2313776, 'Left': -6.579634, 'left': -6.947877, ' Right': -10.46658}
{' Right': -0.21617353, ' Left': -1.7688888, ' right': -4.142884, ' left': -4.8960195, 'Right': -8.060561}
{' Left': -0.051204756, ' left': -3.023321, ' Right': -7.3488383, 'Left': -7.9963017, 'left': -8.218021}
{' Right': -0.03423615, ' right': -3.411584, 'Right': -7.9342275, 'right': -8.62845, ' Left': -9.115364}
{' Left': -0.12351309, ' left': -2.1601112, 'Left': -7.7365265, 'left': -7.834975, ' Right': -10.669808}
{' Left': -0.052504696, ' Right': -3.4047232, ' left': -4.180793, 'Left': -6.327252, 'left': -7.4404507}
{' Left': -0.014728628, ' left': -4.383812, 'Left': -6.4099007, 'left': -7.737438, ' Right': -9.782618}
{' Right': -0.27770346, ' Left': -1.468074, ' right': -5.400586, ' left': -5.50014, 'Right': -6.1150723}
{' Left': -0.02128823, ' left': -3.9712124, 'Left': -6.390921, 'left': -7.5874352, ' "': -10.731689}
{' Left': -0.2535998, ' Right': -1.5450217, ' left': -4.64222, ' right': -7.442808, 'Left': -8.528107}
{' Left': -0.0076373047, ' left': -4.978466, ' Right': -7.923288, 'Left': -8.241858, 'left': -9.2625885}
{' Right': -0.005803508, ' right': -5.7566657, ' Left': -6.087085, 'Right': -8.275981, 'right': -9.627543}
{' Left': -0.014493293, ' left': -4.26926, 'Left': -8.333653, 'left': -8.887942, ' Right': -11.444315}
{' Left': -0.6422456, ' Right': -0.7733376, 'Right': -5.4399347, ' left': -5.646241, 'Left': -5.922963}
{' Left': -0.020781472, ' left': -4.729186, 'Left': -5.08764, ' Right': -5.3148007, 'left': -7.5372624}
{' Right': -0.026673203, 'Right': -4.1855593, ' right': -4.60603, 'right': -6.846012, ' Left': -10.32597}
{' Left': -0.020913783, ' left': -4.404245, 'Left': -4.840999, 'left': -7.5464892, ' Right': -10.212726}
{' Right': -0.20414817, ' Left': -1.7532529, ' right': -4.9374757, ' left': -5.534905, 'Right': -8.581501}
{' Left': -0.01654519, ' left': -4.4201193, ' Right': -5.4763403, 'Left': -9.163873, 'left': -9.750598}
{' Left': -0.056451112, ' left': -3.3187933, ' Right': -4.011516, ' right': -8.073546, 'left': -8.777371}
{' Left': -0.059726056, ' left': -3.3114922, ' Right': -3.8816426, ' right': -7.3889456, 'left': -8.771083}
{' Left': -0.13980955, ' Right': -2.199582, ' left': -4.0230856, ' right': -6.8933077, 'Left': -8.050966}
{' Left': -0.024034327, ' left': -4.131248, ' Right': -4.95105, 'Left': -7.9910502, 'left': -8.478793}
{' Left': -0.038997762, ' left': -3.3920763, ' Right': -5.635369, 'Left': -7.5510173, 'left': -7.715951}
{' Left': -0.10263525, ' Right': -2.6340816, ' left': -3.7295313, ' right': -6.831414, 'Left': -8.066909}
{' Right': -0.23055443, ' Left': -1.7483785, ' right': -3.8365877, ' left': -4.7457557, 'Right': -7.150074}
{' Left': -0.04406813, ' left': -3.5621266, ' Right': -4.3033605, 'Left': -7.5921044, 'left': -7.767157}
{' Left': -0.054795843, ' left': -3.1050313, ' Right': -4.9778895, 'left': -7.226733, 'Left': -7.37837}
{' Right': -0.23833016, ' Left': -1.696296, ' right': -3.937997, ' left': -4.8557653, 'Right': -7.3742137}
{' Right': -0.11838553, ' Left': -2.656187, ' right': -3.3259013, ' left': -5.3067913, 'Right': -8.126173}
{' Left': -0.13844082, ' left': -2.0512843, 'Left': -8.146815, 'left': -8.341906, ' Right': -8.686221}
{' Left': -0.16492845, ' left': -1.9174367, ' Right': -5.564304, 'left': -7.6483054, 'Left': -7.88817}
{' Left': -0.074864075, ' left': -2.6746795, ' Right': -5.98457, 'Left': -8.216957, 'left': -8.276042}
{' Left': -0.46881422, ' Right': -1.0258, ' left': -4.459815, ' right': -5.8145614, 'Right': -7.931941}
{' Left': -0.018938255, ' left': -4.376072, ' Right': -5.241165, 'Left': -7.4790726, 'left': -8.206402}
{' Left': -0.02407786, ' left': -3.951526, ' Right': -5.7328978, 'Left': -7.143237, 'left': -7.6712484}
{' Left': -0.3304409, ' Right': -1.324366, ' left': -4.4193463, ' right': -6.0550475, 'Left': -7.867601}
{' Right': -0.31635344, ' Left': -1.3272845, ' right': -5.864008, ' left': -5.89572, 'Right': -8.367428}
{' Left': -0.009689954, ' left': -4.7589097, ' Right': -7.1714783, 'Left': -8.510586, 'left': -9.284271}
{' Left': -0.01826695, ' left': -4.1109943, ' Right': -6.705953, 'Left': -8.26502, 'left': -8.529779}
{' Left': -0.11632981, ' Right': -2.2902665, ' left': -4.856473, ' right': -7.547621, 'Left': -8.92794}
{' Right': -0.06430475, ' Left': -3.35315, ' right': -4.0672917, 'Right': -4.950747, 'right': -6.4185615}
{' Left': -0.03848356, ' left': -3.938355, ' Right': -4.2242613, 'Left': -5.941352, 'left': -7.336613}
{' Left': -0.05416246, ' left': -3.1764445, ' Right': -5.19437, 'Left': -5.555347, 'left': -6.6236105}
{' Right': -0.28816047, ' Left': -1.5331364, ' right': -3.936596, ' left': -4.715746, 'Right': -5.5360527}
{' Right': -0.039540503, ' Left': -3.349742, ' right': -5.824701, ' left': -7.4973803, 'Right': -8.882837}
{' Left': -0.029430293, ' left': -3.549629, 'Left': -8.561473, 'left': -9.507594, ' "': -15.235651}
{' Right': -0.042608116, ' right': -3.1832826, 'Right': -8.81025, 'right': -9.66015, ' Left': -10.109519}
{' Left': -0.07537252, ' left': -2.6278608, 'Left': -8.333734, 'left': -8.967822, ' "': -13.741848}
{' Left': -0.08225359, ' Right': -3.037938, ' left': -3.5211992, 'Left': -7.443209, ' right': -7.6807127}
{' Left': -0.047126126, ' left': -3.1020844, 'Left': -7.2857585, 'left': -7.845464, ' ': -14.994337}
{' Right': -0.06812036, ' right': -2.737857, 'Right': -7.144776, 'right': -8.006101, ' Left': -11.666579}
{' Left': -0.06628027, ' left': -2.7643604, 'Left': -7.2178493, 'left': -7.884292, ' "': -12.499509}
{' Left': -0.07104371, ' left': -2.8908105, ' Right': -4.4634385, 'Left': -7.291056, 'left': -7.589171}
{' Left': -0.07429715, ' left': -2.6590748, 'Left': -6.998031, 'left': -7.306637, ' "': -12.744973}
{' Right': -0.0714164, ' right': -2.7075496, 'Right': -6.7324443, 'right': -7.3669653, ' Left': -8.127058}
{' Left': -0.11868389, ' left': -2.2051325, 'Left': -6.9833136, 'left': -7.228043, ' "': -11.016885}
{' Left': -0.4423114, ' left': -1.2233098, ' Right': -2.9607818, ' right': -4.5534964, 'left': -7.5982766}
{' Left': -0.2817332, ' left': -1.4067714, 'left': -8.020341, 'Left': -8.246226, ' "': -14.418396}
{' Right': -0.41456246, ' right': -1.0834392, 'right': -7.915917, 'Right': -8.129356, ' Left': -8.828716}
{' left': -0.5608516, ' Left': -0.8475318, 'left': -7.604249, 'Left': -8.141669, ' "': -11.22474}
{' Left': -0.053155895, ' left': -2.9968088, 'Left': -6.6659303, 'left': -7.6059895, ' Right': -10.004376}
{' Left': -0.08732342, ' left': -2.506284, 'Left': -6.6288633, 'left': -7.2328687, ' ': -12.878211}
{' Right': -0.060001776, ' right': -2.9200957, ' Left': -6.3431664, 'Right': -6.4441094, 'right': -7.4377995}
{' Left': -0.10443052, ' left': -2.3368886, 'Left': -6.314981, 'left': -7.248172, ' "': -11.639674}
{' Left': -0.017695472, ' left': -4.7231703, ' Right': -4.7826242, 'Left': -8.575774, 'left': -9.698987}
{' Left': -0.014490933, ' left': -4.260407, 'Left': -8.537851, 'left': -9.524631, ' ': -14.747216}
{' Right': -0.013103459, ' right': -4.4048843, ' Left': -7.722505, 'Right': -8.282521, 'right': -9.546519}
{' Left': -0.030169388, ' left': -3.5291185, 'Left': -8.174517, 'left': -9.178029, ' "': -13.568687}
{' Left': -0.06353605, ' left': -3.4500105, ' Right': -3.71632, 'Left': -5.511215, 'left': -7.132717}
{' Left': -0.06310062, ' left': -2.8984106, 'Left': -5.2981925, 'left': -6.875127, ' Right': -12.664048}
{' Right': -0.06005469, ' right': -3.0572162, 'Right': -4.6874175, 'right': -6.2245216, ' ': -10.447018}
{' Left': -0.14047518, ' left': -2.0933657, 'Left': -5.1249127, 'left': -6.3042874, ' ': -12.009495}
{' Right': -0.079139434, ' Left': -2.6877666, ' right': -5.099014, ' left': -6.411903, 'Right': -8.368166}
{' Left': -0.024143377, ' left': -3.7494984, 'Left': -8.4585495, 'left': -9.55187, ' Right': -10.1035595}
{' Left': -0.17113994, ' left': -1.9980823, ' Right': -3.8991022, ' right': -7.079341, 'left': -7.942048}
{' Left': -0.09272507, ' left': -2.433677, ' Right': -7.8246336, 'left': -8.291034, 'Left': -8.661756}
{' Right': -0.38783574, ' Left': -1.1685879, ' left': -5.2278376, ' right': -5.4426455, 'Right': -7.4584336}
{' Left': -0.020911409, ' left': -3.9203804, 'Left': -7.3387384, 'left': -8.62404, ' Right': -10.415097}
{' Left': -0.070869274, ' left': -2.8670058, ' Right': -4.615501, 'Left': -7.1564345, 'left': -7.327158}
{' Left': -0.061701637, ' left': -2.832747, 'Left': -7.620514, 'left': -7.6726174, ' Right': -10.485531}
{' Right': -0.08943168, ' Left': -2.7509594, ' right': -4.1309547, ' left': -5.711315, 'Right': -6.402187}
{' Left': -0.04252701, ' left': -3.2137802, 'Left': -6.9491177, 'left': -7.7605977, ' Right': -10.123623}
{' Left': -0.11659466, ' left': -2.2962954, ' Right': -5.0011253, 'left': -6.669838, 'Left': -6.8263927}
{' Left': -0.15198846, ' left': -1.9742655, 'left': -6.8216047, 'Left': -7.163303, ' Right': -8.332154}
{' Right': -0.4970596, ' Left': -1.0597256, ' left': -3.721646, ' right': -3.8964756, 'Right': -8.22319}
{' Left': -0.12529515, ' left': -2.143518, 'Left': -8.032514, 'left': -8.606975, ' Right': -11.31942}
{' Left': -0.5124948, ' left': -0.92274463, ' Right': -6.250045, 'left': -7.1323137, ' right': -7.7167926}
{' Left': -0.24812198, ' left': -1.5191027, 'left': -7.6761727, 'Left': -8.231279, ' Right': -9.400454}
{' Right': -0.35847047, ' Left': -1.2566352, ' left': -4.8980155, ' right': -5.1391497, 'Right': -6.0954356}
{' Left': -0.036846492, ' left': -3.384228, 'Left': -6.264788, 'left': -7.9264927, ' Right': -12.158823}
{' Left': -0.117616095, ' left': -2.2399783, 'Left': -6.1092076, 'left': -6.5641885, ' Right': -7.1211863}
{' Left': -0.09949882, ' left': -2.3852234, 'Left': -6.4449806, 'left': -6.8693676, ' Right': -11.935372}
{' Right': -0.40934408, ' Left': -1.1015704, ' left': -6.1004734, ' right': -6.9260845, 'Right': -8.442656}
{' Left': -0.006560803, ' left': -5.070146, 'Left': -8.539444, 'left': -10.315396, ' Right': -10.456111}
{' Left': -0.018171469, ' left': -4.138584, ' Right': -6.3609824, 'Left': -8.399981, 'left': -9.2465725}
{' Left': -0.013676975, ' left': -4.3334684, ' Right': -8.207887, 'Left': -9.046603, 'left': -9.574708}
{' Right': -0.061540175, 'Right': -3.8881373, ' Left': -3.9051623, ' right': -4.134315, 'right': -6.410096}
{' Left': -0.038906164, ' left': -3.5019052, 'Left': -4.9117947, 'left': -7.396057, ' Right': -10.068724}
{' Left': -0.13938335, ' left': -2.1430244, 'Left': -5.072567, ' Right': -5.68239, 'left': -5.879272}
{' Left': -0.1440378, ' left': -2.106667, 'Left': -5.0151653, 'left': -5.801807, ' Right': -5.986292}
{' Right': -0.0021448631, ' right': -6.7656307, ' Left': -7.0637226, 'Right': -9.068481, ' left': -11.734436}
{' Right': -0.43939796, ' Left': -1.0767157, ' left': -4.769453, ' right': -5.1097584, 'Right': -8.749645}
{' Right': -0.2699782, ' Left': -1.4952284, ' right': -4.9134583, ' left': -5.3351097, 'Right': -8.91659}
{' Right': -0.0037835508, ' right': -6.175454, ' Left': -6.515935, 'Right': -8.650369, ' left': -10.647421}
{' Right': -0.0047419625, ' right': -5.679764, 'Right': -7.2669234, ' Left': -7.516651, 'right': -10.003311}
{' Left': -0.6661729, ' Right': -0.7655153, ' left': -4.196025, ' right': -5.3289557, 'Right': -7.6088495}
{' Left': -0.12459695, ' Right': -2.6701653, ' left': -3.1053956, ' right': -6.398355, 'Left': -7.1597095}
{' Right': -0.007778099, ' right': -4.996153, 'Right': -7.097072, 'right': -9.619845, ' Left': -9.690654}
{' Right': -0.010638499, ' right': -4.7723513, 'Right': -6.4667344, ' Left': -8.181207, 'right': -8.83518}
{' Right': -0.23625575, ' Left': -1.8209476, ' right': -3.5081253, ' left': -4.1914577, 'Right': -6.1932025}
{' Left': -0.14053486, ' left': -2.7366822, ' Right': -2.7970688, ' right': -5.9973345, 'Left': -6.3800993}
{' Right': -0.011921821, ' right': -4.632956, 'Right': -6.449319, ' Left': -8.521115, 'right': -8.695426}
{' Right': -0.025479417, ' right': -3.7045658, 'Right': -8.177647, ' Left': -8.669022, 'right': -10.017228}
{' Right': -0.45757064, ' Left': -1.3221033, ' right': -2.9336143, ' left': -3.0654006, 'Right': -8.056291}
{' Left': -0.47377577, ' Right': -1.6073264, ' left': -1.9108388, ' right': -3.5724678, 'Left': -7.9755993}
{' Right': -0.0602784, ' right': -2.8516412, 'Right': -7.8150196, ' Left': -8.935308, 'right': -9.363579}
{' Right': -0.012390075, ' right': -4.933786, 'Right': -5.591673, ' Left': -6.899528, 'right': -8.4920225}
{' Left': -0.71094286, ' Right': -0.75650567, ' left': -3.717868, ' right': -4.646799, 'Right': -6.0940275}
{' Left': -0.3141037, ' Right': -1.4780709, ' left': -3.489057, ' right': -5.3074007, 'Left': -5.67278}
{' Right': -0.017398784, ' right': -4.601148, 'Right': -5.4301143, ' Left': -6.274055, ' "': -7.611112}
{' Right': -0.0011929959, ' right': -6.988297, 'Right': -8.767277, ' Left': -9.273514, 'right': -11.812256}
