{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Left': -0.18781243, ' left': -1.7715107, 'Left': -7.2970595, 'left': -7.812976, '\n': -10.214642}
{' Right': -0.098334864, ' right': -2.381576, 'Right': -7.236953, 'right': -7.7584586, ' ': -10.329935}
{' Left': -0.12835862, ' left': -2.1273763, 'Left': -7.145095, 'left': -7.799573, '\n': -10.040985}
{' Right': -0.022093536, ' right': -4.0407586, 'Right': -5.623158, 'right': -7.667374, ' ': -9.745437}
{' Left': -0.07386004, ' left': -2.7035902, 'Left': -5.714401, 'left': -7.029248, ' ': -10.443079}
{' Right': -0.031064011, ' right': -3.6483717, 'Right': -5.6165285, 'right': -7.1015816, ' ': -10.17126}
{' Left': -0.055411167, ' left': -3.0304646, 'Left': -5.427779, 'left': -6.7549214, ' ': -10.616978}
{' Right': -0.040185273, ' right': -3.4527674, 'Right': -5.0808344, 'right': -6.90536, ' Left': -8.632716}
{' Left': -0.108145736, ' left': -2.3551035, 'Left': -5.138287, 'left': -6.4179754, ' ': -9.699962}
{' Right': -0.053209454, ' right': -3.146126, 'Right': -5.157587, 'right': -6.322601, ' Left': -7.0464735}
{' Left': -0.10846329, ' left': -2.3657987, 'Left': -5.0943794, 'left': -6.141508, ' Right': -7.700306}
{' Right': -0.17195281, ' right': -1.885286, 'Right': -5.4778247, 'right': -6.446113, ' ': -9.014515}
{' Left': -0.4444805, ' left': -1.0411698, 'Left': -5.6144595, 'left': -6.236297, '\n': -9.30947}
{' Right': -0.17424054, ' right': -1.875134, 'Right': -5.4004235, 'right': -6.3060536, ' ': -9.383781}
{' Left': -0.3148471, ' left': -1.3400946, 'Left': -5.1217694, 'left': -6.1811132, '\n': -9.365774}
{' Right': -0.036448617, ' right': -3.835233, 'Right': -4.4863863, ' Left': -6.6402364, 'right': -6.902093}
{' Left': -0.114160895, ' left': -2.373921, 'Left': -4.407675, 'left': -6.03735, ' ': -9.238822}
{' Left': -0.12638327, ' left': -2.8435328, ' Right': -3.1211038, 'Left': -4.559693, 'left': -6.080128}
{' Left': -0.13222848, ' left': -2.389894, ' Right': -4.187021, 'Left': -4.417949, 'left': -5.823621}
{' Right': -0.021079775, ' right': -4.074554, 'Right': -5.8439484, 'right': -7.6382546, ' Left': -8.590264}
