{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Down': -0.12210977, ' down': -2.183555, ' "': -6.6834707, 'Down': -7.531554, 'down': -7.97407}
{' Up': -0.10762189, ' up': -2.318176, ' Down': -6.2620115, ' down': -7.235709, ' "': -7.6582065}
{' Down': -0.15852377, ' down': -1.9398805, ' "': -6.3353996, 'Down': -7.570265, 'down': -7.7808037}
{' Up': -0.07041505, ' up': -2.740871, ' "': -5.995502, ' UP': -7.7107463, 'Up': -8.393976}
{' Down': -0.2784735, ' down': -1.5378443, ' Up': -3.886639, ' "': -5.631466, ' up': -5.7371507}
{' Up': -0.08707336, ' up': -2.4977465, ' "': -7.8437486, 'Up': -8.363978, ' Down': -8.470716}
{' Down': -0.29411617, ' down': -1.377639, ' "': -6.7616296, 'Down': -7.271983, 'down': -7.508904}
{' Up': -0.049022187, ' up': -3.0990024, ' "': -6.6036444, ' UP': -6.821758, 'Up': -8.405511}
{' Down': -0.06312785, ' down': -2.8189316, ' "': -7.070343, 'Down': -7.799015, 'down': -9.015001}
{' Up': -0.024056002, ' up': -3.8049128, ' "': -7.5220323, ' UP': -7.8160043, ' Down': -8.274115}
{' Down': -0.08801065, ' down': -2.5019853, ' "': -6.5042014, 'Down': -7.528934, 'down': -8.83768}
{' Up': -0.09438501, ' up': -2.4382913, ' "': -6.496057, ' UP': -7.207544, 'Up': -8.51414}
{' Down': -0.11404498, ' down': -2.2425659, ' "': -7.0338345, 'Down': -7.7262387, 'down': -8.666017}
{' Up': -0.07292145, ' up': -2.7219748, ' Down': -5.854907, ' down': -7.4731264, ' "': -7.598241}
{' Down': -0.0761189, ' down': -2.6277585, 'Down': -7.6807494, ' "': -7.7967167, 'down': -9.042156}
{' Up': -0.31964478, ' Down': -1.7584684, ' up': -2.816242, ' down': -3.4680116, ' "': -4.651571}
{' Up': -0.118509136, ' up': -2.2026975, ' UP': -7.3864417, ' "': -7.6822004, 'Up': -8.958112}
{' Up': -0.19975089, ' up': -2.1268864, ' Down': -2.9813325, ' down': -4.678333, ' "': -6.6640143}
{' Up': -0.06881322, ' up': -2.7337987, ' "': -7.2998543, ' UP': -7.4427557, 'Up': -8.840161}
{' Down': -0.102439635, ' down': -2.3458629, ' "': -7.292705, 'Down': -7.572168, ' DOWN': -8.857188}
{' Up': -0.08346092, ' up': -2.5512993, ' UP': -6.5822797, ' "': -7.7816987, 'Up': -8.380083}
{' Down': -0.029079605, ' down': -3.63253, ' Up': -6.98838, 'Down': -7.443523, ' "': -7.806748}
{' Up': -0.044193715, ' up': -3.1998084, ' UP': -6.360886, ' "': -7.716238, 'Up': -8.363747}
{' Down': -0.18821476, ' down': -2.2979808, ' Up': -2.8079178, ' up': -5.1080546, ' "': -5.754464}
{' Up': -0.0680147, ' up': -2.7554536, ' UP': -6.559475, ' "': -7.675598, 'Up': -8.372571}
{' Down': -0.8011228, ' Up': -0.9186803, ' up': -2.5546017, ' down': -2.6833918, ' "': -5.4525433}
