{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' Down': -0.48533085, ' down': -0.95734626, 'down': -7.996732, 'Down': -9.065142, ' "': -9.159708}
{' Up': -0.62998956, ' up': -0.761818, ' UP': -8.267093, 'up': -8.363545, 'Up': -9.4811535}
{' down': -0.65168446, ' Down': -0.73742175, 'down': -7.8882966, 'Down': -9.504637, ' "': -10.579533}
{' Up': -0.026756095, ' up': -3.665956, ' "': -7.8872213, 'Up': -8.546934, ' UP': -8.960319}
{' Down': -0.059786677, ' down': -2.8610482, 'Down': -7.814213, 'down': -8.184507, ' "': -9.1371565}
{' Up': -0.04291947, ' up': -3.179909, ' UP': -8.661102, 'Up': -8.909124, 'up': -9.319328}
{' Down': -0.15597934, ' down': -1.9424974, 'down': -7.400736, 'Down': -7.877258, ' "': -9.659286}
{' Up': -0.02581949, ' up': -3.823011, ' "': -6.434511, ' Down': -6.589031, 'Up': -8.418564}
{' Down': -0.07370777, ' down': -2.6713448, 'Down': -6.9371357, 'down': -7.503677, ' "': -8.142122}
{' Up': -0.020706441, ' up': -4.020092, ' Down': -6.3068867, ' "': -8.267366, 'Up': -8.553848}
{' Down': -0.099755295, ' down': -2.370828, 'Down': -7.2986207, 'down': -7.3266325, ' "': -8.698537}
{' Up': -0.2527593, ' up': -1.5083213, ' "': -6.6486406, ' UP': -8.341512, 'Up': -8.811919}
{' Down': -0.41137022, ' down': -1.0925626, 'down': -7.63267, ' "': -7.71806, ' Up': -7.7610536}
{' up': -0.67248756, ' Up': -0.7155612, ' UP': -8.213156, 'up': -8.385286, 'Up': -9.207048}
{' down': -0.3706181, ' Down': -1.1749871, 'down': -7.3709025, 'Down': -8.759402, ' "': -9.685395}
{' Up': -0.026170261, ' up': -3.9087517, ' Down': -5.7927732, ' "': -6.997094, 'Up': -7.026675}
{' Down': -0.048115954, ' down': -3.125396, 'Down': -6.2066274, 'down': -7.442546, ' "': -7.9854207}
{' Up': -0.0134797655, ' up': -4.8334126, ' Down': -5.3876476, 'Up': -7.973856, ' down': -8.706564}
{' Down': -0.06821021, ' down': -2.7712379, 'Down': -6.2465587, 'down': -6.8662367, ' "': -8.634519}
{' Up': -0.017088123, ' up': -4.1387944, ' "': -7.3090057, ' Down': -8.76445, ' UP': -9.29949}
{' Down': -0.044986464, ' down': -3.134252, 'Down': -8.677705, ' "': -8.928339, 'down': -8.934407}
{' Up': -0.05081084, ' up': -3.0107203, 'up': -9.665614, 'Up': -9.713148, ' Down': -9.840665}
{' Down': -0.08808609, ' down': -2.4782417, 'down': -8.531753, 'Down': -9.006518, ' "': -9.234233}
{' Up': -0.10715751, ' up': -2.484244, ' Down': -4.959498, 'Up': -5.452866, ' "': -5.829813}
{' Down': -0.22434855, ' down': -1.7429376, 'Down': -4.3621984, 'down': -4.377051, ' "': -7.8909683}
