{' Up': -0.80227643, ' Down': -1.2832868, ' down': -1.5959585, ' up': -2.6505296, ' "': -7.713283}
{' Down': -0.07499962, ' down': -2.636859, ' Up': -8.132057, 'Down': -8.289158, 'down': -9.2484}
{' Up': -0.074342996, ' up': -2.6580791, ' Down': -6.865343, ' UP': -8.68515, ' down': -8.698124}
{' Down': -0.3222091, ' down': -1.2909172, 'down': -8.454174, 'Down': -8.641839, ' "': -10.343002}
{' Up': -0.41467786, ' Down': -1.2555897, ' down': -3.3423152, ' up': -4.0372095, 'Down': -7.549361}
{' Down': -0.016785495, ' down': -4.146025, 'Down': -7.359114, 'down': -9.071928, ' Up': -9.960323}
{' Up': -0.0090075685, ' up': -4.8223634, ' Down': -7.494651, 'Up': -8.551803, ' UP': -9.122206}
{' Down': -0.030180505, ' down': -3.5380864, 'Down': -7.719221, 'down': -8.55024, ' "': -11.259411}
{' Down': -0.026859256, ' down': -3.726612, 'Down': -6.49678, ' Up': -7.871563, 'down': -7.9859905}
{' Down': -0.013130756, ' down': -4.4893785, 'Down': -6.498343, 'down': -8.49637, ' DOWN': -9.939991}
{' Up': -0.099733636, ' Down': -2.4550173, ' up': -5.210701, ' down': -6.029651, 'Up': -7.4747314}
{' Down': -0.041590735, ' down': -3.2672627, 'Down': -6.317195, 'down': -7.231688, ' "': -9.486049}
{' Down': -0.44827008, ' down': -1.135709, ' Up': -3.365832, ' up': -5.698034, 'Down': -6.8412642}
{' Down': -0.16058886, ' down': -1.9617593, ' Up': -5.1029844, 'Down': -7.2044344, ' up': -7.7630987}
{' Up': -0.04974805, ' up': -3.0628345, ' Down': -6.6685605, ' down': -8.331068, ' UP': -8.800465}
{' Down': -0.22496483, ' down': -1.6048992, 'Down': -8.253179, 'down': -8.424373, ' "': -10.145467}
{' Down': -0.019082472, ' down': -4.1523547, 'Down': -5.9741545, 'down': -8.126281, ' DOWN': -8.912433}
{' Down': -0.006450295, ' down': -5.4032927, 'Down': -6.3535757, 'down': -9.2022085, ' DOWN': -9.923528}
{' Down': -0.48889077, ' Up': -0.98579323, ' down': -4.6129103, 'Down': -6.381448, ' up': -7.117225}
{' Down': -0.01351517, ' down': -4.454595, 'Down': -6.5089846, 'down': -8.329423, ' "': -10.17719}
{' Down': -0.027072165, ' Up': -3.95753, ' down': -4.934345, 'Down': -8.3988905, ' "': -9.433487}
{' Down': -0.0049823243, ' down': -5.3980527, 'Down': -8.19846, ' Up': -9.073206, 'down': -10.269739}
{' Up': -0.009588666, ' Down': -4.891823, ' up': -6.3060956, ' UP': -9.369593, 'Up': -9.882107}
{' Down': -0.0056577153, ' down': -5.2107925, 'Down': -8.90852, 'down': -10.44676, ' "': -11.182371}
{' Down': -0.023599721, ' down': -4.1161213, 'Down': -5.206394, ' Up': -6.904426, 'down': -7.90204}
{' Down': -0.017494373, ' down': -4.697218, 'Down': -5.143358, ' Up': -6.239401, 'down': -7.9761333}
{' Up': -0.01664591, ' Down': -4.6594906, ' up': -5.397841, 'Up': -6.2165437, ' down': -8.693241}
{' Down': -0.0470331, ' down': -3.2393243, 'Down': -5.1669955, 'down': -6.8986063, ' DOWN': -10.591932}
{' Up': -0.3241213, ' Down': -1.7111148, ' up': -2.9842527, ' down': -3.10576, ' UP': -8.15516}
{' Down': -0.27936852, ' down': -1.4151145, 'Down': -7.6942077, 'down': -8.03733, ' DOWN': -10.077184}
{' down': -0.39781144, ' Down': -1.1191595, 'down': -7.536393, ' Up': -7.5650415, 'Down': -8.07721}
{' down': -0.4819928, ' Down': -0.9782621, ' Up': -5.673521, ' up': -6.166647, 'down': -7.6197166}
{' Up': -0.71929854, ' Down': -0.89898425, ' down': -2.6011648, ' up': -3.5294087, 'Down': -6.8225913}
{' Down': -0.28371584, ' down': -1.4128606, 'Down': -6.407113, 'down': -6.4183683, ' Up': -8.652625}
{' Down': -0.22601418, ' down': -1.6063395, 'down': -7.169062, 'Down': -7.376555, ' Up': -8.445109}
