{' Up': -0.1780345, ' up': -1.8195369, ' UP': -7.5168424, 'Up': -8.332804, 'up': -9.8074875}
{' Down': -0.13194375, ' down': -2.0987997, 'Down': -7.407155, 'down': -8.373874, ' DOWN': -9.822674}
{' Up': -0.085910566, ' up': -2.5085695, ' UP': -7.703637, 'Up': -8.148864, 'up': -9.452496}
{' Down': -0.24107827, ' down': -1.5477186, 'Down': -7.3167334, 'down': -7.454747, ' "': -9.29762}
{' Up': -0.0468124, ' up': -3.1193469, 'Up': -7.1210876, ' UP': -7.527218, 'up': -9.120045}
{' Down': -0.04342183, ' down': -3.2197864, 'Down': -6.2102194, 'down': -7.9295983, ' DOWN': -9.570767}
{' Up': -0.011983288, ' up': -4.5538917, 'Up': -7.031566, ' UP': -7.9002905, 'up': -9.263434}
{' Down': -0.08319861, ' down': -2.5772781, 'Down': -5.89742, 'down': -6.9777594, ' DOWN': -9.7796545}
{' Up': -0.046892982, ' up': -3.1511543, 'Up': -6.4812455, ' UP': -7.245848, ' Down': -7.9073086}
{' Down': -0.083228014, ' down': -2.5924444, 'Down': -5.5962167, 'down': -6.8926053, ' DOWN': -8.927583}
{' Up': -0.015153589, ' up': -4.3501983, 'Up': -6.4859867, ' UP': -8.087008, 'up': -8.573795}
{' Down': -0.09336274, ' down': -2.483465, 'Down': -5.480686, 'down': -6.681943, ' DOWN': -9.239492}
{' Up': -0.23902474, ' up': -1.5611092, 'Up': -6.782784, ' UP': -7.0190682, 'up': -8.116922}
{' Down': -0.2187903, ' down': -1.6491052, 'Down': -5.8604946, 'down': -6.930111, '\n': -8.961542}
{' Up': -0.075154334, ' up': -2.6629384, 'Up': -6.5893254, ' UP': -7.2211766, 'up': -8.248153}
{' Down': -0.17559506, ' down': -1.8628317, 'Down': -5.508784, 'down': -6.606419, ' "': -8.900395}
{' Up': -0.12986279, ' Down': -2.8002825, ' up': -3.1169326, ' down': -4.6337247, 'Up': -6.1065855}
{' Down': -0.09772839, ' down': -2.4742982, 'Down': -4.9853606, 'down': -6.540471, ' DOWN': -8.128435}
{' Up': -0.052257035, ' up': -3.6634002, ' Down': -3.926431, 'Up': -6.056873, ' down': -6.5753202}
{' Down': -0.111490674, ' down': -2.3295693, 'Down': -5.100338, 'down': -6.564446, ' DOWN': -8.3596945}
{' Up': -0.02848787, ' up': -3.6447616, 'Up': -7.282827, ' UP': -7.5699778, ' Down': -7.647794}
{' Down': -0.03647576, ' down': -3.3975692, 'Down': -6.420154, 'down': -7.6128263, ' DOWN': -9.594735}
{' Up': -0.010557596, ' up': -4.684675, 'Up': -7.299462, ' UP': -8.026268, 'up': -9.088649}
{' Down': -0.047533013, ' down': -3.126125, 'Down': -6.446813, 'down': -7.3167453, ' "': -9.230229}
{' Up': -0.2714483, ' up': -1.574999, 'Up': -3.7920115, 'up': -5.2554455, ' UP': -6.565826}
{' Down': -0.36471686, ' down': -1.3816694, 'Down': -3.279979, 'down': -4.149211, ' ': -7.865409}
{' Up': -0.13682501, ' up': -2.3162758, 'Up': -3.7927184, 'up': -5.264489, ' UP': -6.997674}
{' Down': -0.46889517, ' down': -1.212397, 'Down': -3.0098877, 'down': -3.626385, ' ': -7.912888}
{' Up': -0.082600646, ' up': -2.59192, ' Down': -6.05054, ' UP': -7.0861306, ' down': -7.5928125}
{' Down': -0.3809763, ' down': -1.1533456, 'Down': -7.4798584, 'down': -7.834118, '\n': -9.2325535}
{' Up': -0.30553672, ' up': -1.5166994, ' Down': -3.8060036, ' down': -3.980379, ' UP': -6.6715813}
{' Down': -0.2462037, ' down': -1.5300401, 'Down': -7.047313, 'down': -7.711772, ' DOWN': -8.913893}
{' Up': -0.10478, ' Down': -2.693649, ' up': -3.621799, ' down': -5.713651, 'Up': -7.120776}
{' Down': -0.14070615, ' down': -2.0597947, 'Down': -6.0957227, 'down': -7.2221, ' Up': -7.753907}
{' Down': -0.21954344, ' down': -1.7017441, ' Up': -4.686981, 'Down': -6.031263, ' up': -6.617073}
{' Down': -0.31209403, ' Up': -1.6506616, ' down': -2.8293076, ' up': -4.3397317, 'Down': -6.050259}
