{' !': -0.0001226242, '!': -9.049479, ' @': -12.556361, ' ': -13.919071, '!.': -14.5979395}
{' !': -9.329886e-05, '!': -9.333568, ' @': -12.614108, ' ': -13.821624, '!.': -14.92266}
{' !': -0.0005775095, ' #': -7.790704, '!': -8.733703, ' ': -13.459218, '!.': -14.406536}
{' !': -0.0002656446, '!': -8.859537, ' #': -9.017208, ' ': -13.421421, '!.': -15.367378}
{' !': -0.00021157267, '!': -8.608713, ' $': -10.508864, ' ': -14.255893, '!.': -14.3012495}
{' !': -0.00026624158, '!': -8.649118, ' $': -9.33891, ' ': -13.765082, '$': -14.099695}
{' @': -0.0036222578, '@': -6.186567, ' !': -6.5058, ' ': -9.894609, '\n': -12.039704}
{' @': -0.003894484, '@': -6.1130576, ' !': -6.426421, ' ': -10.167084, '\n': -11.699208}
{' @': -0.007422007, ' #': -5.1329217, '@': -6.5488796, ' ': -9.955078, '\n': -11.733084}
{' @': -0.011013396, ' #': -4.7007694, '@': -6.3249226, ' ': -10.002222, '\n': -11.025199}
{' @': -0.0021095024, '@': -6.2579303, ' $': -8.871417, ' ': -10.407765, '\n': -11.16745}
{' @': -0.0025725225, '@': -6.149817, ' $': -7.895573, ' ': -10.471257, '\n': -10.600765}
{' #': -0.0014418162, ' !': -6.6659923, '#': -8.736132, ' ': -12.39478, '!': -14.103471}
{' #': -0.0014838377, ' !': -6.617488, '#': -8.895646, ' ': -12.198107, '!': -13.550396}
{' #': -0.000167457, ' @': -9.197824, '#': -9.826277, ' ': -11.696433, '\n': -12.98696}
{' #': -0.00030570905, ' @': -8.378166, '#': -9.738594, ' ': -11.382957, '\n': -12.590722}
{' #': -0.00011976601, '#': -9.820439, ' $': -9.951419, ' ': -11.64663, '\n': -12.582099}
{' #': -0.00015970749, '#': -9.548116, ' $': -9.5946, ' ': -11.643501, '\n': -12.11827}
{' $': -0.08965005, ' !': -2.4755123, '$.': -6.913329, '$': -7.6589894, '!': -9.463779}
{' $': -0.032416947, ' !': -3.4742217, '$': -7.575959, '$.': -8.086444, '!': -10.253316}
{' $': -0.0010429798, '$.': -7.227243, ' @': -9.055661, ' $\\': -9.447812, '$': -9.61753}
{' $': -0.00083930104, ' @': -8.1710005, '$.': -8.288698, '$': -9.035789, ' $\\': -9.0607}
{' $': -0.0033431114, ' #': -5.9064054, '$.': -7.789792, '$': -9.147632, ' ': -10.056487}
{' $': -0.003499572, ' #': -5.744188, '$': -8.980187, '$.': -9.210151, ' $\\': -10.382505}
{' !': -0.000116546435, '!': -9.08654, ' ': -13.430764, ' @': -13.579418, '!.': -14.917046}
{' !': -8.471396e-05, '!': -9.405126, ' ': -13.766759, ' @': -14.052993, '!.': -15.105444}
{' !': -0.00033260233, ' #': -8.693218, '!': -8.729276, ' ': -13.181647, '!.': -14.253042}
{' !': -0.00017329915, '!': -8.969918, ' #': -10.047843, ' ': -13.091938, '!.': -15.215886}
{' !': -0.00013776746, '!': -9.052853, ' $': -10.914789, ' ': -13.540426, '!.': -14.142114}
{' !': -0.000116546435, '!': -9.322638, ' $': -10.609077, ' ': -13.488317, '!.': -14.689357}
{' @': -0.003127417, '@': -6.022123, ' !': -7.4315104, ' ': -9.385157, '\n': -11.53013}
{' @': -0.0030796437, '@': -5.9749427, ' !': -7.723141, ' ': -9.607708, '\n': -11.310426}
{' @': -0.006657884, ' #': -5.41652, '@': -6.1728888, ' ': -9.438178, '\n': -10.997255}
