{' !': -8.781245e-05, '!': -9.38345, ' @': -12.985971, ' ': -13.820295, '!.': -15.134049}
{' !': -9.615988e-05, '!': -9.284438, ' ': -13.41353, ' @': -13.419258, '!.': -15.900784}
{' !': -0.00022039504, ' #': -9.01274, '!': -9.246816, ' ': -13.470835, '!.': -15.040764}
{' !': -0.0001643557, '!': -9.158234, ' #': -9.779089, ' ': -13.168954, '!.': -15.864252}
{' !': -0.00011487751, '!': -9.203117, ' $': -11.28822, ' ': -13.842471, '!.': -14.9094}
{' !': -0.00013633883, '!': -9.2275095, ' $': -10.2368, ' ': -13.518714, '$': -15.216909}
{' @': -0.0037301201, '@': -6.0418844, ' !': -6.6752934, ' ': -9.636229, '\n': -11.57627}
{' @': -0.0027915037, '@': -6.093468, ' !': -7.6932325, ' ': -9.80676, '\n': -11.491828}
{' @': -0.0071244524, ' #': -5.2029004, '@': -6.5030746, ' ': -9.457058, '\n': -11.40061}
{' @': -0.0077750953, ' #': -5.102877, '@': -6.453251, ' ': -9.679781, '\n': -11.075815}
{' @': -0.0018796852, '@': -6.3786893, ' $': -9.110367, ' ': -10.080661, '\n': -10.783281}
{' @': -0.002271505, '@': -6.236091, ' $': -8.386974, ' ': -10.062162, '\n': -10.4201765}
{' #': -0.00043092694, ' !': -8.069356, '#': -9.118968, ' ': -12.052203, ' "#': -14.113141}
{' #': -0.00032705773, ' !': -8.343466, '#': -9.44259, ' ': -12.129945, '\n': -13.205012}
{' #': -0.00012155601, ' @': -9.523276, '#': -10.207552, ' ': -11.738323, '\n': -13.067478}
{' #': -0.00011869313, ' @': -9.474873, '#': -10.606003, ' ': -11.299607, '\n': -12.683057}
{' #': -7.1481794e-05, '#': -10.343255, ' $': -10.579152, ' ': -11.823005, '\n': -12.730503}
{' #': -8.5549356e-05, '#': -10.282572, ' $': -10.396004, ' ': -11.527082, '\n': -12.048632}
{' $': -0.025341062, ' !': -3.7229402, '$.': -7.581672, '$': -8.332476, ' ': -10.046489}
{' $': -0.012622077, ' !': -4.4252462, '$': -8.121251, '$.': -8.557357, ' ': -10.326832}
{' $': -0.00096464186, '$.': -7.5738935, ' @': -8.408702, ' $\\': -9.395705, '$': -9.6385355}
{' $': -0.00069208303, '$.': -8.343461, ' @': -8.7899475, '$': -9.023381, ' $\\': -9.041859}
{' $': -0.0037286868, ' #': -5.747133, '$.': -7.993562, '$': -9.32414, ' ': -9.901566}
{' $': -0.002070737, ' #': -6.349837, '$': -9.005929, '$.': -9.091619, ' ': -10.207459}
{' !': -0.00017783002, '!': -8.877096, ' @': -10.248289, ' ': -13.127325, ' <': -15.143797}
{' !': -0.00016089863, '!': -8.868025, ' @': -10.970031, ' ': -12.992662, ' <': -15.043748}
{' !': -0.0018913309, ' #': -6.334901, '!': -9.095382, ' ': -12.882337, '#': -14.013168}
{' !': -0.0012461086, ' #': -6.812863, '!': -8.86221, ' ': -12.742092, '#': -14.22888}
{' !': -0.0003595538, ' $': -8.332301, '!': -9.06725, ' ': -13.281439, '$': -13.816329}
{' !': -0.0005717847, ' $': -7.813839, '!': -8.72976, ' ': -12.881429, '$': -12.892854}
{' @': -0.004294937, '@': -5.9092474, ' !': -6.513984, ' ': -9.606677, '\n': -11.492556}
{' @': -0.0037116953, '@': -5.9323726, ' !': -6.949404, ' ': -9.6306095, '\n': -11.048925}
{' @': -0.01892586, ' #': -4.0818567, '@': -6.3537183, ' ': -9.238307, '\n': -10.874526}
{' @': -0.021712339, ' #': -3.925118, '@': -6.429306, ' ': -9.398437, '\n': -10.570043}
{' @': -0.002380958, '@': -6.227902, ' $': -8.011398, ' ': -10.013421, '\n': -10.854969}
{' @': -0.002560992, '@': -6.2815847, ' $': -7.417325, ' ': -10.013705, '\n': -10.415061}
{' #': -0.00047678567, ' !': -8.275356, '#': -8.475632, ' ': -11.615232, '\n': -13.391102}
{' #': -0.0003639655, ' !': -8.350389, '#': -9.07557, ' ': -11.757248, '\n': -13.090513}
{' #': -0.00024132038, ' @': -8.829212, '#': -9.465751, ' ': -11.309331, '\n': -12.774611}
{' #': -0.00030928716, ' @': -8.371515, '#': -9.916798, ' ': -10.767384, '\n': -12.361401}
{' #': -0.00010402765, '#': -9.92352, ' $': -10.188567, ' ': -11.616864, '\n': -12.425319}
{' #': -0.00018378951, ' $': -9.174578, '#': -9.768198, ' ': -11.46445, '\n': -12.158974}
{' $': -0.029470686, ' !': -3.5825922, '$.': -6.920217, '$': -8.802309, ' ': -10.169634}
{' $': -0.0454054, ' !': -3.1415663, '$.': -7.3710103, '$': -7.7316976, ' ': -10.336446}
{' $': -0.0013108632, '$.': -7.3618054, ' @': -7.6098804, ' $\\': -9.523411, '$': -9.950831}
{' $': -0.0023604035, ' @': -6.4764524, '$.': -7.6362023, ' $\\': -8.953925, '$': -9.068462}
{' $': -0.008397713, ' #': -4.851026, '$.': -7.9028134, '$': -9.579561, ' ': -9.874818}
{' $': -0.010818699, ' #': -4.5679398, '$.': -8.700363, '$': -9.024462, ' ': -9.978298}
{' @': -0.0068031, '@': -5.0102034, ' ': -9.907158, ' !': -10.156605, '\n': -11.918084}
{' @': -0.008671902, '@': -4.9742117, ' !': -6.4105077, ' ': -10.018674, '\n': -11.353282}
{' #': -0.00016340296, '#': -8.862214, ' ': -11.316152, '\n': -12.658378, ' !': -13.193443}
{' #': -0.00012822983, '#': -9.206019, ' !': -11.380574, ' ': -11.504585, '\n': -12.602076}
{' $': -0.004731901, '$': -5.3926578, ' $\\': -9.51055, '$.': -10.346781, ' ': -10.631486}
{' $': -0.005392202, '$': -5.2684746, ' !': -8.944738, ' $\\': -10.289027, '$.': -10.696123}
{' !': -0.00084431254, '!': -7.223617, ' @': -9.112456, ' ': -13.490602, '@': -13.898995}
{' !': -0.0024744063, ' @': -6.295569, '!': -7.4056644, '@': -11.272596, ' ': -12.764543}
{' #': -0.00055949675, ' @': -7.8675275, '#': -8.885595, ' ': -11.065149, '\n': -11.165844}
{' #': -0.0025453945, ' @': -6.0562925, '#': -8.783343, ' ': -10.936234, '\n': -11.023148}
{' $': -0.0031472694, ' @': -6.4435844, '$': -6.557316, ' $\\': -9.9785595, '\n': -10.8151655}
{' $': -0.0058601648, ' @': -5.4696016, '$': -6.509087, '@': -10.251671, ' $\\': -10.439006}
{' !': -0.0020712158, ' #': -6.496584, '!': -7.4953494, '#': -13.309473, ' ': -13.534268}
{' !': -0.0076924423, ' #': -4.9797, '!': -7.163084, '#': -11.847015, ' ': -13.020169}
{' @': -0.014460394, ' #': -4.4772058, '@': -5.8438363, ' ': -9.85934, '\n': -10.925308}
{' @': -0.052161768, ' #': -3.0222564, '@': -6.211585, ' ': -9.586394, '\n': -10.719753}
{' $': -0.008379625, ' #': -4.8732915, '$': -7.4424863, ' $\\': -9.736563, ' $(': -10.624373}
{' $': -0.065935, ' #': -2.7621152, '$': -7.525619, ' $\\': -10.357217, ' $(': -10.7667675}
{' !': -0.0009854621, '!': -6.931824, ' $': -12.561399, '!.': -12.736198, ' ': -13.644834}
{' !': -0.00089149945, '!': -7.3048577, ' $': -8.473533, '!.': -12.436195, ' ': -13.346998}
{' @': -0.0017478386, '@': -6.449387, ' $': -9.076316, ' ': -10.408343, '\n': -11.5066185}
{' @': -0.0014900459, '@': -6.6363525, ' $': -9.061289, ' ': -10.228369, '\n': -11.2919235}
{' #': -0.0001552949, '#': -9.627458, ' $': -9.9688835, ' \\': -11.092536, ' ': -11.118313}
{' #': -0.00013264055, ' $': -9.6754055, '#': -10.209592, ' ': -11.034474, ' \\': -11.848715}
{' @': -0.010364556, '@': -4.699217, ' !': -6.7938156, ' ': -9.9170265, ' <@': -11.350744}
{' @': -0.023450337, ' !': -4.025474, '@': -5.249826, ' ': -10.139837, '\n': -11.658327}
{' #': -0.00042413018, '#': -7.84836, ' !': -10.933069, ' ': -11.661867, '\n': -12.872104}
{' #': -0.0006501517, ' !': -7.7300696, '#': -8.523887, ' ': -11.809493, '\n': -13.177344}
{' $': -0.00618781, '$': -5.117447, ' $\\': -9.8135395, '$.': -9.99885, ' !': -10.1065}
